no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,477802A001,가평군 가평읍,2014-11-01,15.6,20.7,12.8,81.1,170.7,0.2,3.6,0.0,,,,,,,2014,11,1
306,477802A001,가평군 가평읍,2014-11-02,12.5,15.3,7.8,57.7,219.0,1.4,12.7,5.0,,,,,,,2014,11,2
307,477802A001,가평군 가평읍,2014-11-03,7.7,14.7,0.5,48.9,211.7,0.9,11.5,0.0,,,,,,,2014,11,3
308,477802A001,가평군 가평읍,2014-11-04,6.9,18.2,-0.5,76.0,128.5,0.2,5.4,0.0,,,,,,,2014,11,4
309,477802A001,가평군 가평읍,2014-11-05,7.9,18.5,0.5,79.8,135.3,0.1,4.4,0.0,,,,,,,2014,11,5
310,477802A001,가평군 가평읍,2014-11-06,10.9,18.8,3.8,73.8,156.7,0.4,7.8,0.0,,,,,,,2014,11,6
311,477802A001,가평군 가평읍,2014-11-07,7.3,17.1,0.3,77.3,159.4,0.1,4.7,0.0,,,,,,,2014,11,7
312,477802A001,가평군 가평읍,2014-11-08,8.1,15.4,3.5,82.5,235.6,0.0,1.5,0.0,,,,,,,2014,11,8
313,477802A001,가평군 가평읍,2014-11-09,7.7,16.5,0.9,70.9,172.2,0.4,8.1,0.0,,,,,,,2014,11,9
314,477802A001,가평군 가평읍,2014-11-10,4.6,17.2,-2.7,70.0,141.8,0.1,3.2,0.0,,,,,,,2014,11,10
315,477802A001,가평군 가평읍,2014-11-11,5.4,15.0,-2.3,76.6,155.2,0.2,5.0,0.0,,,,,,,2014,11,11
316,477802A001,가평군 가평읍,2014-11-12,7.0,11.0,-0.7,57.2,240.8,2.2,14.7,4.5,,,,,,,2014,11,12
317,477802A001,가평군 가평읍,2014-11-13,0.1,4.5,-2.8,37.2,230.6,1.3,11.5,0.0,,,,,,,2014,11,13
318,477802A001,가평군 가평읍,2014-11-14,2.2,10.3,-5.0,62.0,199.9,0.6,10.4,0.0,,,,,,,2014,11,14
319,477802A001,가평군 가평읍,2014-11-15,2.3,11.2,-4.1,56.8,159.0,0.6,7.1,0.0,,,,,,,2014,11,15
320,477802A001,가평군 가평읍,2014-11-16,4.5,12.8,-2.5,55.9,132.0,0.2,5.7,0.0,,,,,,,2014,11,16
321,477802A001,가평군 가평읍,2014-11-17,4.5,9.3,-1.7,81.4,176.2,0.2,5.6,0.0,,,,,,,2014,11,17
322,477802A001,가평군 가평읍,2014-11-18,1.4,11.3,-3.9,75.8,168.6,0.3,7.6,0.0,,,,,,,2014,11,18
323,477802A001,가평군 가평읍,2014-11-19,1.2,12.2,-5.9,71.8,108.8,0.0,3.8,0.0,,,,,,,2014,11,19
324,477802A001,가평군 가평읍,2014-11-20,2.9,13.5,-3.9,76.3,155.6,0.1,4.0,0.0,,,,,,,2014,11,20
325,477802A001,가평군 가평읍,2014-11-21,7.8,16.3,0.1,73.9,164.9,0.3,7.0,0.0,,,,,,,2014,11,21
326,477802A001,가평군 가평읍,2014-11-22,10.1,13.0,6.0,89.8,218.7,0.2,5.5,5.5,,,,,,,2014,11,22
327,477802A001,가평군 가평읍,2014-11-23,7.9,13.2,5.1,83.2,116.1,0.3,5.3,0.0,,,,,,,2014,11,23
328,477802A001,가평군 가평읍,2014-11-24,7.1,11.6,4.1,80.4,91.2,0.0,2.8,0.0,,,,,,,2014,11,24
329,477802A001,가평군 가평읍,2014-11-25,7.9,13.0,2.3,74.3,50.7,1.1,9.4,0.0,,,,,,,2014,11,25
330,477802A001,가평군 가평읍,2014-11-26,7.7,15.8,1.6,74.8,181.4,0.1,4.2,0.0,,,,,,,2014,11,26
331,477802A001,가평군 가평읍,2014-11-27,5.9,14.6,-0.1,83.9,152.4,0.1,4.1,0.0,,,,,,,2014,11,27
332,477802A001,가평군 가평읍,2014-11-28,5.6,8.5,1.3,95.3,185.3,0.0,4.5,16.5,,,,,,,2014,11,28
333,477802A001,가평군 가평읍,2014-11-29,7.5,12.6,3.5,90.2,227.1,0.2,3.3,0.0,,,,,,,2014,11,29
334,477802A001,가평군 가평읍,2014-11-30,7.0,10.2,3.9,94.2,195.0,0.1,5.3,5.0,,,,,,,2014,11,30
