stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
477802A001,가평군 가평읍,2024-06-01,19.9,25.5,15.1,60.7,189.2,0.9,7.6,0.0,,,,,,22.1,2024,6,1
477802A001,가평군 가평읍,2024-06-02,17.8,26.1,11.1,72.6,154.7,0.7,7.2,1.0,,,,,,21.9,2024,6,2
477802A001,가평군 가평읍,2024-06-03,18.4,27.8,10.6,65.4,134.1,0.6,5.9,0.0,,,,,,21.7,2024,6,3
477802A001,가평군 가평읍,2024-06-04,19.2,29.0,8.9,61.6,194.2,0.6,4.7,0.0,,,,,,21.6,2024,6,4
477802A001,가평군 가평읍,2024-06-05,21.5,30.5,12.5,66.8,195.1,0.6,4.6,0.0,,,,,,21.4,2024,6,5
477802A001,가평군 가평읍,2024-06-06,22.6,31.3,15.9,63.9,179.3,0.7,5.7,0.0,,,,,,21.2,2024,6,6
477802A001,가평군 가평읍,2024-06-07,21.1,27.9,14.5,71.5,179.9,0.5,3.5,0.0,,,,,,21.0,2024,6,7
477802A001,가평군 가평읍,2024-06-08,18.9,23.3,16.9,94.5,212.6,0.5,4.7,15.5,,,,,,25.0,2024,6,8
477802A001,가평군 가평읍,2024-06-09,21.6,29.2,16.0,78.4,197.8,0.8,5.9,0.0,,,,,,26.5,2024,6,9
477802A001,가평군 가평읍,2024-06-10,22.7,30.3,15.2,77.1,220.1,0.8,5.4,0.0,,,,,,25.2,2024,6,10
477802A001,가평군 가평읍,2024-06-11,24.6,31.4,19.1,71.6,216.8,0.9,6.1,0.0,,,,,,24.3,2024,6,11
477802A001,가평군 가평읍,2024-06-12,23.3,31.8,14.9,69.0,195.8,0.7,6.3,0.0,,,,,,23.4,2024,6,12
477802A001,가평군 가평읍,2024-06-13,24.4,33.8,15.2,62.5,176.3,0.7,6.5,0.0,,,,,,22.7,2024,6,13
477802A001,가평군 가평읍,2024-06-14,24.1,32.8,15.5,63.4,196.0,0.7,6.6,0.0,,,,,,21.9,2024,6,14
477802A001,가평군 가평읍,2024-06-15,22.4,28.0,18.0,81.3,190.8,0.6,4.8,8.5,,,,,,21.8,2024,6,15
477802A001,가평군 가평읍,2024-06-16,22.7,29.5,15.5,66.6,205.0,0.9,8.2,0.0,,,,,,22.2,2024,6,16
477802A001,가평군 가평읍,2024-06-17,21.8,30.6,13.5,65.0,226.9,0.8,6.4,0.0,,,,,,21.8,2024,6,17
477802A001,가평군 가평읍,2024-06-18,23.4,33.7,13.5,62.9,225.5,0.8,6.4,0.0,,,,,,21.2,2024,6,18
477802A001,가평군 가평읍,2024-06-19,25.3,34.9,16.2,66.2,192.7,0.6,4.9,0.0,,,,,,20.6,2024,6,19
477802A001,가평군 가평읍,2024-06-20,25.7,34.9,17.9,65.3,224.9,0.7,5.3,0.0,,,,,,20.0,2024,6,20
477802A001,가평군 가평읍,2024-06-21,25.4,34.0,16.6,64.6,214.9,0.7,5.3,0.0,,,,,,19.6,2024,6,21
477802A001,가평군 가평읍,2024-06-22,22.4,24.4,21.3,91.6,59.9,0.4,3.0,15.0,,,,,,21.4,2024,6,22
477802A001,가평군 가평읍,2024-06-23,24.4,29.6,20.7,86.3,222.1,0.7,5.4,10.0,,,,,,23.8,2024,6,23
477802A001,가평군 가평읍,2024-06-24,23.7,29.0,19.6,77.3,243.9,1.0,8.0,0.0,,,,,,28.1,2024,6,24
477802A001,가평군 가평읍,2024-06-25,21.6,26.3,15.5,69.5,234.3,0.9,6.2,0.0,,,,,,26.3,2024,6,25
477802A001,가평군 가평읍,2024-06-26,22.1,30.3,14.7,76.6,192.1,0.6,4.7,0.0,,,,,,24.9,2024,6,26
477802A001,가평군 가평읍,2024-06-27,23.3,30.9,15.9,74.1,179.1,0.5,4.0,0.0,,,,,,23.4,2024,6,27
477802A001,가평군 가평읍,2024-06-28,23.8,32.4,15.3,70.0,202.7,0.7,5.5,0.0,,,,,,22.0,2024,6,28
477802A001,가평군 가평읍,2024-06-29,24.2,31.8,16.9,76.8,184.2,0.6,6.0,37.5,,,,,,21.8,2024,6,29
477802A001,가평군 가평읍,2024-06-30,22.7,24.0,21.7,98.5,216.6,0.7,10.2,63.5,,,,,,30.1,2024,6,30
