no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,059223A001,강진군 군동면,2019-02-01,1.4,6.1,-4.0,62.3,306.1,1.8,11.7,0.0,467,16.0,0,1.5,3.1,,2019,2,1
33,059223A001,강진군 군동면,2019-02-02,2.9,10.1,-5.6,74.6,126.8,1.3,6.6,0.0,349,15.0,8,3.5,3.5,,2019,2,2
34,059223A001,강진군 군동면,2019-02-03,8.3,13.2,6.4,91.3,281.2,1.7,11.7,11.5,0,3.3,914,7.7,6.0,,2019,2,3
35,059223A001,강진군 군동면,2019-02-04,5.0,9.0,0.4,46.0,319.1,2.2,12.2,0.0,544,17.2,0,4.9,5.3,,2019,2,4
36,059223A001,강진군 군동면,2019-02-05,3.4,12.3,-4.5,63.8,205.9,0.6,4.9,0.0,532,17.5,0,3.3,4.6,,2019,2,5
37,059223A001,강진군 군동면,2019-02-06,5.8,13.7,-0.9,71.2,228.2,0.5,4.5,0.0,202,10.1,0,5.3,5.3,,2019,2,6
38,059223A001,강진군 군동면,2019-02-07,2.9,6.7,-2.3,68.1,318.3,2.4,10.5,0.0,121,9.5,181,2.9,5.2,,2019,2,7
39,059223A001,강진군 군동면,2019-02-08,0.0,4.7,-3.2,41.5,332.1,1.9,6.8,0.0,456,15.4,0,0.8,3.5,,2019,2,8
40,059223A001,강진군 군동면,2019-02-09,0.0,2.8,-2.4,51.9,325.4,2.6,11.1,0.0,369,13.3,0,0.6,3.3,,2019,2,9
41,059223A001,강진군 군동면,2019-02-10,0.3,6.5,-3.5,38.4,328.8,1.5,6.8,0.0,307,13.3,0,0.8,2.9,,2019,2,10
42,059223A001,강진군 군동면,2019-02-11,1.0,4.7,-1.1,56.2,323.0,1.9,8.5,0.0,405,14.0,0,1.4,3.3,,2019,2,11
43,059223A001,강진군 군동면,2019-02-12,2.3,9.2,-5.7,54.1,7.8,1.1,6.5,0.0,511,16.9,0,2.2,3.3,,2019,2,12
44,059223A001,강진군 군동면,2019-02-13,3.4,7.8,-0.2,45.5,323.8,2.0,8.6,0.0,579,18.1,0,3.6,4.0,,2019,2,13
45,059223A001,강진군 군동면,2019-02-14,2.3,9.6,-3.6,43.6,298.2,0.9,7.1,0.0,450,14.6,0,3.2,4.2,,2019,2,14
46,059223A001,강진군 군동면,2019-02-15,2.5,6.4,-3.9,62.4,293.2,0.8,6.8,0.0,0,9.1,0,2.9,4.2,,2019,2,15
47,059223A001,강진군 군동면,2019-02-16,1.6,3.8,-0.4,60.6,324.7,2.1,9.4,0.0,174,10.6,0,1.8,4.3,,2019,2,16
48,059223A001,강진군 군동면,2019-02-17,2.0,7.4,-1.7,52.7,338.1,1.5,7.7,0.0,607,20.1,0,2.5,3.8,,2019,2,17
49,059223A001,강진군 군동면,2019-02-18,3.3,7.3,-1.7,52.6,56.7,0.6,5.5,0.0,9,7.1,97,3.1,3.9,,2019,2,18
50,059223A001,강진군 군동면,2019-02-19,5.7,8.8,1.4,88.4,357.5,1.6,7.6,24.0,15,7.1,216,5.5,5.6,,2019,2,19
51,059223A001,강진군 군동면,2019-02-20,3.9,8.8,-0.8,73.2,331.6,1.2,7.1,0.0,265,12.6,0,4.1,5.1,,2019,2,20
52,059223A001,강진군 군동면,2019-02-21,5.2,11.5,0.6,60.5,322.9,1.0,5.3,0.0,539,18.7,0,5.6,5.5,,2019,2,21
53,059223A001,강진군 군동면,2019-02-22,5.7,12.9,0.3,67.1,335.9,0.6,5.7,0.0,208,12.1,0,5.8,6.2,,2019,2,22
54,059223A001,강진군 군동면,2019-02-23,6.7,14.9,-0.5,61.4,162.6,1.1,6.1,0.0,595,19.9,0,6.9,6.5,,2019,2,23
55,059223A001,강진군 군동면,2019-02-24,7.0,16.1,-1.4,68.2,324.3,1.0,7.1,0.0,604,19.9,0,7.4,6.9,,2019,2,24
56,059223A001,강진군 군동면,2019-02-25,7.5,14.6,2.5,56.4,328.7,1.4,7.8,0.0,594,19.4,0,7.5,7.2,,2019,2,25
57,059223A001,강진군 군동면,2019-02-26,6.9,14.7,-0.4,48.5,351.1,1.0,6.4,0.0,593,20.3,0,7.1,6.8,,2019,2,26
58,059223A001,강진군 군동면,2019-02-27,8.0,12.3,4.3,78.3,76.9,0.9,5.5,1.0,10,9.2,605,8.0,7.7,,2019,2,27
59,059223A001,강진군 군동면,2019-02-28,8.9,15.3,2.8,62.3,327.8,1.1,7.1,0.0,468,17.3,519,9.1,8.8,,2019,2,28
