no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,656933A001,거제시 거제면,2014-05-01,15.6,19.7,12.2,77.8,199.4,0.8,7.1,0.0,491.0,17.8,0,16.9,14.5,,2014,5,1
122,656933A001,거제시 거제면,2014-05-02,15.7,21.2,9.6,77.9,191.3,1.1,12.7,0.0,506.0,17.8,0,16.9,15.2,,2014,5,2
123,656933A001,거제시 거제면,2014-05-03,15.7,21.5,9.3,44.8,197.3,1.6,10.3,0.0,524.0,19.1,0,16.2,15.6,,2014,5,3
124,656933A001,거제시 거제면,2014-05-04,13.6,18.6,7.7,63.3,203.5,1.3,8.3,0.0,327.0,12.0,0,14.2,15.3,,2014,5,4
125,656933A001,거제시 거제면,2014-05-05,13.4,17.7,7.5,41.1,204.9,1.6,11.2,0.0,533.0,18.9,0,14.1,15.0,,2014,5,5
126,656933A001,거제시 거제면,2014-05-06,11.8,18.1,6.0,43.8,157.7,1.2,8.1,0.0,554.0,19.7,0,12.7,14.8,,2014,5,6
127,656933A001,거제시 거제면,2014-05-07,13.5,18.5,6.0,61.5,203.2,1.3,8.1,0.0,548.0,19.7,0,14.8,14.9,,2014,5,7
128,656933A001,거제시 거제면,2014-05-08,17.1,21.7,11.0,69.1,209.2,1.3,10.6,2.0,356.0,12.8,264,17.3,15.4,,2014,5,8
129,656933A001,거제시 거제면,2014-05-09,16.6,23.1,9.3,46.7,142.9,1.6,10.0,0.0,542.0,18.7,0,16.9,15.5,,2014,5,9
130,656933A001,거제시 거제면,2014-05-10,16.6,20.2,11.6,38.0,117.5,1.8,12.1,0.0,547.0,19.2,0,17.0,15.8,,2014,5,10
131,656933A001,거제시 거제면,2014-05-11,18.5,22.7,14.8,52.1,161.5,1.7,11.2,9.5,414.0,15.1,134,18.9,16.2,,2014,5,11
132,656933A001,거제시 거제면,2014-05-12,18.4,23.2,14.3,75.4,195.8,2.0,19.1,83.5,413.0,15.6,676,18.6,16.7,,2014,5,12
133,656933A001,거제시 거제면,2014-05-13,17.7,25.2,11.6,69.4,177.4,0.7,6.6,0.0,552.0,19.5,0,18.9,17.0,,2014,5,13
134,656933A001,거제시 거제면,2014-05-14,15.1,17.9,13.6,78.4,133.2,0.7,6.3,5.5,0.0,3.7,847,14.6,17.0,,2014,5,14
135,656933A001,거제시 거제면,2014-05-15,18.7,25.3,13.1,59.7,157.1,1.1,8.4,0.0,499.0,17.9,502,19.0,16.4,,2014,5,15
136,656933A001,거제시 거제면,2014-05-16,18.3,23.1,11.8,55.0,195.9,0.7,6.2,0.0,559.0,19.5,0,19.3,17.0,,2014,5,16
137,656933A001,거제시 거제면,2014-05-17,18.4,23.4,12.3,57.2,204.4,0.8,6.3,0.0,559.0,20.0,0,19.4,17.6,,2014,5,17
138,656933A001,거제시 거제면,2014-05-18,18.0,23.9,12.3,64.5,198.1,0.6,6.5,0.0,461.0,18.2,0,19.2,17.9,,2014,5,18
139,656933A001,거제시 거제면,2014-05-19,18.7,25.5,11.6,59.8,188.7,1.0,8.3,0.0,528.0,19.1,0,19.9,18.2,,2014,5,19
140,656933A001,거제시 거제면,2014-05-20,17.2,18.4,14.9,78.1,117.0,1.1,9.8,10.0,5.0,2.8,946,16.4,18.1,,2014,5,20
141,656933A001,거제시 거제면,2014-05-21,18.2,25.1,13.0,75.2,206.7,0.9,6.3,0.0,526.0,18.1,538,19.7,17.5,,2014,5,21
142,656933A001,거제시 거제면,2014-05-22,18.5,25.6,12.3,66.9,176.7,1.2,7.4,0.0,565.0,19.8,0,19.8,18.1,,2014,5,22
143,656933A001,거제시 거제면,2014-05-23,17.8,21.2,14.6,69.4,116.7,1.0,7.6,0.0,461.0,12.6,0,18.2,18.3,,2014,5,23
144,656933A001,거제시 거제면,2014-05-24,18.5,22.7,13.3,76.8,186.2,1.0,6.1,0.0,505.0,16.2,0,19.7,18.2,,2014,5,24
145,656933A001,거제시 거제면,2014-05-25,19.9,23.7,17.3,82.0,200.5,1.8,10.7,30.0,368.0,11.4,477,20.4,18.6,,2014,5,25
146,656933A001,거제시 거제면,2014-05-26,20.0,23.7,13.4,73.4,192.1,1.1,8.4,9.0,419.0,12.6,770,20.2,18.6,,2014,5,26
147,656933A001,거제시 거제면,2014-05-27,18.1,23.8,12.1,67.7,194.5,0.8,7.2,0.0,471.0,17.3,0,19.0,18.4,,2014,5,27
148,656933A001,거제시 거제면,2014-05-28,19.8,22.0,17.2,81.4,197.8,1.5,8.0,0.0,345.0,10.6,0,20.1,18.6,,2014,5,28
149,656933A001,거제시 거제면,2014-05-29,19.7,25.7,14.6,76.7,195.0,0.8,5.5,0.0,534.0,19.1,0,21.0,18.8,,2014,5,29
150,656933A001,거제시 거제면,2014-05-30,19.5,25.2,14.8,74.7,196.1,0.9,6.2,0.0,565.0,20.1,0,20.8,19.4,,2014,5,30
151,656933A001,거제시 거제면,2014-05-31,20.2,27.0,12.9,64.6,192.8,0.8,5.8,0.0,571.0,20.0,0,21.3,19.8,,2014,5,31
