no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,670807A001,,2013-06-01,19.5,26.5,14.9,78.5,144.2,0.6,6.5,0.0,6,12.0,0,20.2,20.6,,2013,6,1
153,670807A001,,2013-06-02,20.1,28.6,12.0,72.1,103.4,0.7,8.2,0.0,587,21.3,0,21.4,22.7,,2013,6,2
154,670807A001,,2013-06-03,20.3,28.1,12.0,75.9,125.8,0.8,8.5,0.0,619,22.3,0,22.1,23.5,,2013,6,3
155,670807A001,,2013-06-04,21.9,29.8,14.6,72.5,99.4,0.8,6.5,0.0,601,21.5,0,23.1,24.7,,2013,6,4
156,670807A001,,2013-06-05,22.5,30.3,13.9,73.0,111.0,0.9,8.0,0.0,505,21.9,0,23.5,25.4,,2013,6,5
157,670807A001,,2013-06-06,22.8,30.8,16.2,77.3,113.0,0.8,7.7,3.0,578,21.3,325,24.4,25.8,,2013,6,6
158,670807A001,,2013-06-07,23.1,29.2,18.3,81.2,102.8,1.1,7.4,0.0,489,20.3,567,24.8,26.0,,2013,6,7
159,670807A001,,2013-06-08,22.1,25.9,18.4,77.6,110.8,0.9,8.9,0.0,76,15.5,0,24.1,23.9,,2013,6,8
160,670807A001,,2013-06-09,21.4,26.7,16.9,76.3,101.9,1.1,9.8,0.0,135,16.2,0,23.5,23.7,,2013,6,9
161,670807A001,,2013-06-10,21.5,26.1,15.3,75.9,101.1,0.9,7.9,0.0,213,13.4,0,22.8,23.0,,2013,6,10
162,670807A001,,2013-06-11,20.6,23.6,19.4,86.0,114.8,0.5,5.0,4.0,0,6.2,580,22.3,21.3,,2013,6,11
163,670807A001,,2013-06-12,21.6,24.2,19.2,93.4,101.5,0.7,5.7,1.0,0,5.8,502,22.0,21.9,,2013,6,12
164,670807A001,,2013-06-13,24.1,28.7,20.8,83.9,103.1,0.9,7.1,0.0,76,14.8,0,23.6,25.7,,2013,6,13
165,670807A001,,2013-06-14,22.5,25.5,20.9,90.8,98.5,0.8,5.0,1.5,0,6.9,384,23.3,22.8,,2013,6,14
166,670807A001,,2013-06-15,25.1,30.9,20.7,82.7,96.3,0.9,7.8,0.0,471,20.0,0,24.7,27.7,,2013,6,15
167,670807A001,,2013-06-16,25.2,32.2,18.9,76.8,137.3,0.9,10.4,0.0,612,23.0,0,25.8,28.7,,2013,6,16
168,670807A001,,2013-06-17,24.3,30.0,18.0,76.8,189.5,1.4,11.0,0.0,402,18.9,0,25.5,26.8,,2013,6,17
169,670807A001,,2013-06-18,24.2,26.3,22.4,95.3,132.0,1.0,6.6,6.5,0,5.0,513,24.9,24.1,,2013,6,18
170,670807A001,,2013-06-19,24.8,29.7,21.9,88.3,113.5,1.1,8.4,13.0,281,16.4,448,25.7,26.6,,2013,6,19
171,670807A001,,2013-06-20,25.9,31.7,21.7,82.6,107.5,0.7,6.6,0.0,308,16.9,0,26.5,27.9,,2013,6,20
172,670807A001,,2013-06-21,24.2,28.3,21.1,88.2,89.7,0.9,7.2,0.0,11,10.0,0,25.6,25.2,,2013,6,21
173,670807A001,,2013-06-22,23.9,29.8,20.0,84.3,94.9,1.0,6.6,1.5,212,16.8,173,25.5,26.0,,2013,6,22
174,670807A001,,2013-06-23,21.3,24.6,18.9,91.8,187.4,0.6,4.6,2.5,0,7.8,793,24.3,21.8,,2013,6,23
175,670807A001,,2013-06-24,22.5,29.2,17.8,83.1,149.4,0.7,5.5,0.0,288,18.3,1,23.9,24.9,,2013,6,24
176,670807A001,,2013-06-25,22.1,27.0,19.2,90.2,105.9,0.8,7.4,5.5,81,10.8,255,24.0,23.4,,2013,6,25
177,670807A001,,2013-06-26,23.3,29.3,18.7,83.3,171.0,0.9,9.6,2.5,364,17.6,172,24.1,24.7,,2013,6,26
178,670807A001,,2013-06-27,23.9,29.2,19.9,85.7,98.7,0.8,6.2,0.0,82,14.9,0,25.0,25.6,,2013,6,27
179,670807A001,,2013-06-28,23.8,28.1,20.3,89.2,106.9,0.9,7.7,0.0,30,13.5,131,25.2,25.4,,2013,6,28
180,670807A001,,2013-06-29,24.7,30.6,19.8,81.7,106.0,0.9,9.6,0.0,371,19.3,0,25.6,27.3,,2013,6,29
181,670807A001,,2013-06-30,24.8,30.4,18.4,80.7,112.1,1.2,9.7,0.0,609,21.4,0,26.1,27.5,,2013,6,30
