no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,050124D004,거창군 동변리,2022-06-01,21.2,31.1,12.5,50.1,169.3,0.9,7.6,0.0,685,26.0,0.0,23.1,24.2,7.9,2022,6,1
153,050124D004,거창군 동변리,2022-06-02,21.3,31.8,10.0,54.0,162.9,1.0,6.1,0.0,754,27.8,124.0,23.5,24.4,7.8,2022,6,2
154,050124D004,거창군 동변리,2022-06-03,22.7,33.8,12.6,60.7,174.2,0.9,6.4,0.0,654,26.1,145.0,24.8,25.1,7.8,2022,6,3
155,050124D004,거창군 동변리,2022-06-04,21.7,28.1,14.5,61.3,168.8,1.0,5.0,0.0,374,20.4,0.0,23.6,25.2,7.7,2022,6,4
156,050124D004,거창군 동변리,2022-06-05,17.1,20.2,15.5,83.2,240.3,0.9,5.2,0.0,0,3.8,952.0,18.0,22.7,12.1,2022,6,5
157,050124D004,거창군 동변리,2022-06-06,19.1,23.9,15.7,78.1,80.8,2.0,7.4,0.0,306,18.7,174.0,20.1,21.0,17.0,2022,6,6
158,050124D004,거창군 동변리,2022-06-07,16.3,18.4,14.5,84.7,195.6,0.6,3.3,0.0,56,4.9,506.0,17.2,20.1,15.9,2022,6,7
159,050124D004,거창군 동변리,2022-06-08,16.7,22.0,13.3,84.4,167.6,0.7,5.1,0.0,163,17.3,558.0,17.9,19.8,17.6,2022,6,8
160,050124D004,거창군 동변리,2022-06-09,18.5,25.7,12.4,79.2,136.1,0.8,4.8,0.0,380,20.2,477.0,19.7,20.3,15.1,2022,6,9
161,050124D004,거창군 동변리,2022-06-10,20.1,27.5,13.4,75.9,165.1,0.6,4.4,0.0,297,19.9,461.0,21.5,21.5,14.1,2022,6,10
162,050124D004,거창군 동변리,2022-06-11,21.4,28.7,15.3,73.4,158.6,1.0,6.6,0.0,496,20.9,245.0,22.7,22.7,13.2,2022,6,11
163,050124D004,거창군 동변리,2022-06-12,20.8,27.0,13.0,71.3,172.1,0.8,6.5,0.0,537,23.7,247.0,22.9,23.3,12.5,2022,6,12
164,050124D004,거창군 동변리,2022-06-13,20.3,24.5,16.7,70.6,105.8,1.5,6.1,0.0,201,17.7,2.0,22.0,23.6,11.8,2022,6,13
165,050124D004,거창군 동변리,2022-06-14,16.2,18.5,14.8,87.1,68.0,1.0,6.7,0.0,7,5.2,1113.0,17.5,21.7,11.1,2022,6,14
166,050124D004,거창군 동변리,2022-06-15,18.7,25.6,14.6,85.9,167.1,0.8,7.1,0.0,195,14.9,536.0,19.9,20.8,11.3,2022,6,15
167,050124D004,거창군 동변리,2022-06-16,21.5,27.5,15.6,66.1,183.2,1.1,9.3,0.0,692,27.5,281.0,23.2,22.3,11.7,2022,6,16
168,050124D004,거창군 동변리,2022-06-17,23.0,31.9,13.7,71.2,181.2,0.8,6.8,0.0,615,26.4,230.0,25.1,23.9,11.6,2022,6,17
169,050124D004,거창군 동변리,2022-06-18,25.1,32.7,19.4,74.8,213.2,0.8,6.5,0.0,525,24.4,427.0,26.9,26.0,11.3,2022,6,18
170,050124D004,거창군 동변리,2022-06-19,26.3,33.4,19.9,70.2,180.5,0.8,4.6,0.0,584,23.5,0.0,28.4,27.1,11.1,2022,6,19
171,050124D004,거창군 동변리,2022-06-20,26.3,33.6,19.3,72.8,184.3,0.8,5.1,0.0,595,24.5,298.0,28.6,28.0,10.7,2022,6,20
172,050124D004,거창군 동변리,2022-06-21,26.6,34.0,20.0,74.0,151.4,0.8,5.2,0.0,559,24.3,140.0,28.8,28.6,10.2,2022,6,21
173,050124D004,거창군 동변리,2022-06-22,27.7,35.1,20.8,71.0,216.1,0.8,5.8,0.0,647,24.7,251.0,30.0,29.3,9.9,2022,6,22
174,050124D004,거창군 동변리,2022-06-23,24.7,27.3,21.5,85.6,195.6,1.1,11.4,2.0,41,6.2,341.0,25.7,27.7,9.9,2022,6,23
175,050124D004,거창군 동변리,2022-06-24,25.2,29.4,20.7,80.0,210.2,1.4,7.5,2.0,315,17.7,465.0,25.4,25.7,21.8,2022,6,24
176,050124D004,거창군 동변리,2022-06-25,25.4,32.3,18.8,78.3,183.3,1.0,6.5,0.0,547,24.1,374.0,26.5,25.8,16.5,2022,6,25
177,050124D004,거창군 동변리,2022-06-26,25.9,31.2,20.9,81.6,185.2,1.1,7.4,0.0,246,15.6,372.0,26.8,26.2,15.1,2022,6,26
178,050124D004,거창군 동변리,2022-06-27,25.5,28.8,22.4,87.3,176.1,0.7,4.9,0.0,8,9.0,271.0,26.2,26.2,14.1,2022,6,27
179,050124D004,거창군 동변리,2022-06-28,26.9,31.6,23.4,77.3,181.1,1.1,7.1,0.0,39,12.9,12.0,27.5,26.2,13.3,2022,6,28
180,050124D004,거창군 동변리,2022-06-29,27.1,32.0,24.3,78.3,186.2,1.2,7.1,0.0,85,14.6,21.0,28.1,26.8,12.5,2022,6,29
181,050124D004,거창군 동변리,2022-06-30,26.6,30.9,22.4,82.3,198.1,0.8,5.0,0.0,144,14.3,238.0,27.8,27.4,11.8,2022,6,30
