no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,712851A001,경산시 자인면,2015-01-01,-5.1,-1.8,-9.9,39.1,291.3,4.0,14.1,0.0,533,25.4,0,-4.8,-1.2,33.1,2015,1,1
2,712851A001,경산시 자인면,2015-01-02,-5.2,0.3,-11.0,50.2,279.7,2.1,11.8,0.0,532,22.4,0,-4.9,-1.5,33.1,2015,1,2
3,712851A001,경산시 자인면,2015-01-03,-4.0,3.8,-11.2,48.2,264.6,0.9,7.1,0.0,536,25.9,0,-3.3,-1.7,33.0,2015,1,3
4,712851A001,경산시 자인면,2015-01-04,-0.9,9.8,-8.7,62.5,275.9,0.3,4.6,0.0,529,19.7,163,-0.6,-1.6,32.9,2015,1,4
5,712851A001,경산시 자인면,2015-01-05,0.4,8.9,-7.5,70.1,278.6,0.1,2.6,0.5,224,8.1,304,0.6,-1.4,32.8,2015,1,5
6,712851A001,경산시 자인면,2015-01-06,3.0,5.7,-2.4,53.2,282.4,2.8,11.0,7.0,528,25.5,460,3.2,0.0,35.7,2015,1,6
7,712851A001,경산시 자인면,2015-01-07,-3.4,0.7,-8.2,33.0,283.7,2.7,10.0,0.0,540,28.4,0,-2.9,-0.7,35.2,2015,1,7
8,712851A001,경산시 자인면,2015-01-08,-3.8,3.2,-10.4,47.8,270.5,1.3,8.7,0.0,545,26.7,0,-3.5,-1.3,34.9,2015,1,8
9,712851A001,경산시 자인면,2015-01-09,-1.3,4.6,-7.8,56.5,280.8,1.4,8.8,0.0,412,16.0,0,-1.3,-1.4,34.7,2015,1,9
10,712851A001,경산시 자인면,2015-01-10,-1.5,6.1,-7.7,57.4,280.2,1.1,8.2,0.0,545,27.0,24,-1.1,-1.3,34.5,2015,1,10
11,712851A001,경산시 자인면,2015-01-11,-1.3,7.5,-8.4,53.0,288.5,1.6,11.5,0.0,485,20.2,39,-1.0,-1.3,34.4,2015,1,11
12,712851A001,경산시 자인면,2015-01-12,-2.4,4.8,-8.6,54.0,276.4,0.3,6.3,0.0,536,23.1,0,-2.1,-1.4,34.3,2015,1,12
13,712851A001,경산시 자인면,2015-01-13,-2.0,8.6,-10.0,63.2,285.2,0.1,2.8,0.0,434,18.8,49,-1.6,-1.4,34.2,2015,1,13
14,712851A001,경산시 자인면,2015-01-14,1.2,5.3,-2.7,65.1,301.2,0.1,2.9,0.0,0,0.4,276,1.5,-1.0,34.1,2015,1,14
15,712851A001,경산시 자인면,2015-01-15,2.7,10.0,-4.3,70.5,265.8,0.2,4.3,0.0,142,5.5,462,3.0,0.2,34.0,2015,1,15
16,712851A001,경산시 자인면,2015-01-16,0.0,7.5,-7.0,66.7,284.0,1.6,9.4,0.0,346,8.9,98,0.5,-0.2,33.9,2015,1,16
17,712851A001,경산시 자인면,2015-01-17,0.1,3.7,-4.2,36.5,285.8,3.0,10.0,0.0,548,28.0,0,0.2,0.0,33.9,2015,1,17
18,712851A001,경산시 자인면,2015-01-18,-1.2,6.5,-10.6,42.2,265.4,0.9,5.2,0.0,548,28.1,0,-0.6,-0.7,33.8,2015,1,18
19,712851A001,경산시 자인면,2015-01-19,2.6,6.2,-2.8,59.7,288.3,1.6,9.7,0.0,386,9.9,255,2.4,0.1,33.7,2015,1,19
20,712851A001,경산시 자인면,2015-01-20,-0.6,7.9,-7.3,62.3,237.6,0.3,3.4,0.0,519,21.5,40,0.0,-0.1,33.7,2015,1,20
21,712851A001,경산시 자인면,2015-01-21,1.4,4.9,-2.6,78.9,288.6,0.0,2.6,6.0,0,0.5,648,1.9,0.2,33.6,2015,1,21
22,712851A001,경산시 자인면,2015-01-22,3.0,4.8,1.3,86.2,285.3,0.6,5.6,4.0,6,0.8,1320,3.7,1.2,36.4,2015,1,22
23,712851A001,경산시 자인면,2015-01-23,0.7,6.8,-4.4,76.9,276.8,0.2,4.5,0.0,488,17.9,315,1.1,1.3,36.2,2015,1,23
24,712851A001,경산시 자인면,2015-01-24,0.3,8.2,-6.3,70.0,274.3,0.8,6.5,0.0,544,22.8,154,0.7,0.7,35.6,2015,1,24
25,712851A001,경산시 자인면,2015-01-25,0.3,5.3,-5.1,78.6,297.1,0.1,2.2,2.0,20,1.1,380,0.9,0.3,35.2,2015,1,25
26,712851A001,경산시 자인면,2015-01-26,5.3,9.3,2.3,84.8,272.4,0.2,3.9,2.0,0,0.6,847,5.5,1.6,36.4,2015,1,26
27,712851A001,경산시 자인면,2015-01-27,1.8,6.1,-5.6,56.4,278.5,2.2,7.5,0.0,526,22.0,43,2.0,1.7,35.9,2015,1,27
28,712851A001,경산시 자인면,2015-01-28,-2.7,2.4,-7.4,62.4,286.6,0.4,3.8,0.0,285,8.3,105,-2.1,0.4,35.4,2015,1,28
29,712851A001,경산시 자인면,2015-01-29,0.2,4.7,-4.5,81.1,287.9,0.2,3.1,0.0,49,1.4,669,1.1,0.5,35.1,2015,1,29
30,712851A001,경산시 자인면,2015-01-30,1.1,4.3,-3.1,53.3,286.9,2.7,9.8,0.0,421,17.6,375,1.5,1.2,35.0,2015,1,30
31,712851A001,경산시 자인면,2015-01-31,-2.9,3.3,-7.4,46.4,285.3,1.4,6.3,0.0,584,29.3,0,-2.3,0.2,34.9,2015,1,31
