stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
712851A001,경산시 자인면,2024-01-01,2.4,9.7,-3.5,80.0,173.2,0.5,4.5,0.0,244,8.1,197,2.3,10.2,27.4,2024,1,1
712851A001,경산시 자인면,2024-01-02,4.8,9.9,1.3,71.9,273.1,0.8,6.5,0.0,312,8.7,0,4.7,10.7,27.3,2024,1,2
712851A001,경산시 자인면,2024-01-03,3.6,6.4,1.0,75.7,273.4,1.5,8.6,2.5,194,7.5,443,3.6,10.9,27.2,2024,1,3
712851A001,경산시 자인면,2024-01-04,1.7,8.7,-4.1,61.8,251.4,0.9,5.7,0.0,485,11.3,0,0.9,10.4,27.2,2024,1,4
712851A001,경산시 자인면,2024-01-05,2.0,12.4,-5.8,73.6,238.5,0.7,5.7,0.0,444,10.1,229,1.3,10.0,27.2,2024,1,5
712851A001,경산시 자인면,2024-01-06,1.1,8.4,-4.3,64.3,265.5,1.2,7.5,0.0,478,11.4,72,0.3,9.9,27.1,2024,1,6
712851A001,경산시 자인면,2024-01-07,-0.5,2.6,-4.6,49.2,278.4,1.9,12.0,0.0,473,11.3,0,-1.2,9.5,27.1,2024,1,7
712851A001,경산시 자인면,2024-01-08,-3.8,4.6,-9.9,49.5,241.8,0.6,4.7,0.0,483,12.0,0,-3.7,8.8,27.0,2024,1,8
712851A001,경산시 자인면,2024-01-09,-1.4,6.2,-8.6,64.8,181.9,0.3,2.2,0.0,56,5.0,191,-1.2,8.6,27.0,2024,1,9
712851A001,경산시 자인면,2024-01-10,2.4,7.3,-1.5,84.0,249.1,0.4,3.4,2.5,289,8.1,683,2.6,9.5,27.0,2024,1,10
712851A001,경산시 자인면,2024-01-11,-0.3,6.6,-5.7,74.6,274.5,1.1,7.0,0.0,485,11.4,97,-0.6,9.4,26.9,2024,1,11
712851A001,경산시 자인면,2024-01-12,1.7,10.0,-4.1,62.5,264.8,1.1,7.1,0.0,486,11.1,21,0.8,9.4,26.9,2024,1,12
712851A001,경산시 자인면,2024-01-13,0.7,8.1,-5.6,46.3,265.5,1.1,7.5,0.0,492,11.8,0,-0.7,9.2,26.9,2024,1,13
712851A001,경산시 자인면,2024-01-14,3.1,14.2,-7.7,67.8,244.9,1.3,8.4,0.0,433,11.0,105,2.7,9.1,26.9,2024,1,14
712851A001,경산시 자인면,2024-01-15,2.1,6.1,-1.8,46.7,269.3,1.8,8.0,0.0,498,12.2,0,0.9,9.7,26.8,2024,1,15
712851A001,경산시 자인면,2024-01-16,-1.2,7.6,-8.9,55.3,237.1,0.5,3.2,0.0,444,10.8,0,-1.5,9.1,26.8,2024,1,16
712851A001,경산시 자인면,2024-01-17,2.0,7.2,-4.6,76.4,217.4,0.2,2.2,1.0,13,3.4,481,2.1,9.2,26.7,2024,1,17
712851A001,경산시 자인면,2024-01-18,6.0,7.9,3.9,89.9,85.4,0.8,8.8,5.0,0,0.8,1064,5.3,10.2,26.8,2024,1,18
712851A001,경산시 자인면,2024-01-19,6.1,7.4,4.4,70.2,73.6,2.0,11.4,0.0,0,2.9,164,5.7,10.7,27.6,2024,1,19
712851A001,경산시 자인면,2024-01-20,5.8,7.6,4.0,88.9,56.9,1.5,6.7,16.0,0,1.4,1249,5.2,10.9,29.5,2024,1,20
712851A001,경산시 자인면,2024-01-21,5.5,8.8,3.0,85.8,88.5,0.5,4.9,2.5,0,5.3,696,6.0,11.2,30.7,2024,1,21
712851A001,경산시 자인면,2024-01-22,-0.9,5.0,-6.9,58.0,283.1,3.6,11.7,0.0,431,12.1,136,0.1,10.8,29.6,2024,1,22
712851A001,경산시 자인면,2024-01-23,-6.6,-2.4,-9.3,50.1,283.4,3.4,11.8,0.0,496,12.9,0,-5.0,9.1,29.2,2024,1,23
712851A001,경산시 자인면,2024-01-24,-5.6,-0.4,-9.6,49.9,277.1,2.5,10.8,0.0,521,13.4,0,-4.7,8.4,29.0,2024,1,24
712851A001,경산시 자인면,2024-01-25,-3.7,3.0,-9.7,45.3,271.8,1.5,8.0,0.0,524,13.3,0,-3.7,8.0,28.9,2024,1,25
712851A001,경산시 자인면,2024-01-26,0.3,6.9,-6.4,49.8,270.1,1.5,7.9,0.0,522,13.1,0,-1.2,7.9,28.8,2024,1,26
712851A001,경산시 자인면,2024-01-27,0.7,8.5,-6.3,59.9,251.4,1.1,6.6,0.0,525,13.2,37,-0.3,8.2,28.7,2024,1,27
712851A001,경산시 자인면,2024-01-28,-0.4,6.3,-5.6,60.5,274.0,1.3,8.2,0.0,534,13.2,0,-0.7,8.4,28.5,2024,1,28
712851A001,경산시 자인면,2024-01-29,-1.7,7.4,-8.4,64.6,273.6,0.8,6.3,0.0,540,13.7,59,-1.5,8.4,28.4,2024,1,29
712851A001,경산시 자인면,2024-01-30,0.1,10.9,-8.8,65.9,241.0,0.4,3.4,0.0,503,13.0,46,0.0,8.4,28.3,2024,1,30
712851A001,경산시 자인면,2024-01-31,6.2,15.1,1.0,62.0,225.0,0.4,3.8,0.0,351,10.5,46,5.7,9.5,28.2,2024,1,31
