stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
780950A001,경주시 용강상리,2024-01-01,4.3,8.6,1.4,72.8,,,,0.0,144.0,5.5,0.0,4.9,5.4,16.4
780950A001,경주시 용강상리,2024-01-02,5.6,10.1,1.1,65.4,,,,0.0,457.0,9.0,0.0,7.1,5.6,16.4
780950A001,경주시 용강상리,2024-01-03,4.4,7.1,2.3,65.3,,,,0.0,217.0,6.3,0.0,5.0,5.9,16.4
780950A001,경주시 용강상리,2024-01-04,3.3,10.4,-1.8,49.0,,,,0.0,479.0,9.8,0.0,4.5,5.1,16.2
780950A001,경주시 용강상리,2024-01-05,3.5,12.4,-3.6,64.7,,,,0.0,457.0,8.6,0.0,4.2,4.5,16.0
780950A001,경주시 용강상리,2024-01-06,3.7,9.0,-1.7,49.9,,,,0.0,479.0,9.6,0.0,4.3,4.6,15.9
780950A001,경주시 용강상리,2024-01-07,0.1,2.9,-3.3,40.0,,,,0.0,482.0,10.1,0.0,1.5,3.9,15.7
780950A001,경주시 용강상리,2024-01-08,-1.9,5.5,-6.4,34.7,,,,0.0,478.0,10.4,0.0,0.0,2.8,15.5
780950A001,경주시 용강상리,2024-01-09,0.9,7.7,-5.3,50.8,,,,1.5,212.0,5.8,114.0,0.9,2.6,15.4
780950A001,경주시 용강상리,2024-01-10,3.9,7.3,0.3,74.6,,,,0.5,72.0,5.1,772.0,4.3,3.7,15.3
780950A001,경주시 용강상리,2024-01-11,2.9,7.8,-2.2,61.0,,,,0.0,484.0,10.0,0.0,4.4,4.2,15.3
780950A001,경주시 용강상리,2024-01-12,4.0,10.6,-1.4,49.8,,,,0.0,485.0,9.7,0.0,5.1,4.1,15.4
780950A001,경주시 용강상리,2024-01-13,2.3,7.3,-2.8,38.8,,,,0.0,488.0,10.1,0.0,3.9,3.8,15.4
780950A001,경주시 용강상리,2024-01-14,4.6,14.3,-4.8,62.9,,,,0.0,455.0,9.8,0.0,5.5,3.6,15.4
780950A001,경주시 용강상리,2024-01-15,2.8,7.0,-0.8,48.6,,,,0.0,490.0,10.5,0.0,4.3,4.3,15.4
780950A001,경주시 용강상리,2024-01-16,1.6,9.4,-4.0,46.3,,,,0.0,467.0,9.6,0.0,3.0,3.4,15.3
780950A001,경주시 용강상리,2024-01-17,3.4,8.9,-2.3,76.7,,,,1.5,11.0,3.1,427.0,3.3,3.7,15.3
780950A001,경주시 용강상리,2024-01-18,6.3,8.0,5.1,92.3,,,,9.0,0.0,0.5,1413.0,5.8,5.1,18.3
780950A001,경주시 용강상리,2024-01-19,5.8,7.0,4.5,74.8,,,,4.0,0.0,1.3,605.0,5.4,5.5,23.0
780950A001,경주시 용강상리,2024-01-20,6.2,7.3,5.0,87.9,,,,13.0,0.0,1.8,1413.0,5.8,5.8,24.6
780950A001,경주시 용강상리,2024-01-21,5.6,7.4,4.2,80.7,,,,3.0,18.0,4.1,547.0,5.7,6.1,23.4
780950A001,경주시 용강상리,2024-01-22,-0.4,5.0,-6.8,55.8,,,,0.0,501.0,11.2,66.0,2.3,5.7,21.0
780950A001,경주시 용강상리,2024-01-23,-6.7,-2.4,-9.5,44.4,,,,0.0,486.0,10.9,0.0,-4.0,3.2,19.7
780950A001,경주시 용강상리,2024-01-24,-5.6,-0.8,-9.3,44.6,,,,0.0,512.0,11.7,0.0,-2.9,1.9,18.9
780950A001,경주시 용강상리,2024-01-25,-3.0,2.9,-7.9,37.2,,,,0.0,516.0,11.4,0.0,-0.7,1.5,18.2
780950A001,경주시 용강상리,2024-01-26,1.3,7.5,-3.2,40.3,,,,0.0,516.0,11.5,0.0,3.3,1.4,17.7
780950A001,경주시 용강상리,2024-01-27,2.8,8.9,-1.5,49.7,,,,0.0,515.0,11.5,0.0,4.6,1.8,17.4
780950A001,경주시 용강상리,2024-01-28,2.1,6.7,-1.9,45.9,,,,0.0,520.0,11.6,0.0,3.9,2.4,17.5
780950A001,경주시 용강상리,2024-01-29,1.3,8.6,-4.1,54.6,,,,0.0,521.0,11.6,0.0,3.2,2.5,17.5
780950A001,경주시 용강상리,2024-01-30,2.4,12.3,-4.7,63.0,,,,0.0,492.0,11.4,0.0,4.6,2.7,17.4
780950A001,경주시 용강상리,2024-01-31,7.4,15.9,1.7,60.3,,,,0.0,399.0,10.4,0.0,9.3,4.2,17.5
780950A001,경주시 용강상리,2024-02-01,6.1,8.6,2.8,66.5,,,,0.5,1.0,3.6,481.0,6.0,5.2,17.5
780950A001,경주시 용강상리,2024-02-02,3.7,6.4,2.1,85.6,,,,0.0,85.0,5.6,797.0,4.6,5.3,17.4
780950A001,경주시 용강상리,2024-02-03,4.8,7.9,2.2,88.2,,,,4.0,13.0,4.6,803.0,5.2,5.5,17.4
780950A001,경주시 용강상리,2024-02-04,5.2,6.8,3.9,88.9,,,,2.5,1.0,3.0,1214.0,5.5,5.9,20.7
780950A001,경주시 용강상리,2024-02-05,4.8,6.9,1.4,90.9,,,,22.5,0.0,2.3,1391.0,4.7,6.1,25.7
780950A001,경주시 용강상리,2024-02-06,2.4,4.6,0.4,85.9,,,,0.5,0.0,3.1,1349.0,3.1,5.6,22.8
780950A001,경주시 용강상리,2024-02-07,2.7,6.9,0.1,70.1,,,,0.0,495.0,11.6,0.0,4.7,5.4,21.2
780950A001,경주시 용강상리,2024-02-08,2.1,8.8,-2.8,68.5,,,,0.0,527.0,12.5,22.0,4.7,4.9,20.4
780950A001,경주시 용강상리,2024-02-09,3.2,10.3,-2.1,58.2,,,,0.0,432.0,12.3,0.0,5.6,5.0,19.9
