no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,321916A001,계룡시 두마면,2014-12-01,2.1,9.5,-3.8,77.9,109.7,1.8,12.4,3.5,50.0,3.9,447.0,,,,2014,12,1
336,321916A001,계룡시 두마면,2014-12-02,-3.8,0.4,-6.8,66.8,137.1,1.1,7.9,0.0,382.0,10.5,7.0,,,,2014,12,2
337,321916A001,계룡시 두마면,2014-12-03,-1.0,1.3,-6.6,95.6,139.9,0.7,6.2,2.0,37.0,1.1,1149.0,,,,2014,12,3
338,321916A001,계룡시 두마면,2014-12-04,-2.2,2.0,-4.5,89.2,130.2,0.3,5.4,2.5,241.0,4.2,772.0,,,,2014,12,4
339,321916A001,계룡시 두마면,2014-12-05,-5.4,0.1,-9.6,83.7,177.4,0.6,6.1,1.0,451.0,6.8,141.0,,,,2014,12,5
340,321916A001,계룡시 두마면,2014-12-06,-4.3,1.5,-9.6,78.1,128.6,0.7,5.9,0.5,475.0,15.0,60.0,,,,2014,12,6
341,321916A001,계룡시 두마면,2014-12-07,-3.0,3.0,-6.4,82.8,246.1,0.3,3.1,0.0,259.0,6.8,365.0,,,,2014,12,7
342,321916A001,계룡시 두마면,2014-12-08,-1.7,4.2,-6.3,88.0,164.5,0.5,4.2,3.5,306.0,6.4,765.0,,,,2014,12,8
343,321916A001,계룡시 두마면,2014-12-09,-4.3,3.1,-10.5,74.7,260.2,0.5,4.1,0.0,483.0,12.7,65.0,,,23.6,2014,12,9
344,321916A001,계룡시 두마면,2014-12-10,-0.8,3.4,-6.3,83.6,160.2,0.3,3.1,0.5,16.0,2.6,448.0,,,23.6,2014,12,10
345,321916A001,계룡시 두마면,2014-12-11,0.8,3.9,-4.9,79.6,115.9,0.9,8.9,0.5,45.0,4.3,549.0,,,23.9,2014,12,11
346,321916A001,계룡시 두마면,2014-12-12,-1.9,3.4,-5.4,84.9,129.7,0.7,6.2,0.0,307.0,9.1,550.0,,,22.8,2014,12,12
347,321916A001,계룡시 두마면,2014-12-13,-4.7,-0.5,-9.1,83.2,183.8,0.6,6.7,2.0,369.0,4.4,356.0,,,22.6,2014,12,13
348,321916A001,계룡시 두마면,2014-12-14,-3.4,3.7,-10.9,77.5,101.3,0.6,5.4,0.0,473.0,11.0,103.0,,,22.8,2014,12,14
349,321916A001,계룡시 두마면,2014-12-15,1.0,6.2,-3.7,82.8,213.1,0.4,5.4,5.5,0.0,3.8,624.0,,,23.1,2014,12,15
350,321916A001,계룡시 두마면,2014-12-16,-1.6,3.3,-7.1,78.6,123.3,1.6,11.0,9.0,108.0,5.1,383.0,,,25.2,2014,12,16
351,321916A001,계룡시 두마면,2014-12-17,-7.2,-4.2,-12.1,73.5,127.8,1.1,9.5,0.0,373.0,9.3,54.0,,,22.9,2014,12,17
352,321916A001,계룡시 두마면,2014-12-18,-4.9,1.9,-8.8,56.2,90.4,0.9,7.5,0.0,490.0,12.3,0.0,,,21.7,2014,12,18
353,321916A001,계룡시 두마면,2014-12-19,-4.0,1.6,-10.5,75.8,249.3,0.3,2.4,0.0,98.0,5.3,102.0,,,20.4,2014,12,19
354,321916A001,계룡시 두마면,2014-12-20,1.1,4.6,-3.4,72.4,114.2,1.2,8.9,3.5,312.0,9.1,583.0,,,23.3,2014,12,20
355,321916A001,계룡시 두마면,2014-12-21,-4.2,1.3,-8.7,73.5,137.0,0.8,7.9,0.0,388.0,11.0,13.0,,,22.3,2014,12,21
356,321916A001,계룡시 두마면,2014-12-22,-4.4,1.3,-10.3,91.3,145.4,0.5,6.7,1.0,70.0,3.8,575.0,,,22.2,2014,12,22
357,321916A001,계룡시 두마면,2014-12-23,-2.8,4.7,-9.1,87.7,246.9,0.2,2.3,0.0,43.0,4.2,475.0,,,22.0,2014,12,23
358,321916A001,계룡시 두마면,2014-12-24,1.8,7.6,-1.1,83.4,106.9,0.7,6.8,0.5,190.0,5.6,368.0,,,23.0,2014,12,24
359,321916A001,계룡시 두마면,2014-12-25,-1.3,3.9,-6.3,65.2,117.5,0.8,8.2,0.0,488.0,12.5,16.0,,,22.5,2014,12,25
360,321916A001,계룡시 두마면,2014-12-26,-4.1,3.8,-9.7,72.9,158.9,0.3,3.1,0.0,488.0,12.8,36.0,,,21.2,2014,12,26
361,321916A001,계룡시 두마면,2014-12-27,-3.3,6.4,-8.3,71.9,228.3,0.3,4.4,0.0,406.0,10.5,165.0,,,19.9,2014,12,27
362,321916A001,계룡시 두마면,2014-12-28,-2.4,4.5,-9.1,78.1,154.2,0.2,2.7,0.0,199.0,6.4,594.0,,,19.0,2014,12,28
363,321916A001,계룡시 두마면,2014-12-29,2.2,6.8,-1.4,85.0,126.3,0.6,6.1,0.0,195.0,6.3,650.0,,,20.0,2014,12,29
364,321916A001,계룡시 두마면,2014-12-30,1.8,9.6,-3.7,77.1,113.5,0.6,6.7,0.0,449.0,10.1,864.0,,,21.7,2014,12,30
365,321916A001,계룡시 두마면,2014-12-31,-1.0,3.2,-4.4,75.1,117.9,1.2,10.0,1.5,228.0,6.1,793.0,,,22.0,2014,12,31
