stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-01,15.7,21.9,11.5,73.8,232.1,1.1,7.5,0.0,533,20.1,0,,,17.7,2024,5,1
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-02,15.8,25.1,8.0,80.4,233.6,0.7,5.9,0.0,710,23.1,0,,,16.9,2024,5,2
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-03,17.1,28.2,6.1,68.8,210.6,0.5,4.8,0.0,695,25.4,0,,,16.1,2024,5,3
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-04,19.8,29.1,8.6,70.7,219.0,0.6,6.4,0.0,687,24.2,0,,,15.1,2024,5,4
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-05,18.5,20.2,16.2,100.0,271.1,0.6,6.8,60.5,0,2.3,0,,,22.4,2024,5,5
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-06,14.2,16.3,13.4,100.0,271.1,1.1,7.9,9.5,0,2.3,0,,,33.7,2024,5,6
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-07,13.1,15.2,10.7,100.0,270.9,0.8,6.5,20.0,0,3.1,0,,,33.8,2024,5,7
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-08,13.9,20.9,8.8,82.1,244.1,1.0,6.1,1.5,634,24.5,0,,,31.4,2024,5,8
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-09,14.4,22.7,5.9,71.1,220.4,0.7,6.6,0.0,691,24.6,0,,,27.8,2024,5,9
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-10,16.6,25.8,7.6,75.0,220.0,0.5,5.7,0.0,673,25.1,0,,,25.9,2024,5,10
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-11,18.1,25.5,10.5,88.5,251.8,1.2,11.1,20.0,333,14.7,0,,,25.6,2024,5,11
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-12,16.4,23.2,10.3,78.4,230.8,0.7,6.7,5.0,615,24.1,0,,,31.3,2024,5,12
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-13,16.5,26.2,7.3,74.8,215.0,0.5,5.7,0.0,689,26.5,0,,,27.5,2024,5,13
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-14,17.1,25.9,7.9,71.7,214.6,0.5,4.7,0.0,736,26.1,0,,,25.4,2024,5,14
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-15,13.1,23.5,6.8,87.7,250.7,0.8,7.2,7.5,446,19.1,0,,,24.4,2024,5,15
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-16,13.8,20.6,7.5,82.7,246.4,1.2,7.6,1.5,685,26.5,0,,,27.6,2024,5,16
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-17,18.7,26.3,11.7,74.9,233.3,0.8,5.8,0.0,672,23.7,0,,,26.0,2024,5,17
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-18,19.2,28.1,9.8,79.7,230.1,0.5,5.0,0.0,737,25.1,0,,,24.2,2024,5,18
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-19,20.7,29.8,12.4,70.2,218.5,0.6,4.4,0.0,707,25.7,0,,,22.6,2024,5,19
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-20,18.2,25.7,9.8,91.6,252.2,0.4,4.1,0.0,408,16.6,0,,,21.2,2024,5,20
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-21,19.9,27.9,13.3,90.1,250.6,0.7,5.5,0.0,533,22.6,0,,,20.5,2024,5,21
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-22,21.1,28.9,13.8,89.5,248.6,0.5,4.3,0.0,648,23.7,0,,,19.8,2024,5,22
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-23,21.3,29.6,14.5,82.0,236.3,0.6,4.4,0.0,726,25.5,0,,,19.0,2024,5,23
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-24,19.9,28.1,12.6,93.4,258.8,0.6,4.5,0.0,545,21.5,0,,,18.2,2024,5,24
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-25,19.2,22.2,15.0,87.0,250.0,0.6,5.8,0.0,9,9.6,0,,,17.9,2024,5,25
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-26,19.9,27.6,12.5,91.4,254.2,0.8,7.5,36.0,386,15.6,0,,,21.5,2024,5,26
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-27,18.5,23.3,13.2,84.0,245.8,0.8,6.2,0.0,583,20.2,0,,,30.2,2024,5,27
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-28,17.7,25.3,10.7,81.7,234.1,0.8,7.0,0.0,534,20.4,0,,,27.6,2024,5,28
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-29,19.7,28.4,10.5,76.6,225.3,0.4,4.2,0.0,708,24.9,0,,,26.0,2024,5,29
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-30,19.9,25.7,14.2,87.7,249.1,0.3,4.3,0.0,114,11.2,0,,,24.8,2024,5,30
321916A001,°è·æ½Ã µÎ¸¶¸é,2024-05-31,20.9,27.1,14.9,77.7,242.6,0.9,5.0,0.0,727,26.0,0,,,23.9,2024,5,31
