stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
638802A001,고성군 고성읍,2024-05-01,14.7,18.9,10.4,76.4,,,,0.5,,11.5,511.0,,17.7,31.2,2024,5,1
638802A001,고성군 고성읍,2024-05-02,13.8,22.1,6.4,72.6,,,,0.0,,27.3,0.0,,17.2,30.2,2024,5,2
638802A001,고성군 고성읍,2024-05-03,15.6,22.8,8.3,72.9,,,,0.0,,27.9,1.0,,17.6,29.4,2024,5,3
638802A001,고성군 고성읍,2024-05-04,17.6,24.5,8.1,69.9,,,,0.0,,26.8,0.0,,18.0,28.7,2024,5,4
638802A001,고성군 고성읍,2024-05-05,18.1,19.2,16.7,89.8,,,,79.5,,1.4,1064.0,,18.2,32.5,2024,5,5
638802A001,고성군 고성읍,2024-05-06,,,,,,,,,,,,,,,2024,5,6
638802A001,고성군 고성읍,2024-05-07,,,,,,,,,,,,,,,2024,5,7
638802A001,고성군 고성읍,2024-05-08,14.9,19.0,0.0,67.6,,,,1.0,,11.8,0.0,,17.9,32.3,2024,5,8
638802A001,고성군 고성읍,2024-05-09,14.7,20.5,8.0,80.5,,,,0.0,,27.9,0.0,,17.4,30.1,2024,5,9
638802A001,고성군 고성읍,2024-05-10,16.6,22.2,9.9,70.1,,,,0.0,,28.0,0.0,,18.0,28.0,2024,5,10
638802A001,고성군 고성읍,2024-05-11,19.0,21.7,14.1,86.6,,,,15.5,,14.0,154.0,,18.2,27.2,2024,5,11
638802A001,고성군 고성읍,2024-05-12,19.1,23.4,15.3,78.4,,,,18.0,,16.6,302.0,,19.0,31.8,2024,5,12
638802A001,고성군 고성읍,2024-05-13,17.7,25.1,12.1,62.7,,,,0.0,,29.3,0.0,,19.0,28.1,2024,5,13
638802A001,고성군 고성읍,2024-05-14,17.2,24.5,9.6,73.7,,,,0.0,,29.0,0.0,,18.9,26.3,2024,5,14
638802A001,고성군 고성읍,2024-05-15,17.6,23.0,12.1,71.5,,,,0.0,,28.8,0.0,,19.2,25.0,2024,5,15
638802A001,고성군 고성읍,2024-05-16,16.6,23.6,10.0,48.7,,,,0.0,,29.3,82.0,,18.5,24.0,2024,5,16
638802A001,고성군 고성읍,2024-05-17,17.0,22.2,10.9,66.9,,,,0.0,,26.8,0.0,,18.3,23.2,2024,5,17
638802A001,고성군 고성읍,2024-05-18,18.0,28.1,10.5,78.0,,,,0.0,,29.1,0.0,,18.9,22.5,2024,5,18
638802A001,고성군 고성읍,2024-05-19,19.8,28.1,10.5,61.9,,,,0.0,,29.4,0.0,,19.4,21.8,2024,5,19
638802A001,고성군 고성읍,2024-05-20,21.0,28.5,13.6,65.6,,,,0.0,,28.0,0.0,,20.0,21.2,2024,5,20
638802A001,고성군 고성읍,2024-05-21,18.8,23.4,14.4,76.9,,,,0.0,,27.0,0.0,,20.3,20.7,2024,5,21
638802A001,고성군 고성읍,2024-05-22,19.0,26.0,13.6,77.4,,,,0.0,,23.1,0.0,,20.2,20.3,2024,5,22
638802A001,고성군 고성읍,2024-05-23,21.2,28.0,15.1,76.9,,,,0.0,,28.2,0.0,,20.9,19.9,2024,5,23
638802A001,고성군 고성읍,2024-05-24,21.0,27.7,15.6,73.7,,,,0.0,,28.3,0.0,,21.3,19.3,2024,5,24
638802A001,고성군 고성읍,2024-05-25,19.6,23.1,15.8,55.8,,,,0.0,,22.8,0.0,,20.9,18.6,2024,5,25
638802A001,고성군 고성읍,2024-05-26,19.1,22.0,14.0,85.9,,,,15.5,,12.3,455.0,,20.1,19.3,2024,5,26
638802A001,고성군 고성읍,2024-05-27,21.7,26.0,18.4,67.1,,,,0.0,,22.8,503.0,,21.1,23.5,2024,5,27
638802A001,고성군 고성읍,2024-05-28,20.2,25.4,15.0,60.5,,,,0.0,,22.5,0.0,,21.1,21.8,2024,5,28
638802A001,고성군 고성읍,2024-05-29,18.9,25.1,12.5,78.8,,,,0.0,,29.4,0.0,,20.9,20.6,2024,5,29
638802A001,고성군 고성읍,2024-05-30,19.0,25.1,14.2,74.6,,,,0.5,,14.0,62.0,,20.4,20.1,2024,5,30
638802A001,고성군 고성읍,2024-05-31,20.1,25.3,15.6,77.2,,,,0.5,,28.1,540.0,,21.1,19.8,2024,5,31
