no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,411801A001,고양시 구산동,2015-12-01,2.3,10.2,-2.7,81.5,297.1,0.4,4.4,0.0,443,10.0,0.0,4.4,1.6,23.1,2015,12,1
336,411801A001,고양시 구산동,2015-12-02,6.9,10.3,3.3,76.9,304.2,2.1,9.7,14.0,66,2.2,0.0,5.6,5.6,25.0,2015,12,2
337,411801A001,고양시 구산동,2015-12-03,0.8,4.8,-2.0,77.4,308.3,3.4,11.8,0.5,28,4.0,0.0,2.1,0.3,24.8,2015,12,3
338,411801A001,고양시 구산동,2015-12-04,-0.1,4.3,-3.5,72.2,298.5,1.5,7.6,0.0,400,9.5,0.0,2.0,-0.4,23.7,2015,12,4
339,411801A001,고양시 구산동,2015-12-05,2.8,7.5,-1.4,68.4,287.6,1.5,6.4,0.0,440,9.5,0.0,4.1,2.2,23.0,2015,12,5
340,411801A001,고양시 구산동,2015-12-06,0.5,5.8,-2.6,65.1,286.5,0.8,3.9,0.0,309,8.7,0.0,2.7,-0.6,22.5,2015,12,6
341,411801A001,고양시 구산동,2015-12-07,0.3,6.9,-4.9,75.3,301.0,0.8,4.0,0.0,489,10.2,0.0,2.9,-0.6,22.0,2015,12,7
342,411801A001,고양시 구산동,2015-12-08,0.8,8.2,-3.7,77.9,291.3,0.4,3.0,0.0,490,10.3,0.0,3.2,0.1,21.6,2015,12,8
343,411801A001,고양시 구산동,2015-12-09,2.2,10.6,-3.2,81.4,304.8,0.5,3.5,0.0,327,8.2,0.0,3.6,1.2,21.4,2015,12,9
344,411801A001,고양시 구산동,2015-12-10,5.4,7.3,3.3,87.4,322.4,1.0,5.4,0.5,0,0.8,0.0,4.8,4.4,21.3,2015,12,10
345,411801A001,고양시 구산동,2015-12-11,5.7,12.6,1.4,72.3,302.8,1.6,6.1,0.0,354,7.5,0.0,5.3,4.2,21.1,2015,12,11
346,411801A001,고양시 구산동,2015-12-12,3.0,11.4,-3.1,72.1,289.5,0.6,4.3,0.0,483,10.1,0.0,4.2,1.7,20.9,2015,12,12
347,411801A001,고양시 구산동,2015-12-13,2.7,9.8,-1.7,75.9,297.6,0.9,4.0,0.0,503,10.1,0.0,4.4,1.9,20.7,2015,12,13
348,411801A001,고양시 구산동,2015-12-14,3.7,6.1,-0.6,86.1,320.4,0.7,3.8,1.5,0,1.6,0.0,3.9,2.8,20.7,2015,12,14
349,411801A001,고양시 구산동,2015-12-15,5.2,8.4,2.6,75.7,299.6,1.6,6.3,0.0,74,4.4,0.0,4.8,4.3,20.7,2015,12,15
350,411801A001,고양시 구산동,2015-12-16,-0.1,3.1,-3.6,62.5,291.4,3.2,9.7,0.0,374,8.2,0.0,2.0,-0.6,20.6,2015,12,16
351,411801A001,고양시 구산동,2015-12-17,-4.1,-0.3,-7.6,56.0,283.7,2.7,8.4,0.0,525,10.9,0.0,-0.4,-4.6,20.3,2015,12,17
352,411801A001,고양시 구산동,2015-12-18,-3.7,-0.1,-8.3,79.6,304.5,0.6,3.4,0.0,0,1.4,0.0,-1.5,-5.1,20.2,2015,12,18
353,411801A001,고양시 구산동,2015-12-19,-2.1,6.7,-7.4,80.6,299.1,0.4,3.1,0.0,446,9.7,0.0,0.7,-2.9,19.8,2015,12,19
354,411801A001,고양시 구산동,2015-12-20,-0.4,6.0,-6.3,79.5,307.8,0.4,2.9,0.0,93,5.5,0.0,0.9,-1.3,19.7,2015,12,20
355,411801A001,고양시 구산동,2015-12-21,2.0,6.6,-2.2,85.6,316.7,0.7,4.9,1.5,167,4.8,0.0,2.4,0.8,19.7,2015,12,21
356,411801A001,고양시 구산동,2015-12-22,0.8,5.8,-3.6,87.4,314.3,0.8,3.3,0.0,304,7.7,0.0,2.4,0.4,19.7,2015,12,22
357,411801A001,고양시 구산동,2015-12-23,4.2,9.8,-0.1,71.9,299.3,1.2,4.6,0.0,354,8.1,0.0,4.5,3.4,19.7,2015,12,23
358,411801A001,고양시 구산동,2015-12-24,1.7,5.8,-1.3,75.6,301.5,1.5,6.2,0.0,150,6.7,0.0,2.3,0.4,19.7,2015,12,24
359,411801A001,고양시 구산동,2015-12-25,-0.3,4.1,-5.0,55.0,284.9,1.4,7.3,0.0,522,10.5,0.0,1.6,-0.9,19.6,2015,12,25
360,411801A001,고양시 구산동,2015-12-26,1.0,5.0,-3.4,81.8,310.8,2.2,7.3,1.0,0,3.8,0.0,1.2,0.1,19.6,2015,12,26
361,411801A001,고양시 구산동,2015-12-27,-5.7,-2.4,-8.7,51.4,284.0,2.2,6.8,0.0,527,10.8,0.0,-0.9,-6.1,19.4,2015,12,27
362,411801A001,고양시 구산동,2015-12-28,-5.9,-0.1,-10.8,63.6,281.0,0.9,6.2,0.0,518,10.7,0.0,-1.7,-6.9,18.9,2015,12,28
363,411801A001,고양시 구산동,2015-12-29,-4.1,3.0,-10.6,71.4,291.4,0.3,2.7,0.0,333,7.8,0.0,-1.4,-5.2,18.2,2015,12,29
364,411801A001,고양시 구산동,2015-12-30,0.6,5.4,-5.4,78.1,303.2,1.3,6.8,4.5,55,4.4,0.0,0.2,-0.4,18.1,2015,12,30
365,411801A001,고양시 구산동,2015-12-31,0.6,4.1,-3.7,86.9,314.6,1.0,4.5,0.0,360,7.9,0.0,1.5,-0.3,18.2,2015,12,31
