no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,412040A002,고양시 덕양구,2020-11-01,13.4,15.1,9.9,84.0,81.0,0.8,6.7,10.0,0.0,1.7,0.0,,,19.5,2020,11,1
306,412040A002,고양시 덕양구,2020-11-02,10.0,16.0,4.0,63.9,178.9,0.6,7.8,0.0,552.0,13.0,0.0,,,19.3,2020,11,2
307,412040A002,고양시 덕양구,2020-11-03,5.2,9.7,-0.4,47.1,208.0,1.5,12.4,0.0,540.0,13.5,0.0,,,19.4,2020,11,3
308,412040A002,고양시 덕양구,2020-11-04,3.5,11.1,-3.1,51.4,171.6,0.5,6.7,0.0,551.0,14.0,0.0,,,19.5,2020,11,4
309,412040A002,고양시 덕양구,2020-11-05,8.4,15.5,1.2,66.6,139.8,0.4,6.4,0.0,492.0,11.5,0.0,,,19.6,2020,11,5
310,412040A002,고양시 덕양구,2020-11-06,12.3,17.3,8.6,68.2,127.2,0.4,5.6,0.0,48.0,5.1,0.0,,,19.7,2020,11,6
311,412040A002,고양시 덕양구,2020-11-07,14.0,18.3,8.5,71.6,197.0,0.7,7.3,0.0,443.0,10.0,0.0,,,19.6,2020,11,7
312,412040A002,고양시 덕양구,2020-11-08,7.8,12.4,0.7,49.6,205.9,1.2,10.2,0.0,535.0,13.3,0.0,,,19.5,2020,11,8
313,412040A002,고양시 덕양구,2020-11-09,4.1,9.7,-2.4,47.5,167.7,0.4,5.2,0.0,336.0,9.8,0.0,,,19.5,2020,11,9
314,412040A002,고양시 덕양구,2020-11-10,5.7,13.3,-0.8,60.1,189.9,0.6,9.0,0.0,539.0,12.4,0.0,,,19.5,2020,11,10
315,412040A002,고양시 덕양구,2020-11-11,7.2,16.8,0.1,58.1,170.4,0.3,4.3,0.0,531.0,12.0,0.0,,,19.5,2020,11,11
316,412040A002,고양시 덕양구,2020-11-12,8.2,17.3,1.1,60.9,158.9,0.3,4.6,0.0,529.0,11.4,0.0,,,19.4,2020,11,12
317,412040A002,고양시 덕양구,2020-11-13,10.8,17.9,5.7,72.1,164.1,0.3,5.1,0.0,339.0,7.7,0.0,,,19.5,2020,11,13
318,412040A002,고양시 덕양구,2020-11-14,10.0,19.0,3.3,71.3,153.0,0.4,7.2,0.0,450.0,10.5,0.0,,,19.4,2020,11,14
319,412040A002,고양시 덕양구,2020-11-15,8.4,15.4,4.0,81.3,199.9,0.3,4.9,0.0,236.0,6.3,0.0,,,19.4,2020,11,15
320,412040A002,고양시 덕양구,2020-11-16,9.6,17.9,4.7,80.0,206.9,0.3,4.6,0.0,476.0,9.3,0.0,,,19.4,2020,11,16
321,412040A002,고양시 덕양구,2020-11-17,14.1,19.9,7.5,71.6,137.3,0.3,6.9,0.0,86.0,4.1,0.0,,,19.5,2020,11,17
322,412040A002,고양시 덕양구,2020-11-18,17.7,20.3,15.0,82.4,101.8,0.9,7.5,8.5,0.0,2.1,0.0,,,19.5,2020,11,18
323,412040A002,고양시 덕양구,2020-11-19,14.7,20.1,7.2,83.2,157.6,1.9,11.5,57.0,0.0,0.8,0.0,,,31.7,2020,11,19
324,412040A002,고양시 덕양구,2020-11-20,3.2,7.3,-1.2,69.8,210.5,1.4,7.4,0.0,7.0,2.1,0.0,,,30.3,2020,11,20
325,412040A002,고양시 덕양구,2020-11-21,5.2,12.5,-1.7,66.9,169.5,0.6,8.8,0.5,376.0,8.3,0.0,,,27.5,2020,11,21
326,412040A002,고양시 덕양구,2020-11-22,6.0,8.5,0.9,77.4,203.8,0.7,9.3,3.5,48.0,2.4,0.0,,,27.1,2020,11,22
327,412040A002,고양시 덕양구,2020-11-23,0.7,5.6,-2.9,65.4,180.9,0.6,8.7,0.0,496.0,10.2,0.0,,,27.0,2020,11,23
328,412040A002,고양시 덕양구,2020-11-24,1.6,6.1,-2.1,59.5,186.3,0.4,5.0,0.0,112.0,4.7,0.0,,,26.5,2020,11,24
329,412040A002,고양시 덕양구,2020-11-25,2.9,9.4,-2.4,66.5,168.7,0.2,4.2,0.0,265.0,6.7,0.0,,,26.1,2020,11,25
330,412040A002,고양시 덕양구,2020-11-26,3.3,10.7,-1.1,73.4,190.2,0.4,5.6,0.0,408.0,8.6,0.0,,,25.6,2020,11,26
331,412040A002,고양시 덕양구,2020-11-27,3.7,7.8,-0.7,63.5,206.6,0.8,9.0,0.0,314.0,7.4,0.0,,,25.3,2020,11,27
332,412040A002,고양시 덕양구,2020-11-28,-0.4,2.5,-3.7,49.8,207.1,1.0,8.5,0.0,484.0,10.6,0.0,,,24.9,2020,11,28
333,412040A002,고양시 덕양구,2020-11-29,-1.0,3.3,-4.8,60.0,190.1,0.5,5.6,0.0,135.0,5.3,0.0,,,24.7,2020,11,29
334,412040A002,고양시 덕양구,2020-11-30,-1.7,4.1,-5.7,62.7,179.1,0.4,6.5,0.0,490.0,10.1,0.0,,,24.5,2020,11,30
