no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,548912A001,고흥군 풍양면,2022-06-01,19.8,27.5,13.9,65.7,186.5,0.8,6.7,0.0,,25.9,88,,,19.4,2022,6,1
153,548912A001,고흥군 풍양면,2022-06-02,19.8,27.9,12.2,83.9,202.9,0.7,6.0,0.0,,29.8,516,,,19.4,2022,6,2
154,548912A001,고흥군 풍양면,2022-06-03,20.9,28.4,15.2,83.3,112.8,1.4,8.4,0.0,,29.5,461,,,19.4,2022,6,3
155,548912A001,고흥군 풍양면,2022-06-04,19.8,24.8,13.2,73.5,98.5,2.7,11.1,0.0,,23.8,348,,,19.4,2022,6,4
156,548912A001,고흥군 풍양면,2022-06-05,17.1,19.8,15.4,94.9,94.1,2.4,11.9,42.5,,4.6,1213,,,23.2,2022,6,5
157,548912A001,고흥군 풍양면,2022-06-06,19.8,26.0,14.5,84.3,263.9,1.5,8.8,0.0,,24.3,205,,,32.4,2022,6,6
158,548912A001,고흥군 풍양면,2022-06-07,17.8,20.3,15.1,83.4,102.3,2.4,10.6,4.5,,15.0,136,,,30.6,2022,6,7
159,548912A001,고흥군 풍양면,2022-06-08,17.2,21.7,13.7,88.0,103.8,1.6,8.6,0.5,,18.7,190,,,30.4,2022,6,8
160,548912A001,고흥군 풍양면,2022-06-09,18.1,24.9,12.9,83.1,116.2,0.9,5.8,0.0,,27.3,571,,,29.8,2022,6,9
161,548912A001,고흥군 풍양면,2022-06-10,18.5,23.2,12.5,87.0,98.4,0.8,5.3,0.0,,19.3,574,,,28.8,2022,6,10
162,548912A001,고흥군 풍양면,2022-06-11,21.0,28.0,16.7,83.2,112.4,1.1,8.9,0.0,,25.5,435,,,28.0,2022,6,11
163,548912A001,고흥군 풍양면,2022-06-12,19.5,24.7,15.0,83.4,103.6,1.3,7.0,0.0,,23.7,463,,,27.2,2022,6,12
164,548912A001,고흥군 풍양면,2022-06-13,18.8,20.9,16.3,82.2,96.2,2.0,9.3,5.0,,7.9,313,,,26.8,2022,6,13
165,548912A001,고흥군 풍양면,2022-06-14,17.6,19.9,16.2,89.0,91.8,1.7,10.1,2.5,,9.4,485,,,26.8,2022,6,14
166,548912A001,고흥군 풍양면,2022-06-15,19.4,25.7,15.6,91.2,173.5,1.0,6.6,0.0,,19.6,275,,,26.9,2022,6,15
167,548912A001,고흥군 풍양면,2022-06-16,21.5,28.3,16.4,82.9,223.5,1.2,9.0,0.0,,23.7,314,,,26.9,2022,6,16
168,548912A001,고흥군 풍양면,2022-06-17,21.7,27.9,17.1,89.2,187.0,0.8,5.7,0.0,,19.8,258,,,26.8,2022,6,17
169,548912A001,고흥군 풍양면,2022-06-18,22.6,27.9,19.4,88.3,230.9,1.1,8.7,0.0,,23.1,306,,,26.7,2022,6,18
170,548912A001,고흥군 풍양면,2022-06-19,22.6,29.3,18.8,90.3,191.8,0.8,7.2,0.0,,19.8,432,,,26.5,2022,6,19
171,548912A001,고흥군 풍양면,2022-06-20,22.6,28.3,18.7,92.0,167.6,0.7,5.6,0.0,,18.0,206,,,26.3,2022,6,20
172,548912A001,고흥군 풍양면,2022-06-21,24.3,30.0,18.6,87.2,183.8,0.9,6.8,0.0,,22.9,65,,,26.0,2022,6,21
173,548912A001,고흥군 풍양면,2022-06-22,24.2,30.1,19.8,87.0,172.9,1.1,8.4,0.0,,27.2,195,,,25.5,2022,6,22
174,548912A001,고흥군 풍양면,2022-06-23,23.8,28.1,21.6,93.6,170.4,1.3,8.2,0.0,,13.6,341,,,25.1,2022,6,23
175,548912A001,고흥군 풍양면,2022-06-24,22.6,25.5,21.2,97.8,202.2,1.7,8.8,32.0,,10.2,592,,,33.2,2022,6,24
176,548912A001,고흥군 풍양면,2022-06-25,23.7,28.3,20.8,92.6,167.4,1.0,7.7,0.0,,16.5,303,,,32.7,2022,6,25
177,548912A001,고흥군 풍양면,2022-06-26,24.2,29.5,21.2,94.7,160.4,1.5,8.3,0.0,,20.6,265,,,31.4,2022,6,26
178,548912A001,고흥군 풍양면,2022-06-27,23.0,23.9,22.2,100.0,162.1,2.4,13.4,0.0,,5.8,186,,,30.7,2022,6,27
179,548912A001,고흥군 풍양면,2022-06-28,23.1,23.9,22.2,100.0,160.8,2.3,12.4,0.0,,7.3,138,,,30.2,2022,6,28
180,548912A001,고흥군 풍양면,2022-06-29,23.1,23.9,22.4,100.0,149.2,2.2,13.5,3.0,,8.2,398,,,29.8,2022,6,29
181,548912A001,고흥군 풍양면,2022-06-30,24.1,27.1,22.7,97.8,153.0,1.8,9.4,1.5,,18.7,267,,,29.7,2022,6,30
