no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
213,516821A001,곡성군 오곡면,2019-08-01,28.6,35.3,22.7,82.5,194.0,0.9,4.4,0.0,673.0,23.8,331,,28.7,36.4,2019,8,1
214,516821A001,곡성군 오곡면,2019-08-02,29.3,36.0,23.9,83.2,186.5,0.8,4.7,0.0,665.0,23.8,258,,29.2,36.0,2019,8,2
215,516821A001,곡성군 오곡면,2019-08-03,28.5,34.5,23.3,84.0,181.8,1.0,6.0,0.0,610.0,21.1,354,,29.4,35.6,2019,8,3
216,516821A001,곡성군 오곡면,2019-08-04,28.3,36.0,22.9,84.6,179.2,1.0,4.3,0.0,657.0,21.5,441,,29.2,34.7,2019,8,4
217,516821A001,곡성군 오곡면,2019-08-05,28.5,36.5,23.0,84.6,184.8,0.7,4.0,0.0,567.0,21.3,441,,29.4,34.6,2019,8,5
218,516821A001,곡성군 오곡면,2019-08-06,27.5,32.6,23.7,84.6,105.5,1.2,6.3,0.0,433.0,15.4,540,,29.1,35.1,2019,8,6
219,516821A001,곡성군 오곡면,2019-08-07,28.1,34.9,23.3,86.0,187.4,1.0,4.9,0.0,472.0,19.1,134,,29.0,35.1,2019,8,7
220,516821A001,곡성군 오곡면,2019-08-08,28.0,33.4,23.8,87.5,200.3,0.8,4.5,0.0,449.0,15.9,412,,29.1,35.1,2019,8,8
221,516821A001,곡성군 오곡면,2019-08-09,27.9,34.1,23.2,84.9,195.8,0.8,4.1,0.0,535.0,17.9,288,,29.0,35.1,2019,8,9
222,516821A001,곡성군 오곡면,2019-08-10,28.5,34.5,22.5,73.8,130.1,1.6,8.6,0.0,655.0,21.6,423,,29.0,35.0,2019,8,10
223,516821A001,곡성군 오곡면,2019-08-11,28.4,31.0,25.7,72.7,135.7,3.4,14.5,1.0,280.0,12.1,320,,28.3,35.0,2019,8,11
224,516821A001,곡성군 오곡면,2019-08-12,27.7,30.7,25.5,89.7,157.2,2.3,10.0,8.0,159.0,10.9,624,,28.0,40.9,2019,8,12
225,516821A001,곡성군 오곡면,2019-08-13,28.9,35.6,23.3,84.5,173.1,0.9,4.8,0.0,629.0,18.8,164,,28.4,38.2,2019,8,13
226,516821A001,곡성군 오곡면,2019-08-14,29.0,34.2,24.1,82.4,92.1,1.6,7.1,0.0,659.0,21.3,170,,29.0,36.8,2019,8,14
227,516821A001,곡성군 오곡면,2019-08-15,26.3,28.8,24.2,92.3,260.1,1.1,6.7,2.5,27.0,6.9,488,,28.6,37.0,2019,8,15
228,516821A001,곡성군 오곡면,2019-08-16,26.0,30.4,21.8,88.5,219.5,0.9,5.4,0.5,252.0,11.1,472,,27.9,37.3,2019,8,16
229,516821A001,곡성군 오곡면,2019-08-17,25.8,32.0,20.7,84.5,185.4,1.0,4.9,0.0,666.0,22.3,457,,27.9,37.1,2019,8,17
230,516821A001,곡성군 오곡면,2019-08-18,25.7,32.8,20.0,81.4,95.9,0.9,3.9,0.0,560.0,22.1,459,,28.3,36.8,2019,8,18
231,516821A001,곡성군 오곡면,2019-08-19,24.3,32.3,17.7,83.1,182.1,0.6,2.9,0.0,592.0,18.9,618,,27.5,36.7,2019,8,19
232,516821A001,곡성군 오곡면,2019-08-20,25.7,32.0,20.1,85.6,151.3,0.7,4.5,0.0,461.0,16.4,543,,27.5,36.8,2019,8,20
233,516821A001,곡성군 오곡면,2019-08-21,25.6,30.1,22.3,93.9,149.6,0.6,4.5,10.0,172.0,10.9,854,,27.5,39.0,2019,8,21
234,516821A001,곡성군 오곡면,2019-08-22,26.2,31.6,23.2,90.8,258.9,0.9,6.2,32.0,261.0,11.4,669,,27.4,46.9,2019,8,22
235,516821A001,곡성군 오곡면,2019-08-23,24.5,29.0,19.9,87.2,223.9,0.8,4.3,0.0,314.0,12.3,277,,27.3,42.7,2019,8,23
236,516821A001,곡성군 오곡면,2019-08-24,22.1,29.0,18.4,89.2,194.6,0.7,4.9,0.0,235.0,12.6,658,,26.4,40.4,2019,8,24
237,516821A001,곡성군 오곡면,2019-08-25,21.3,26.4,18.2,94.0,197.3,0.5,3.2,0.5,28.0,6.9,801,,25.6,40.1,2019,8,25
238,516821A001,곡성군 오곡면,2019-08-26,23.2,30.2,17.8,84.6,183.0,1.1,6.7,0.0,469.0,20.0,509,,25.6,40.1,2019,8,26
239,516821A001,곡성군 오곡면,2019-08-27,22.4,25.8,20.6,98.9,152.4,0.6,4.5,36.0,0.0,3.4,1069,,25.5,44.6,2019,8,27
240,516821A001,곡성군 오곡면,2019-08-28,24.0,28.4,20.8,93.2,166.4,0.5,2.4,2.0,74.0,9.3,800,,25.4,45.8,2019,8,28
241,516821A001,곡성군 오곡면,2019-08-29,22.2,25.0,19.8,95.9,175.8,0.7,3.9,0.0,0.0,4.8,746,,25.2,41.8,2019,8,29
242,516821A001,곡성군 오곡면,2019-08-30,22.2,28.2,17.1,83.7,231.7,1.2,6.4,0.0,554.0,19.9,621,,25.1,41.1,2019,8,30
243,516821A001,곡성군 오곡면,2019-08-31,21.6,29.6,15.8,86.4,160.4,0.7,4.8,0.0,474.0,17.7,652,,25.0,40.4,2019,8,31
