no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,032528A001,공주시 우성면,2019-03-01,4.6,14.1,-2.0,67.4,267.3,0.7,4.9,0.0,436,14.8,338,5.1,6.3,,2019,3,1
61,032528A001,공주시 우성면,2019-03-02,5.3,15.7,-3.9,59.8,56.3,0.4,3.7,0.0,413,15.1,12,5.2,6.2,,2019,3,2
62,032528A001,공주시 우성면,2019-03-03,6.9,15.2,-2.0,58.4,86.2,0.5,4.1,0.0,316,11.7,8,6.5,6.6,,2019,3,3
63,032528A001,공주시 우성면,2019-03-04,8.1,16.8,1.8,57.2,271.1,0.8,6.2,0.0,520,14.9,0,8.0,7.5,,2019,3,4
64,032528A001,공주시 우성면,2019-03-05,7.4,13.6,2.2,73.0,225.6,1.1,5.7,0.0,174,10.0,0,7.9,7.7,,2019,3,5
65,032528A001,공주시 우성면,2019-03-06,8.5,16.0,2.7,61.1,313.3,0.7,6.1,0.0,382,13.9,0,8.7,8.3,,2019,3,6
66,032528A001,공주시 우성면,2019-03-07,6.4,13.7,0.7,68.5,245.9,1.3,11.5,0.0,446,13.1,0,6.7,8.0,,2019,3,7
67,032528A001,공주시 우성면,2019-03-08,4.8,15.8,-4.3,64.1,226.1,0.9,6.2,0.0,616,20.4,29,5.4,7.5,,2019,3,8
68,032528A001,공주시 우성면,2019-03-09,6.0,17.5,-4.6,53.2,223.6,0.6,5.1,0.0,594,17.9,36,6.5,7.3,,2019,3,9
69,032528A001,공주시 우성면,2019-03-10,7.2,13.1,0.5,57.3,91.3,0.5,5.8,0.0,32,6.1,0,6.7,7.9,,2019,3,10
70,032528A001,공주시 우성면,2019-03-11,4.2,9.7,-2.5,90.0,227.8,1.5,7.0,1.0,68,7.3,598,4.5,7.0,,2019,3,11
71,032528A001,공주시 우성면,2019-03-12,3.4,10.3,-3.4,88.0,249.8,1.8,8.7,1.5,21,5.5,682,3.3,7.1,,2019,3,12
72,032528A001,공주시 우성면,2019-03-13,1.8,10.0,-5.5,59.4,273.1,1.7,10.1,0.0,612,21.2,20,2.5,5.9,,2019,3,13
73,032528A001,공주시 우성면,2019-03-14,3.8,12.0,-6.2,59.0,222.2,1.5,9.4,0.0,423,16.9,0,4.7,6.0,,2019,3,14
74,032528A001,공주시 우성면,2019-03-15,5.9,12.9,0.5,74.8,236.1,2.2,10.6,3.0,338,12.5,283,6.5,7.2,,2019,3,15
75,032528A001,공주시 우성면,2019-03-16,5.3,11.7,1.1,76.2,227.7,0.9,8.2,0.0,355,12.9,662,6.3,7.4,,2019,3,16
76,032528A001,공주시 우성면,2019-03-17,6.1,13.9,0.3,62.2,277.7,1.0,6.8,0.0,631,21.3,0,7.3,7.9,,2019,3,17
77,032528A001,공주시 우성면,2019-03-18,4.9,14.4,-4.1,54.6,224.0,0.6,9.7,0.0,425,15.4,0,5.2,7.5,,2019,3,18
78,032528A001,공주시 우성면,2019-03-19,8.6,19.8,-2.0,61.0,226.9,1.0,7.3,0.0,621,18.1,0,8.9,8.1,20.8,2019,3,19
79,032528A001,공주시 우성면,2019-03-20,9.2,15.5,3.2,87.6,143.7,0.3,8.6,20.5,0,4.6,464,8.7,8.7,21.1,2019,3,20
80,032528A001,공주시 우성면,2019-03-21,8.7,13.1,3.1,83.8,245.6,2.6,9.9,0.0,142,9.1,347,9.2,9.7,26.1,2019,3,21
81,032528A001,공주시 우성면,2019-03-22,4.2,9.7,-0.4,56.6,287.4,1.4,7.4,0.0,631,23.2,0,5.8,8.8,24.8,2019,3,22
82,032528A001,공주시 우성면,2019-03-23,2.6,9.6,-3.5,71.0,259.5,1.2,8.4,4.5,477,15.3,130,3.6,7.7,24.4,2019,3,23
83,032528A001,공주시 우성면,2019-03-24,3.4,11.7,-4.3,66.3,238.4,1.2,9.0,0.0,665,23.4,0,5.1,7.4,24.8,2019,3,24
84,032528A001,공주시 우성면,2019-03-25,5.1,14.2,-2.8,70.6,212.4,1.5,8.8,0.0,590,18.9,0,5.9,7.8,24.3,2019,3,25
85,032528A001,공주시 우성면,2019-03-26,10.0,19.4,0.9,59.8,246.5,0.8,9.9,0.0,571,21.9,0,10.6,8.9,24.0,2019,3,26
86,032528A001,공주시 우성면,2019-03-27,12.3,18.9,5.8,67.5,228.1,3.2,13.5,0.0,462,16.9,0,12.1,9.7,23.6,2019,3,27
87,032528A001,공주시 우성면,2019-03-28,10.8,17.7,4.4,60.1,256.0,0.9,5.3,0.0,483,18.0,0,11.5,10.8,23.2,2019,3,28
88,032528A001,공주시 우성면,2019-03-29,10.6,17.8,4.1,46.9,292.5,1.0,5.9,0.0,547,20.8,0,11.6,11.1,22.9,2019,3,29
89,032528A001,공주시 우성면,2019-03-30,5.7,11.2,2.9,79.1,252.2,1.8,9.1,3.5,115,8.6,1023,6.7,10.6,22.5,2019,3,30
90,032528A001,공주시 우성면,2019-03-31,5.1,9.6,-1.0,50.8,271.3,1.9,8.3,0.0,416,17.1,29,6.4,9.5,22.7,2019,3,31
