no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,464030A001,광주시 목현동,2012-10-01,15.6,24.7,9.5,77.8,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,1
275,464030A001,광주시 목현동,2012-10-02,16.5,25.1,11.2,79.7,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,2
276,464030A001,광주시 목현동,2012-10-03,16.9,25.9,11.8,77.2,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,3
277,464030A001,광주시 목현동,2012-10-04,16.3,24.7,9.9,75.2,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,4
278,464030A001,광주시 목현동,2012-10-05,16.3,22.9,11.4,79.7,,0.0,0.0,0.0,0.0,0.1,,,,,2012,10,5
279,464030A001,광주시 목현동,2012-10-06,16.9,24.2,11.9,75.7,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,6
280,464030A001,광주시 목현동,2012-10-07,16.0,24.5,10.6,75.2,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,7
281,464030A001,광주시 목현동,2012-10-08,15.0,23.5,9.7,75.6,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,8
282,464030A001,광주시 목현동,2012-10-09,14.4,22.0,9.1,79.3,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,9
283,464030A001,광주시 목현동,2012-10-10,12.6,18.2,8.9,91.0,,0.0,0.0,8.5,0.0,0.2,,,,,2012,10,10
284,464030A001,광주시 목현동,2012-10-11,10.9,18.7,5.6,75.1,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,11
285,464030A001,광주시 목현동,2012-10-12,11.4,22.0,4.2,72.9,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,12
286,464030A001,광주시 목현동,2012-10-13,12.7,23.2,7.1,74.3,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,13
287,464030A001,광주시 목현동,2012-10-14,12.8,22.1,7.6,65.0,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,14
288,464030A001,광주시 목현동,2012-10-15,11.1,21.2,4.4,57.3,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,15
289,464030A001,광주시 목현동,2012-10-16,13.7,23.0,4.6,67.3,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,16
290,464030A001,광주시 목현동,2012-10-17,12.2,15.7,5.1,64.9,,0.0,0.0,5.0,0.0,0.5,,,,,2012,10,17
291,464030A001,광주시 목현동,2012-10-18,8.5,17.1,1.3,62.7,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,18
292,464030A001,광주시 목현동,2012-10-19,11.3,19.9,5.5,70.6,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,19
293,464030A001,광주시 목현동,2012-10-20,13.2,21.3,5.8,74.9,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,20
294,464030A001,광주시 목현동,2012-10-21,16.5,23.7,11.6,79.9,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,21
295,464030A001,광주시 목현동,2012-10-22,12.6,16.5,9.1,87.1,,0.0,0.0,46.0,0.0,0.0,,,,,2012,10,22
296,464030A001,광주시 목현동,2012-10-23,8.9,14.5,4.3,54.8,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,23
297,464030A001,광주시 목현동,2012-10-24,10.4,18.2,5.6,78.0,,0.0,0.0,0.0,0.0,0.2,,,,,2012,10,24
298,464030A001,광주시 목현동,2012-10-25,12.5,19.3,7.7,82.8,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,25
299,464030A001,광주시 목현동,2012-10-26,12.8,22.0,8.8,82.8,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,26
300,464030A001,광주시 목현동,2012-10-27,12.7,15.8,9.0,95.5,,0.0,0.0,38.0,0.0,0.0,,,,,2012,10,27
301,464030A001,광주시 목현동,2012-10-28,14.1,19.1,7.7,71.9,,0.0,0.0,0.5,0.0,0.4,,,,,2012,10,28
302,464030A001,광주시 목현동,2012-10-29,9.9,16.8,5.2,78.8,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,29
303,464030A001,광주시 목현동,2012-10-30,8.8,13.2,2.7,60.0,,0.0,0.0,0.0,0.0,0.3,,,,,2012,10,30
304,464030A001,광주시 목현동,2012-10-31,5.4,12.4,0.1,71.2,,0.0,0.0,0.0,0.0,0.4,,,,,2012,10,31
