no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
244,542805A001,구례군 구례읍,2020-09-01,26.6,32.6,22.1,85.5,121.2,0.6,4.0,0.0,389,16.2,0,28.6,28.5,25.1,2020,9,1
245,542805A001,구례군 구례읍,2020-09-02,25.7,29.3,24.3,95.4,281.8,0.7,7.6,36.5,0,5.4,880,27.4,28.1,26.3,2020,9,2
246,542805A001,구례군 구례읍,2020-09-03,24.5,29.7,19.0,80.5,273.8,1.7,12.1,27.5,308,14.6,252,25.3,26.6,32.0,2020,9,3
247,542805A001,구례군 구례읍,2020-09-04,22.7,30.7,18.1,83.7,298.5,0.4,64.6,1.1,369,16.2,0,25.5,26.2,26.9,2020,9,4
248,542805A001,구례군 구례읍,2020-09-05,21.1,24.8,18.8,91.4,190.0,0.4,3.1,0.5,3,4.8,339,23.8,25.5,25.5,2020,9,5
249,542805A001,구례군 구례읍,2020-09-06,20.6,23.4,18.5,95.5,312.4,0.3,6.3,5.0,0,4.0,1411,22.9,24.3,25.4,2020,9,6
250,542805A001,구례군 구례읍,2020-09-07,20.9,22.8,18.9,90.8,270.8,1.3,7.9,29.5,3,5.9,603,22.0,23.5,32.4,2020,9,7
251,542805A001,구례군 구례읍,2020-09-08,23.2,30.2,18.0,85.6,252.1,0.5,10.3,0.0,411,15.8,486,24.4,24.2,28.0,2020,9,8
252,542805A001,구례군 구례읍,2020-09-09,22.1,27.7,18.4,89.0,250.4,0.4,10.8,19.0,261,10.8,389,23.9,24.4,29.7,2020,9,9
253,542805A001,구례군 구례읍,2020-09-10,22.5,29.5,19.2,86.3,269.2,0.5,10.6,12.5,346,14.6,702,24.7,24.7,31.5,2020,9,10
254,542805A001,구례군 구례읍,2020-09-11,21.2,24.0,19.5,94.8,224.9,0.4,3.8,2.5,0,4.5,965,23.2,24.3,27.4,2020,9,11
255,542805A001,구례군 구례읍,2020-09-12,22.4,28.4,19.7,88.2,173.8,0.4,3.3,1.0,223,11.1,1231,24.1,24.5,26.4,2020,9,12
256,542805A001,구례군 구례읍,2020-09-13,20.4,22.1,19.0,96.4,267.1,0.2,1.3,5.5,2,5.6,1410,23.0,24.1,26.8,2020,9,13
257,542805A001,구례군 구례읍,2020-09-14,22.6,29.0,19.1,83.9,310.1,0.5,4.6,0.0,482,17.4,626,24.3,24.2,26.2,2020,9,14
258,542805A001,구례군 구례읍,2020-09-15,22.8,29.7,18.7,84.1,186.3,0.6,7.7,0.0,440,17.0,0,24.6,24.7,25.3,2020,9,15
259,542805A001,구례군 구례읍,2020-09-16,22.2,25.5,19.6,91.0,163.4,0.6,2.9,4.5,8,6.7,525,23.7,24.6,25.4,2020,9,16
260,542805A001,구례군 구례읍,2020-09-17,20.9,24.7,18.4,94.8,175.8,0.3,9.9,4.5,19,6.0,747,22.9,24.2,25.6,2020,9,17
261,542805A001,구례군 구례읍,2020-09-18,18.9,24.6,13.9,89.0,328.3,0.4,3.2,2.0,129,9.8,779,21.7,23.2,26.8,2020,9,18
262,542805A001,구례군 구례읍,2020-09-19,18.3,26.3,13.3,85.5,268.3,0.5,5.8,0.0,375,14.6,0,21.1,22.5,25.7,2020,9,19
263,542805A001,구례군 구례읍,2020-09-20,18.4,26.6,13.6,81.1,300.6,0.7,5.5,0.0,468,17.9,0,21.1,22.3,24.9,2020,9,20
264,542805A001,구례군 구례읍,2020-09-21,17.0,26.0,11.9,82.7,239.4,0.4,3.0,0.0,424,15.5,0,20.6,21.7,24.2,2020,9,21
265,542805A001,구례군 구례읍,2020-09-22,17.3,25.0,13.2,83.6,226.2,0.4,3.0,0.0,285,11.9,0,20.5,21.3,23.6,2020,9,22
266,542805A001,구례군 구례읍,2020-09-23,17.5,24.1,12.3,85.7,208.8,0.3,2.1,0.0,70,9.2,0,19.6,20.9,23.1,2020,9,23
267,542805A001,구례군 구례읍,2020-09-24,19.7,27.8,15.1,84.8,225.9,0.3,5.1,0.0,251,12.5,0,21.2,21.7,22.9,2020,9,24
268,542805A001,구례군 구례읍,2020-09-25,19.5,28.5,14.6,84.2,187.7,0.4,3.9,0.0,362,16.4,0,21.6,22.0,22.5,2020,9,25
269,542805A001,구례군 구례읍,2020-09-26,19.7,28.3,15.2,82.3,244.4,0.5,8.3,0.0,456,17.6,0,22.1,22.3,22.0,2020,9,26
270,542805A001,구례군 구례읍,2020-09-27,19.1,27.1,14.3,82.5,235.5,0.4,10.4,0.0,381,16.3,0,21.3,22.2,21.4,2020,9,27
271,542805A001,구례군 구례읍,2020-09-28,17.5,27.7,12.4,81.8,238.6,0.4,2.8,0.0,476,17.3,0,20.6,21.7,20.8,2020,9,28
272,542805A001,구례군 구례읍,2020-09-29,17.2,26.8,11.1,82.4,246.2,0.4,3.3,0.0,416,15.3,0,19.9,21.2,20.4,2020,9,29
273,542805A001,구례군 구례읍,2020-09-30,18.4,26.4,13.2,82.8,261.8,0.4,3.1,0.0,425,15.2,0,20.6,21.4,20.0,2020,9,30
