no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,730802A001,구미시 선산읍,2020-10-01,18.6,24.9,11.5,88.0,90.5,0.8,4.6,0.0,564.0,14.5,0,20.2,15.7,15.4,2020,10,1
275,730802A001,구미시 선산읍,2020-10-02,19.4,26.0,14.0,90.7,289.9,0.9,5.8,0.0,438.0,13.2,0,20.8,15.9,15.0,2020,10,2
276,730802A001,구미시 선산읍,2020-10-03,19.5,24.3,16.4,95.7,313.7,0.7,3.9,0.5,70.0,9.1,482,20.6,16.7,14.8,2020,10,3
277,730802A001,구미시 선산읍,2020-10-04,18.8,22.5,14.3,89.8,269.4,1.8,10.1,0.0,4.0,4.2,355,19.1,16.2,14.8,2020,10,4
278,730802A001,구미시 선산읍,2020-10-05,13.6,19.3,6.5,74.5,277.4,2.8,11.4,0.0,649.0,15.8,0,14.8,14.1,14.6,2020,10,5
279,730802A001,구미시 선산읍,2020-10-06,13.2,21.0,6.1,84.0,280.9,1.2,7.2,0.0,633.0,15.6,0,15.4,13.8,14.3,2020,10,6
280,730802A001,구미시 선산읍,2020-10-07,15.9,22.9,8.8,82.7,44.0,1.3,6.9,0.0,434.0,13.6,0,17.4,13.6,14.0,2020,10,7
281,730802A001,구미시 선산읍,2020-10-08,16.7,22.6,9.7,74.1,58.9,1.9,9.0,0.0,558.0,14.2,0,17.1,13.7,13.7,2020,10,8
282,730802A001,구미시 선산읍,2020-10-09,16.7,22.5,10.5,75.3,89.8,2.3,8.3,0.0,387.0,12.3,0,17.1,13.0,13.5,2020,10,9
283,730802A001,구미시 선산읍,2020-10-10,17.2,23.5,12.6,80.1,355.4,1.2,5.4,0.0,532.0,13.6,0,18.4,13.1,13.2,2020,10,10
284,730802A001,구미시 선산읍,2020-10-11,15.0,21.2,7.5,88.4,114.4,0.7,3.8,0.0,360.0,11.0,0,16.5,14.0,13.0,2020,10,11
285,730802A001,구미시 선산읍,2020-10-12,15.7,23.0,11.3,90.0,274.1,1.2,6.4,0.0,292.0,10.0,121,16.8,14.5,12.9,2020,10,12
286,730802A001,구미시 선산읍,2020-10-13,12.9,19.3,7.2,79.5,283.0,1.9,8.1,0.0,424.0,11.9,0,13.7,12.9,12.7,2020,10,13
287,730802A001,구미시 선산읍,2020-10-14,10.6,18.6,4.6,89.8,288.3,1.2,5.8,0.0,135.0,6.8,0,11.6,12.5,12.6,2020,10,14
288,730802A001,구미시 선산읍,2020-10-15,11.1,20.0,2.6,74.5,322.8,1.0,9.5,0.0,599.0,14.3,0,12.7,10.8,12.6,2020,10,15
289,730802A001,구미시 선산읍,2020-10-16,10.5,17.0,3.9,89.9,285.2,0.6,4.8,0.0,46.0,6.6,0,11.8,11.8,12.4,2020,10,16
290,730802A001,구미시 선산읍,2020-10-17,11.7,20.7,4.9,87.3,270.3,1.0,5.4,0.0,516.0,12.5,0,13.2,12.9,12.4,2020,10,17
291,730802A001,구미시 선산읍,2020-10-18,10.6,21.1,2.0,82.5,287.3,1.0,5.1,0.0,610.0,13.9,84,12.1,12.7,12.3,2020,10,18
292,730802A001,구미시 선산읍,2020-10-19,11.1,21.7,3.0,85.9,259.9,0.7,3.2,0.0,560.0,12.8,65,12.9,12.5,12.2,2020,10,19
293,730802A001,구미시 선산읍,2020-10-20,11.2,22.3,3.1,85.2,290.6,0.7,6.4,0.0,598.0,13.2,26,12.7,12.4,12.1,2020,10,20
294,730802A001,구미시 선산읍,2020-10-21,11.1,16.2,5.6,96.4,245.4,0.4,3.8,2.5,0.0,4.7,430,12.0,13.3,12.1,2020,10,21
295,730802A001,구미시 선산읍,2020-10-22,13.2,18.9,10.5,91.5,277.5,1.9,9.5,0.0,29.0,6.6,710,13.5,13.6,12.2,2020,10,22
296,730802A001,구미시 선산읍,2020-10-23,10.2,15.6,4.1,68.0,277.1,3.1,9.9,0.0,612.0,13.6,0,10.3,9.9,12.2,2020,10,23
297,730802A001,구미시 선산읍,2020-10-24,8.7,15.5,0.5,65.0,275.0,3.3,17.2,0.0,610.0,13.5,0,8.4,8.6,12.1,2020,10,24
298,730802A001,구미시 선산읍,2020-10-25,10.2,20.5,1.1,82.8,276.0,1.9,8.8,0.0,535.0,12.4,0,10.6,9.1,12.1,2020,10,25
299,730802A001,구미시 선산읍,2020-10-26,10.8,20.9,2.2,84.8,330.4,0.8,4.2,0.0,558.0,11.8,0,11.6,10.0,12.1,2020,10,26
300,730802A001,구미시 선산읍,2020-10-27,11.2,22.0,2.9,86.7,291.9,0.8,4.9,0.0,533.0,11.1,18,12.0,11.4,12.1,2020,10,27
301,730802A001,구미시 선산읍,2020-10-28,14.0,20.6,8.5,75.9,273.6,2.1,8.7,0.0,336.0,9.6,0,13.5,9.5,12.1,2020,10,28
302,730802A001,구미시 선산읍,2020-10-29,9.2,18.1,1.5,72.4,276.6,0.9,10.6,0.0,457.0,10.4,0,9.9,8.8,12.0,2020,10,29
303,730802A001,구미시 선산읍,2020-10-30,9.7,19.5,0.7,81.4,143.3,0.9,6.3,0.0,588.0,11.8,0,10.9,9.2,12.0,2020,10,30
304,730802A001,구미시 선산읍,2020-10-31,9.6,17.9,1.8,87.6,342.4,0.7,5.8,0.0,487.0,10.6,9,10.7,11.0,12.0,2020,10,31
