no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,054065A001,군산시 개정면,2020-11-01,12.3,13.3,10.5,89.4,146.6,0.3,4.5,11.5,0,2.2,1061,12.3,13.9,,2020,11,1
306,054065A001,군산시 개정면,2020-11-02,11.6,17.5,4.2,75.8,305.7,0.4,6.4,0.5,459,13.4,626,11.8,14.0,,2020,11,2
307,054065A001,군산시 개정면,2020-11-03,7.1,11.5,1.9,65.7,312.1,1.8,11.9,0.0,404,12.3,358,7.7,11.9,,2020,11,3
308,054065A001,군산시 개정면,2020-11-04,5.3,11.8,0.6,66.8,33.0,0.2,6.6,0.0,600,16.0,0,6.0,10.4,,2020,11,4
309,054065A001,군산시 개정면,2020-11-05,8.0,16.0,-0.7,67.8,352.4,0.1,4.5,0.0,417,12.8,94,8.5,10.1,,2020,11,5
310,054065A001,군산시 개정면,2020-11-06,12.3,16.2,8.3,70.7,,0.0,0.1,0.0,0,3.7,29,12.1,12.0,,2020,11,6
311,054065A001,군산시 개정면,2020-11-07,12.0,18.2,6.8,84.2,273.4,0.6,6.7,0.0,404,10.6,147,12.4,12.8,,2020,11,7
312,054065A001,군산시 개정면,2020-11-08,8.4,14.4,2.5,68.5,285.7,2.2,10.8,0.0,577,14.9,109,8.7,11.4,,2020,11,8
313,054065A001,군산시 개정면,2020-11-09,6.0,11.9,-0.8,63.2,274.0,0.1,5.1,0.0,592,14.7,88,6.9,9.9,,2020,11,9
314,054065A001,군산시 개정면,2020-11-10,8.0,14.3,2.4,62.0,289.0,0.6,8.1,0.0,591,14.7,38,8.3,10.1,,2020,11,10
315,054065A001,군산시 개정면,2020-11-11,7.2,16.1,0.4,75.1,329.6,0.3,6.0,0.0,586,14.2,10,7.7,9.7,,2020,11,11
316,054065A001,군산시 개정면,2020-11-12,8.3,17.9,1.0,75.2,264.3,0.1,3.9,0.0,585,13.9,74,8.6,9.8,,2020,11,12
317,054065A001,군산시 개정면,2020-11-13,8.9,17.5,1.7,85.2,306.4,0.3,5.3,0.0,545,12.1,88,9.2,10.0,,2020,11,13
318,054065A001,군산시 개정면,2020-11-14,9.6,19.5,3.8,81.9,165.1,0.0,3.3,0.0,389,12.0,690,10.0,11.0,,2020,11,14
319,054065A001,군산시 개정면,2020-11-15,9.9,18.5,3.9,82.2,275.3,0.3,5.3,0.0,456,12.0,88,10.1,11.0,,2020,11,15
320,054065A001,군산시 개정면,2020-11-16,10.9,18.4,4.0,77.5,5.8,0.6,6.9,0.0,427,11.2,129,10.6,11.1,,2020,11,16
321,054065A001,군산시 개정면,2020-11-17,14.8,18.8,9.8,79.1,24.5,0.0,3.5,5.5,125,5.6,502,14.8,12.4,,2020,11,17
322,054065A001,군산시 개정면,2020-11-18,18.6,22.7,13.9,83.9,122.1,1.0,6.4,2.5,26,4.3,755,17.9,14.3,,2020,11,18
323,054065A001,군산시 개정면,2020-11-19,16.5,21.7,11.2,87.6,231.6,3.7,13.3,25.5,0,1.1,587,16.1,15.8,,2020,11,19
324,054065A001,군산시 개정면,2020-11-20,7.9,11.2,5.6,75.9,301.2,2.6,10.1,0.0,0,1.1,0,7.9,12.5,,2020,11,20
325,054065A001,군산시 개정면,2020-11-21,7.3,13.9,1.1,73.8,326.9,0.3,5.2,0.0,483,12.8,0,8.1,10.5,,2020,11,21
326,054065A001,군산시 개정면,2020-11-22,8.7,10.4,4.9,81.5,305.0,1.1,9.1,3.5,1,2.4,517,8.8,11.2,,2020,11,22
327,054065A001,군산시 개정면,2020-11-23,5.0,7.6,0.5,64.7,296.5,1.2,7.8,0.0,480,12.7,0,5.6,9.5,,2020,11,23
328,054065A001,군산시 개정면,2020-11-24,5.1,10.3,1.4,57.7,335.1,0.1,4.9,0.0,375,9.6,0,5.6,8.6,,2020,11,24
329,054065A001,군산시 개정면,2020-11-25,5.2,12.0,-1.2,70.1,15.8,0.4,4.9,0.0,554,12.3,0,5.7,8.0,,2020,11,25
330,054065A001,군산시 개정면,2020-11-26,6.6,12.1,2.9,74.0,302.0,0.7,7.1,0.0,440,10.1,0,6.9,8.3,,2020,11,26
331,054065A001,군산시 개정면,2020-11-27,5.8,9.7,1.2,70.8,294.8,1.9,11.5,0.0,43,4.4,0,5.7,8.4,,2020,11,27
332,054065A001,군산시 개정면,2020-11-28,3.7,5.8,1.2,60.7,306.7,1.9,9.7,0.0,488,12.1,0,4.3,7.2,,2020,11,28
333,054065A001,군산시 개정면,2020-11-29,2.8,5.2,1.0,71.7,339.2,0.1,4.7,0.0,51,3.6,0,3.0,7.0,,2020,11,29
334,054065A001,군산시 개정면,2020-11-30,3.0,7.7,-0.8,66.0,297.6,0.9,8.2,0.0,542,12.1,0,3.7,6.5,,2020,11,30
