stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
054065A001,군산시 개정면,2024-09-01,26.4,31.5,22.1,80.3,273.2,1.3,6.5,0.0,654,23.9,0,28.9,30.5,,2024,9,1
054065A001,군산시 개정면,2024-09-02,25.3,29.0,22.1,81.6,18.7,0.7,3.8,0.0,119,11.0,0,26.7,29.6,,2024,9,2
054065A001,군산시 개정면,2024-09-03,27.4,32.3,23.7,64.7,88.9,0.7,10.6,0.0,345,17.5,0,29.1,29.8,,2024,9,3
054065A001,군산시 개정면,2024-09-04,26.9,33.0,22.2,62.7,30.7,1.0,8.9,0.0,686,23.9,0,29.1,30.4,,2024,9,4
054065A001,군산시 개정면,2024-09-05,26.7,31.0,22.4,81.4,233.0,1.2,6.3,0.0,550,21.7,0,29.4,30.4,,2024,9,5
054065A001,군산시 개정면,2024-09-06,26.3,28.2,24.6,85.7,237.5,0.4,3.1,0.0,1,5.9,0,27.3,29.9,,2024,9,6
054065A001,군산시 개정면,2024-09-07,26.5,30.6,23.0,55.8,297.7,0.9,6.5,0.0,426,18.3,0,28.5,29.7,,2024,9,7
054065A001,군산시 개정면,2024-09-08,25.6,32.0,21.3,80.4,276.6,0.8,11.7,0.0,596,23.5,0,28.4,29.7,,2024,9,8
054065A001,군산시 개정면,2024-09-09,27.5,34.2,22.5,70.0,301.1,0.9,6.0,0.0,638,22.2,0,30.2,30.2,,2024,9,9
054065A001,군산시 개정면,2024-09-10,29.0,35.0,24.2,71.3,307.3,0.7,4.9,0.0,683,23.0,0,31.9,31.0,,2024,9,10
054065A001,군산시 개정면,2024-09-11,28.0,35.1,25.0,83.0,88.7,0.8,9.1,20.5,252,14.0,469,29.5,30.8,,2024,9,11
054065A001,군산시 개정면,2024-09-12,27.5,31.9,25.5,65.4,76.0,0.9,5.8,14.0,214,13.7,686,28.8,29.8,,2024,9,12
054065A001,군산시 개정면,2024-09-13,27.8,32.6,23.9,76.1,242.6,1.0,5.5,0.0,618,19.3,0,29.9,29.8,,2024,9,13
054065A001,군산시 개정면,2024-09-14,28.1,32.3,24.9,82.3,305.0,1.1,5.8,0.0,607,21.0,0,30.4,30.1,,2024,9,14
054065A001,군산시 개정면,2024-09-15,29.0,33.9,24.7,74.2,317.8,1.1,10.1,0.0,694,22.4,282,31.1,30.2,,2024,9,15
054065A001,군산시 개정면,2024-09-16,28.7,31.8,25.5,53.1,327.3,1.1,4.1,0.0,231,11.6,10,29.9,29.7,,2024,9,16
054065A001,군산시 개정면,2024-09-17,29.2,34.5,25.9,49.4,303.0,1.4,6.5,0.0,679,21.8,0,31.6,30.1,,2024,9,17
054065A001,군산시 개정면,2024-09-18,28.4,34.6,25.0,62.4,283.8,1.0,7.4,0.0,640,19.7,0,30.6,30.2,,2024,9,18
054065A001,군산시 개정면,2024-09-19,29.6,36.0,24.7,57.1,337.8,0.7,3.6,0.0,569,19.4,0,31.4,30.2,,2024,9,19
054065A001,군산시 개정면,2024-09-20,26.5,28.2,24.8,10.9,113.0,1.6,10.1,25.5,0,4.3,977,26.6,29.4,,2024,9,20
054065A001,군산시 개정면,2024-09-21,24.0,26.5,21.0,18.4,323.8,2.0,7.4,150.5,0,3.5,1063,24.3,28.0,,2024,9,21
054065A001,군산시 개정면,2024-09-22,22.6,26.7,19.2,48.9,331.9,1.8,4.9,0.0,350,13.3,0,23.9,26.6,,2024,9,22
054065A001,군산시 개정면,2024-09-23,22.1,27.2,18.9,26.1,341.7,1.5,5.0,0.0,634,20.3,0,23.6,26.2,,2024,9,23
054065A001,군산시 개정면,2024-09-24,21.2,27.6,16.5,40.4,337.6,1.0,3.9,0.0,591,20.8,0,22.8,25.6,,2024,9,24
054065A001,군산시 개정면,2024-09-25,22.4,28.4,17.9,46.0,339.8,0.7,4.2,0.0,386,12.9,0,23.4,25.6,,2024,9,25
054065A001,군산시 개정면,2024-09-26,23.4,28.9,19.3,34.3,284.4,0.8,7.3,0.0,438,16.5,0,24.9,26.0,,2024,9,26
054065A001,군산시 개정면,2024-09-26,23.3,28.9,19.3,33.3,284.4,0.8,7.3,0.0,438,16.5,0,24.8,26.0,,2024,9,26
054065A001,군산시 개정면,2024-09-27,22.5,27.7,17.1,40.7,312.2,1.1,6.8,0.0,646,20.4,0,24.2,25.8,,2024,9,27
054065A001,군산시 개정면,2024-09-28,24.2,30.7,19.7,26.8,19.6,1.2,8.9,0.0,591,20.6,0,25.6,25.9,,2024,9,28
054065A001,군산시 개정면,2024-09-28,24.2,30.7,19.7,26.8,19.6,1.2,8.9,0.0,591,20.6,0,25.6,25.9,,2024,9,28
