no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,039000F026,군위군 소보면,2023-02-01,1.0,10.1,-6.2,52.8,345.8,1.6,10.8,0.0,,13.2,0,,,,2023,2,1
33,039000F026,군위군 소보면,2023-02-02,-2.2,5.6,-7.9,56.2,40.5,0.7,5.0,0.0,,12.1,0,,,,2023,2,2
34,039000F026,군위군 소보면,2023-02-03,-1.8,7.6,-7.7,50.3,11.2,0.6,5.4,0.0,,11.8,0,,,,2023,2,3
35,039000F026,군위군 소보면,2023-02-04,-3.5,6.1,-10.7,61.2,270.3,0.8,7.0,0.0,,14.1,0,,,,2023,2,4
36,039000F026,군위군 소보면,2023-02-05,-3.1,8.7,-12.1,64.6,49.0,0.6,4.9,0.0,,15.3,0,,,,2023,2,5
37,039000F026,군위군 소보면,2023-02-06,-1.1,10.3,-10.9,62.9,97.1,0.3,3.4,0.0,,12.5,0,,,,2023,2,6
38,039000F026,군위군 소보면,2023-02-07,-0.1,11.3,-7.9,60.4,65.9,0.3,3.8,0.0,,10.7,0,,,,2023,2,7
39,039000F026,군위군 소보면,2023-02-08,-0.6,10.6,-8.3,61.6,335.1,0.6,7.0,0.0,,14.9,0,,,,2023,2,8
40,039000F026,군위군 소보면,2023-02-09,0.5,10.5,-9.6,65.6,134.2,0.8,6.5,0.0,,11.3,64,,,,2023,2,9
41,039000F026,군위군 소보면,2023-02-10,2.4,7.6,-2.7,90.3,340.0,0.5,5.3,5.5,,5.6,926,,,,2023,2,10
42,039000F026,군위군 소보면,2023-02-11,-0.5,6.4,-3.7,93.2,59.9,0.2,3.6,0.0,,7.4,329,,,,2023,2,11
43,039000F026,군위군 소보면,2023-02-12,0.3,6.0,-3.6,90.0,54.2,0.4,4.2,0.0,,6.6,355,,,,2023,2,12
44,039000F026,군위군 소보면,2023-02-13,4.5,8.3,0.5,74.7,43.3,0.7,4.9,0.0,,4.6,0,,,,2023,2,13
45,039000F026,군위군 소보면,2023-02-14,2.7,8.5,-2.3,69.4,39.2,0.5,4.9,0.0,,9.7,0,,,,2023,2,14
46,039000F026,군위군 소보면,2023-02-15,2.1,5.9,-1.4,67.2,91.4,0.6,4.4,0.0,,6.9,0,,,,2023,2,15
47,039000F026,군위군 소보면,2023-02-16,1.4,8.0,-4.2,75.9,42.3,0.5,5.1,0.0,,7.3,0,,,,2023,2,16
48,039000F026,군위군 소보면,2023-02-17,1.8,9.9,-5.4,66.6,189.3,0.5,6.0,0.0,,10.3,241,,,,2023,2,17
49,039000F026,군위군 소보면,2023-02-18,4.9,7.6,2.2,63.1,61.9,0.1,3.5,0.0,,2.0,32,,,,2023,2,18
50,039000F026,군위군 소보면,2023-02-19,5.5,9.1,-2.0,53.1,353.7,2.1,11.2,0.0,,11.6,0,,,,2023,2,19
51,039000F026,군위군 소보면,2023-02-20,-0.3,6.1,-6.3,48.4,352.2,1.5,11.7,0.0,,17.4,0,,,,2023,2,20
52,039000F026,군위군 소보면,2023-02-21,-2.7,6.2,-10.2,49.9,51.7,0.4,4.6,0.0,,18.8,0,,,,2023,2,21
53,039000F026,군위군 소보면,2023-02-22,-0.3,9.7,-9.9,64.7,47.9,0.2,4.2,0.0,,18.2,0,,,,2023,2,22
54,039000F026,군위군 소보면,2023-02-23,4.2,11.6,-3.2,52.3,352.5,0.6,6.3,0.0,,16.9,0,,,,2023,2,23
55,039000F026,군위군 소보면,2023-02-24,3.1,11.4,-3.5,55.4,0.8,1.2,10.7,0.0,,14.7,0,,,,2023,2,24
56,039000F026,군위군 소보면,2023-02-25,0.1,7.9,-7.0,51.9,337.6,1.1,11.9,0.0,,18.3,0,,,,2023,2,25
57,039000F026,군위군 소보면,2023-02-26,-0.7,11.0,-9.6,54.9,77.0,0.5,3.6,0.0,,19.5,0,,,,2023,2,26
58,039000F026,군위군 소보면,2023-02-27,1.6,15.4,-9.0,54.5,148.8,0.5,4.4,0.0,,19.6,0,,,,2023,2,27
59,039000F026,군위군 소보면,2023-02-28,3.7,16.7,-7.4,52.9,300.2,0.8,6.5,0.0,,19.8,0,,,,2023,2,28
