stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
039000F026,군위군 소보면,2024-08-04,28.4,37.9,24.4,86.9,213.2,0.3,5.1,1.5,,20.2,503,,,,2024,8,4
039000F026,군위군 소보면,2024-08-11,28.2,35.2,23.2,76.5,161.9,0.1,3.2,0.0,,25.2,0,,,,2024,8,11
039000F026,군위군 소보면,2024-08-12,28.5,36.2,22.0,74.0,168.6,0.2,3.5,0.0,,25.7,0,,,,2024,8,12
039000F026,군위군 소보면,2024-08-13,27.8,35.5,21.0,73.5,208.6,0.3,4.5,0.0,,26.5,0,,,,2024,8,13
039000F026,군위군 소보면,2024-08-14,27.4,36.0,20.5,75.1,184.5,0.2,3.7,0.0,,24.2,0,,,,2024,8,14
039000F026,군위군 소보면,2024-08-15,27.3,34.9,21.4,77.1,194.3,0.3,5.0,0.0,,23.5,0,,,,2024,8,15
039000F026,군위군 소보면,2024-08-16,27.0,33.1,21.4,79.1,9.9,0.2,4.0,0.0,,17.2,6,,,,2024,8,16
039000F026,군위군 소보면,2024-08-17,27.4,34.7,21.4,78.9,249.0,0.1,3.3,0.0,,21.3,73,,,,2024,8,17
039000F026,군위군 소보면,2024-08-18,27.6,35.7,21.6,75.4,181.2,0.3,3.9,0.0,,24.6,13,,,,2024,8,18
039000F026,군위군 소보면,2024-08-19,28.4,35.8,21.8,75.7,168.8,0.2,4.9,0.0,,23.0,0,,,,2024,8,19
039000F026,군위군 소보면,2024-08-20,28.4,33.9,24.5,83.8,168.5,0.3,6.7,0.5,,11.5,301,,,,2024,8,20
039000F026,군위군 소보면,2024-08-21,27.5,32.7,-10.5,88.6,181.1,0.8,5.7,7.5,,10.1,1023,,,,2024,8,21
039000F026,군위군 소보면,2024-08-22,28.5,34.7,24.9,84.2,182.4,1.2,8.5,1.0,,15.1,552,,,,2024,8,22
039000F026,군위군 소보면,2024-08-23,27.5,34.7,22.1,78.1,358.9,0.6,6.2,0.0,,21.7,0,,,,2024,8,23
039000F026,군위군 소보면,2024-08-24,27.7,35.6,22.0,79.5,18.0,0.3,4.5,0.0,,21.0,0,,,,2024,8,24
039000F026,군위군 소보면,2024-08-25,28.4,35.1,24.2,79.0,295.0,0.3,4.8,23.0,,20.3,530,,,,2024,8,25
039000F026,군위군 소보면,2024-08-26,27.2,33.7,23.8,86.0,201.7,0.2,5.2,3.0,,14.6,713,,,,2024,8,26
039000F026,군위군 소보면,2024-08-27,25.4,30.1,21.3,88.5,51.3,0.3,4.0,0.0,,8.0,666,,,,2024,8,27
039000F026,군위군 소보면,2024-08-28,25.2,30.8,19.9,78.4,47.1,0.4,4.3,0.0,,11.2,0,,,,2024,8,28
039000F026,군위군 소보면,2024-08-29,26.7,33.1,22.3,76.1,11.3,1.2,6.4,0.0,,15.6,45,,,,2024,8,29
039000F026,군위군 소보면,2024-08-30,27.6,34.6,21.8,73.2,358.9,0.8,6.1,0.0,,22.3,0,,,,2024,8,30
039000F026,군위군 소보면,2024-08-31,26.2,33.9,19.4,75.6,26.3,0.3,4.7,0.0,,24.3,0,,,,2024,8,31
