no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,312831A001,금산군 금성면,2015-05-01,19.0,26.7,11.5,82.5,206.0,0.6,6.0,0.0,515.0,15.2,155,17.9,17.4,23.6,2015,5,1
122,312831A001,금산군 금성면,2015-05-02,20.3,27.5,13.4,79.3,162.8,0.5,5.1,0.0,272.0,12.7,70,18.9,18.4,22.5,2015,5,2
123,312831A001,금산군 금성면,2015-05-03,18.7,21.9,16.1,93.3,334.2,0.1,4.1,7.0,0.0,5.8,100,17.7,18.0,24.7,2015,5,3
124,312831A001,금산군 금성면,2015-05-04,16.0,20.6,6.1,68.2,210.2,2.0,11.8,0.0,687.0,17.2,66,15.5,17.9,24.2,2015,5,4
125,312831A001,금산군 금성면,2015-05-05,11.3,21.1,2.0,68.1,208.2,0.8,7.2,0.0,775.0,18.6,0,12.9,15.6,22.7,2015,5,5
126,312831A001,금산군 금성면,2015-05-06,12.4,22.3,3.1,71.2,253.4,0.1,4.6,0.0,206.0,14.3,0,13.1,14.6,21.7,2015,5,6
127,312831A001,금산군 금성면,2015-05-07,14.9,25.1,4.7,67.4,198.5,0.8,7.7,0.0,690.0,19.0,0,14.9,15.5,20.8,2015,5,7
128,312831A001,금산군 금성면,2015-05-08,14.5,21.8,4.6,74.5,240.1,0.3,4.5,0.0,276.0,14.5,0,14.6,15.3,19.8,2015,5,8
129,312831A001,금산군 금성면,2015-05-09,17.7,24.4,12.7,72.1,244.3,0.3,5.6,0.0,459.0,15.6,108,17.6,16.8,19.0,2015,5,9
130,312831A001,금산군 금성면,2015-05-10,17.5,26.0,9.1,71.0,228.9,0.5,6.0,0.0,652.0,18.6,191,17.8,17.2,17.8,2015,5,10
131,312831A001,금산군 금성면,2015-05-11,16.6,24.4,9.2,82.0,84.7,1.0,9.3,3.0,240.0,12.0,224,16.3,16.7,16.7,2015,5,11
132,312831A001,금산군 금성면,2015-05-12,15.5,19.5,11.4,75.8,180.7,2.6,9.9,8.5,514.0,18.0,60,14.4,17.0,19.8,2015,5,12
133,312831A001,금산군 금성면,2015-05-13,18.8,25.3,11.1,63.4,189.6,2.1,14.2,0.0,754.0,19.4,52,15.7,16.5,22.1,2015,5,13
134,312831A001,금산군 금성면,2015-05-14,21.2,29.4,10.3,70.1,165.0,0.8,8.0,0.0,661.0,18.1,0,18.8,17.8,20.6,2015,5,14
135,312831A001,금산군 금성면,2015-05-15,20.8,23.5,15.4,86.6,230.9,0.9,6.1,0.0,16.0,8.9,0,19.3,19.0,19.6,2015,5,15
136,312831A001,금산군 금성면,2015-05-16,17.8,25.6,8.9,67.2,226.7,0.9,7.3,0.0,669.0,18.9,450,17.6,18.8,18.7,2015,5,16
137,312831A001,금산군 금성면,2015-05-17,15.7,27.2,5.0,67.4,201.7,0.3,5.4,0.0,598.0,18.8,369,16.3,17.6,17.4,2015,5,17
138,312831A001,금산군 금성면,2015-05-18,16.8,23.3,11.4,74.7,213.5,0.3,4.8,0.0,80.0,11.2,0,17.8,17.6,16.5,2015,5,18
139,312831A001,금산군 금성면,2015-05-19,18.0,25.6,10.7,82.2,202.2,1.0,6.6,0.0,415.0,14.1,97,19.9,18.1,15.7,2015,5,19
140,312831A001,금산군 금성면,2015-05-20,15.7,22.4,8.5,70.8,208.1,1.6,8.2,0.0,754.0,21.2,467,17.7,18.5,14.5,2015,5,20
141,312831A001,금산군 금성면,2015-05-21,16.5,25.7,6.4,67.8,210.0,1.0,7.1,0.0,774.0,20.3,78,18.6,18.2,13.2,2015,5,21
142,312831A001,금산군 금성면,2015-05-22,19.0,27.1,10.3,60.6,223.2,0.9,7.7,0.0,618.0,19.0,0,20.5,18.9,12.0,2015,5,22
143,312831A001,금산군 금성면,2015-05-23,19.1,27.1,10.8,65.4,206.0,0.6,5.0,0.0,520.0,17.6,0,21.3,19.4,11.1,2015,5,23
144,312831A001,금산군 금성면,2015-05-24,19.0,28.5,9.7,65.2,220.3,0.7,7.4,0.0,786.0,20.2,122,21.3,19.7,10.3,2015,5,24
145,312831A001,금산군 금성면,2015-05-25,18.8,28.3,9.0,67.2,225.7,1.0,6.6,0.0,789.0,20.0,104,21.1,19.9,9.4,2015,5,25
146,312831A001,금산군 금성면,2015-05-26,20.3,31.4,9.0,63.4,230.2,0.7,5.7,0.0,776.0,20.7,222,22.4,20.2,8.8,2015,5,26
147,312831A001,금산군 금성면,2015-05-27,21.1,31.6,10.0,60.0,231.0,0.5,4.8,0.0,744.0,20.8,206,23.3,20.8,8.1,2015,5,27
148,312831A001,금산군 금성면,2015-05-28,22.0,31.7,13.7,60.6,125.4,0.3,4.6,0.0,564.0,17.9,0,24.2,21.5,7.7,2015,5,28
149,312831A001,금산군 금성면,2015-05-29,22.1,29.6,12.8,63.6,214.9,0.8,6.2,0.0,701.0,19.0,68,24.4,21.9,7.4,2015,5,29
150,312831A001,금산군 금성면,2015-05-30,18.2,21.3,14.1,91.0,236.9,0.2,4.7,3.0,112.0,7.7,463,19.6,21.1,7.2,2015,5,30
151,312831A001,금산군 금성면,2015-05-31,20.3,29.5,14.0,76.0,220.5,0.3,4.8,0.0,615.0,18.0,429,21.9,21.4,7.4,2015,5,31
