no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,576040A001,김제시 부량면,2020-07-01,21.4,25.5,18.3,80.2,266.0,1.4,6.0,0.0,291.0,18.8,424,23.3,22.7,,2020,7,1
183,576040A001,김제시 부량면,2020-07-02,22.9,29.7,17.3,81.5,267.8,1.2,5.6,0.0,498.0,24.5,0,25.1,23.4,,2020,7,2
184,576040A001,김제시 부량면,2020-07-03,21.6,24.6,19.2,88.3,105.0,1.3,8.5,2.0,0.0,6.0,283,22.1,23.6,,2020,7,3
185,576040A001,김제시 부량면,2020-07-04,20.3,23.4,18.6,90.2,72.2,1.3,10.8,0.5,0.0,7.2,244,21.5,22.6,,2020,7,4
186,576040A001,김제시 부량면,2020-07-05,22.4,26.8,19.5,87.5,250.9,1.3,5.3,0.0,266.0,18.4,192,24.8,23.1,,2020,7,5
187,576040A001,김제시 부량면,2020-07-06,22.9,28.3,20.1,92.9,186.2,1.4,9.4,31.5,169.0,15.3,341,24.6,23.8,,2020,7,6
188,576040A001,김제시 부량면,2020-07-07,23.7,27.8,21.0,89.0,279.6,1.7,6.0,1.0,339.0,20.3,394,25.8,24.5,,2020,7,7
189,576040A001,김제시 부량면,2020-07-08,23.1,28.3,19.7,88.1,270.9,1.7,7.6,0.0,410.0,23.1,0,25.4,24.9,,2020,7,8
190,576040A001,김제시 부량면,2020-07-09,24.8,32.0,19.4,84.5,141.0,1.4,6.0,2.0,520.0,23.9,234,27.3,25.2,,2020,7,9
191,576040A001,김제시 부량면,2020-07-10,25.4,29.9,22.6,87.4,306.3,2.2,10.0,12.0,299.0,20.2,446,27.1,26.0,,2020,7,10
192,576040A001,김제시 부량면,2020-07-11,24.5,29.3,22.2,86.2,247.2,1.8,8.1,0.0,246.0,19.0,0,26.6,26.1,,2020,7,11
193,576040A001,김제시 부량면,2020-07-12,22.3,24.2,19.7,94.7,79.1,2.3,7.9,71.0,0.0,3.9,484,22.5,25.1,,2020,7,12
194,576040A001,김제시 부량면,2020-07-13,21.4,24.0,19.8,95.1,135.9,3.2,7.9,93.0,0.0,3.8,516,21.4,23.2,,2020,7,13
195,576040A001,김제시 부량면,2020-07-14,20.2,21.1,19.4,95.6,161.8,3.1,7.5,4.0,0.0,4.1,302,20.7,22.5,,2020,7,14
196,576040A001,김제시 부량면,2020-07-15,20.2,22.1,19.1,98.1,18.2,1.6,3.8,12.0,0.0,6.6,996,21.2,22.3,,2020,7,15
197,576040A001,김제시 부량면,2020-07-16,23.0,27.5,19.8,86.8,297.5,1.5,7.7,0.0,522.0,24.7,488,25.4,23.4,,2020,7,16
198,576040A001,김제시 부량면,2020-07-17,23.3,28.6,19.2,86.8,255.7,1.6,7.4,0.0,654.0,25.9,0,26.0,24.7,,2020,7,17
199,576040A001,김제시 부량면,2020-07-18,23.8,28.7,19.6,81.6,142.1,1.4,5.8,0.0,217.0,18.6,0,25.8,24.9,,2020,7,18
200,576040A001,김제시 부량면,2020-07-19,26.4,29.9,21.6,80.5,148.4,3.7,9.9,0.0,130.0,13.1,334,27.3,25.1,,2020,7,19
201,576040A001,김제시 부량면,2020-07-20,24.3,28.2,22.0,91.5,216.6,3.0,10.0,33.5,7.0,6.5,420,24.6,25.0,,2020,7,20
202,576040A001,김제시 부량면,2020-07-21,24.5,29.2,22.0,85.3,271.6,1.3,10.3,0.0,516.0,25.7,0,27.3,25.4,,2020,7,21
203,576040A001,김제시 부량면,2020-07-22,22.3,24.2,21.4,96.7,264.7,0.8,5.9,13.0,0.0,5.6,1270,23.4,25.3,,2020,7,22
204,576040A001,김제시 부량면,2020-07-23,22.6,25.8,21.0,95.0,120.0,3.0,10.2,44.0,2.0,4.5,900,22.5,24.1,,2020,7,23
205,576040A001,김제시 부량면,2020-07-24,21.9,23.7,20.5,95.6,85.2,2.5,5.8,6.5,13.0,7.5,964,22.3,23.6,,2020,7,24
206,576040A001,김제시 부량면,2020-07-25,23.0,26.0,21.0,91.5,295.4,1.7,9.0,0.5,51.0,11.8,367,24.3,23.9,,2020,7,25
207,576040A001,김제시 부량면,2020-07-26,23.2,27.9,21.1,89.4,249.4,1.2,6.1,0.5,167.0,16.6,506,25.2,24.6,,2020,7,26
208,576040A001,김제시 부량면,2020-07-27,23.8,27.4,21.1,90.8,53.3,1.0,9.2,5.0,7.0,8.9,389,24.7,24.8,,2020,7,27
209,576040A001,김제시 부량면,2020-07-28,25.0,28.5,21.8,94.4,13.2,0.8,4.2,2.0,17.0,11.1,740,26.1,25.0,,2020,7,28
210,576040A001,김제시 부량면,2020-07-29,25.0,26.7,23.8,97.3,162.3,1.5,4.6,64.5,2.0,5.4,1016,25.1,25.1,,2020,7,29
211,576040A001,김제시 부량면,2020-07-30,25.7,28.6,23.7,96.2,215.2,1.9,6.0,55.0,91.0,10.5,679,26.3,25.2,,2020,7,30
212,576040A001,김제시 부량면,2020-07-31,26.3,30.5,24.0,93.6,270.2,1.1,5.3,11.0,135.0,15.9,451,27.3,26.0,,2020,7,31
