no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,621100A001,김해시 전하동,2011-10-01,15.5,22.7,9.1,52.7,113.8,3.3,,0.0,10,37.6,0,,19.1,,2011,10,1
275,621100A001,김해시 전하동,2011-10-02,15.5,20.3,10.6,35.0,122.0,4.3,,0.0,10,37.5,0,,18.4,,2011,10,2
276,621100A001,김해시 전하동,2011-10-03,13.7,22.3,8.3,58.1,101.9,2.0,,0.0,10,39.7,10,,18.2,,2011,10,3
277,621100A001,김해시 전하동,2011-10-04,14.9,22.7,8.4,72.3,105.3,1.2,,0.0,10,38.6,10,,18.1,,2011,10,4
278,621100A001,김해시 전하동,2011-10-05,15.5,22.9,11.2,80.4,85.9,0.6,,0.0,10,38.0,10,,18.5,,2011,10,5
279,621100A001,김해시 전하동,2011-10-06,16.3,24.1,8.4,60.3,98.3,3.0,,0.0,10,39.5,10,,18.1,,2011,10,6
280,621100A001,김해시 전하동,2011-10-07,15.6,23.0,9.3,57.6,110.3,1.9,,0.0,10,38.5,10,,18.2,,2011,10,7
281,621100A001,김해시 전하동,2011-10-08,15.0,23.7,7.9,75.1,117.1,0.7,,0.0,10,38.9,10,,17.9,,2011,10,8
282,621100A001,김해시 전하동,2011-10-09,16.0,24.5,9.3,81.1,276.4,0.5,,0.0,10,39.9,10,,18.1,,2011,10,9
283,621100A001,김해시 전하동,2011-10-10,17.2,27.3,11.1,80.4,93.6,0.9,,0.0,10,39.8,10,,18.4,,2011,10,10
284,621100A001,김해시 전하동,2011-10-11,17.3,25.7,12.3,78.5,351.4,0.9,,0.0,10,38.9,10,,18.7,,2011,10,11
285,621100A001,김해시 전하동,2011-10-12,17.2,24.3,10.4,80.5,157.5,0.6,,0.0,10,39.1,10,,18.5,,2011,10,12
286,621100A001,김해시 전하동,2011-10-13,19.3,26.3,13.5,73.2,60.9,1.0,,0.0,10,38.3,10,,19.5,,2011,10,13
287,621100A001,김해시 전하동,2011-10-14,14.7,15.7,12.6,100.0,98.0,1.3,,22.5,0,10.9,10,,18.9,,2011,10,14
288,621100A001,김해시 전하동,2011-10-15,17.0,24.7,1.9,89.0,72.5,2.6,,0.0,10,39.2,10,,18.5,,2011,10,15
289,621100A001,김해시 전하동,2011-10-16,15.3,21.5,8.3,65.5,89.6,2.7,,0.0,10,39.9,0,,17.9,,2011,10,16
290,621100A001,김해시 전하동,2011-10-17,14.2,20.9,7.6,64.3,107.7,2.4,,0.0,10,38.7,10,,17.3,,2011,10,17
291,621100A001,김해시 전하동,2011-10-18,12.5,20.7,7.1,54.1,122.4,3.2,,0.0,10,38.5,8,,16.5,,2011,10,18
292,621100A001,김해시 전하동,2011-10-19,14.9,22.1,6.8,65.9,168.1,2.9,,0.0,10,39.4,10,,16.5,,2011,10,19
293,621100A001,김해시 전하동,2011-10-20,16.5,23.2,11.5,76.6,151.6,2.2,,0.0,10,38.7,0,,17.3,,2011,10,20
294,621100A001,김해시 전하동,2011-10-21,16.1,19.4,13.4,100.0,116.5,3.0,,16.0,1,23.4,10,,17.4,,2011,10,21
295,621100A001,김해시 전하동,2011-10-22,14.8,16.4,12.8,99.7,110.4,5.1,,58.0,0,10.3,10,,16.4,,2011,10,22
296,621100A001,김해시 전하동,2011-10-23,14.5,20.0,8.4,93.3,97.7,1.0,,0.0,10,37.6,10,,16.1,,2011,10,23
297,621100A001,김해시 전하동,2011-10-24,14.0,19.0,7.7,98.9,104.9,0.8,,2.0,7,38.4,10,,16.5,,2011,10,24
298,621100A001,김해시 전하동,2011-10-25,10.4,14.4,5.9,45.2,119.9,4.8,,0.0,10,39.8,10,,15.1,,2011,10,25
299,621100A001,김해시 전하동,2011-10-26,8.9,17.9,1.4,66.2,94.9,1.0,,0.0,10,39.0,10,,13.9,,2011,10,26
300,621100A001,김해시 전하동,2011-10-27,11.8,20.5,4.5,79.8,141.5,1.5,,0.0,10,39.2,10,,14.2,,2011,10,27
301,621100A001,김해시 전하동,2011-10-28,14.1,22.0,7.7,83.2,93.6,0.9,,0.0,10,38.9,10,,14.8,,2011,10,28
302,621100A001,김해시 전하동,2011-10-29,15.0,19.6,11.6,98.8,95.0,1.7,,4.5,10,36.3,10,,15.5,,2011,10,29
303,621100A001,김해시 전하동,2011-10-30,14.4,17.4,10.4,100.0,117.9,2.3,,1.5,10,15.8,10,,15.9,,2011,10,30
304,621100A001,김해시 전하동,2011-10-31,13.9,21.1,2.4,76.1,143.7,2.1,,0.0,10,39.8,10,,15.2,,2011,10,31
