no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,520892A001,나주시 공산면,2017-06-01,21.1,25.2,15.3,83.8,,,,0.0,,18.9,0,22.8,22.0,,2017,6,1
153,520892A001,나주시 공산면,2017-06-02,18.9,25.2,12.5,62.9,,,,0.0,,29.5,294,21.1,20.4,,2017,6,2
154,520892A001,나주시 공산면,2017-06-03,19.5,24.6,15.6,60.1,,,,0.0,,28.8,0,21.9,20.8,,2017,6,3
155,520892A001,나주시 공산면,2017-06-04,20.1,27.7,12.0,58.8,,,,0.0,,30.6,0,22.0,20.8,,2017,6,4
156,520892A001,나주시 공산면,2017-06-05,22.4,32.4,14.0,53.1,,,,0.0,,27.7,0,23.7,21.7,,2017,6,5
157,520892A001,나주시 공산면,2017-06-06,19.8,23.2,17.0,67.2,,,,6.0,,5.5,523,19.3,20.1,,2017,6,6
158,520892A001,나주시 공산면,2017-06-07,18.9,20.5,16.3,88.7,,,,2.5,,3.9,357,18.4,19.3,,2017,6,7
159,520892A001,나주시 공산면,2017-06-08,20.1,25.4,16.3,76.8,,,,0.0,,25.8,57,21.8,20.4,,2017,6,8
160,520892A001,나주시 공산면,2017-06-09,21.9,29.5,16.3,71.2,,,,0.0,,27.1,253,23.5,21.8,,2017,6,9
161,520892A001,나주시 공산면,2017-06-10,23.1,27.4,20.6,84.5,,,,0.0,,12.9,0,23.5,22.4,,2017,6,10
162,520892A001,나주시 공산면,2017-06-11,22.9,28.3,19.4,76.1,,,,8.0,,19.0,135,23.1,22.6,,2017,6,11
163,520892A001,나주시 공산면,2017-06-12,21.4,26.6,16.8,59.9,,,,0.0,,22.4,0,22.1,21.4,,2017,6,12
164,520892A001,나주시 공산면,2017-06-13,21.7,28.7,16.8,63.9,,,,0.0,,24.3,0,23.4,22.0,,2017,6,13
165,520892A001,나주시 공산면,2017-06-14,20.5,26.8,14.5,72.9,,,,0.0,,30.3,85,23.1,22.0,,2017,6,14
166,520892A001,나주시 공산면,2017-06-15,21.7,28.2,15.8,69.8,,,,0.0,,28.9,391,23.8,22.3,,2017,6,15
167,520892A001,나주시 공산면,2017-06-16,23.8,32.0,17.0,69.6,,,,0.0,,28.1,416,25.3,23.3,,2017,6,16
168,520892A001,나주시 공산면,2017-06-17,23.7,32.9,18.0,68.8,,,,0.0,,27.5,52,25.5,23.8,,2017,6,17
169,520892A001,나주시 공산면,2017-06-18,23.6,31.5,17.3,65.0,,,,0.0,,29.2,219,25.8,24.0,,2017,6,18
170,520892A001,나주시 공산면,2017-06-19,24.3,33.1,17.0,67.2,,,,0.0,,26.4,340,26.2,24.3,,2017,6,19
171,520892A001,나주시 공산면,2017-06-20,23.0,27.2,20.3,75.3,,,,0.0,,8.9,148,23.2,23.3,,2017,6,20
172,520892A001,나주시 공산면,2017-06-21,23.5,28.1,19.7,78.7,,,,0.0,,22.0,0,25.6,24.1,,2017,6,21
173,520892A001,나주시 공산면,2017-06-22,24.7,31.8,20.8,76.7,,,,0.0,,26.4,1,27.3,25.2,,2017,6,22
174,520892A001,나주시 공산면,2017-06-23,25.3,33.5,19.9,73.3,,,,0.0,,21.5,22,26.9,25.4,,2017,6,23
175,520892A001,나주시 공산면,2017-06-24,24.3,30.6,20.5,75.4,,,,0.0,,19.5,0,26.1,24.9,,2017,6,24
176,520892A001,나주시 공산면,2017-06-25,24.5,30.0,19.8,76.4,,,,0.0,,17.8,48,25.8,24.6,,2017,6,25
177,520892A001,나주시 공산면,2017-06-26,24.5,28.9,22.2,79.6,,,,0.0,,11.9,4,25.4,24.6,,2017,6,26
178,520892A001,나주시 공산면,2017-06-27,24.8,30.3,21.2,76.1,,,,0.0,,18.4,0,26.0,24.8,,2017,6,27
179,520892A001,나주시 공산면,2017-06-28,25.1,31.8,20.3,76.5,,,,0.0,,23.4,100,26.9,25.2,,2017,6,28
180,520892A001,나주시 공산면,2017-06-29,24.4,28.7,22.2,80.0,,,,0.0,,12.3,11,25.3,24.8,,2017,6,29
181,520892A001,나주시 공산면,2017-06-30,24.4,28.0,22.0,86.6,,,,2.5,,10.3,410,24.9,24.5,,2017,6,30
