stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
520892A001,나주시 공산면,2024-02-01,5.3,7.6,3.4,80.1,,,,0.5,,3.8,0,6.0,7.1,,2024,2,1
520892A001,나주시 공산면,2024-02-02,3.8,8.3,0.3,80.0,,,,0.0,,9.8,0,5.6,7.0,,2024,2,2
520892A001,나주시 공산면,2024-02-03,4.5,9.8,0.1,91.6,,,,3.5,,3.8,0,5.6,6.7,,2024,2,3
520892A001,나주시 공산면,2024-02-04,7.2,11.7,4.3,88.1,,,,7.0,,6.6,0,7.8,7.5,,2024,2,4
520892A001,나주시 공산면,2024-02-05,6.0,7.5,4.6,95.5,,,,9.5,,3.3,0,6.7,7.9,,2024,2,5
520892A001,나주시 공산면,2024-02-06,4.4,7.3,2.5,85.6,,,,0.0,,5.6,0,5.4,7.4,,2024,2,6
520892A001,나주시 공산면,2024-02-07,1.0,5.1,-3.1,82.5,,,,0.0,,14.3,0,2.3,6.5,,2024,2,7
520892A001,나주시 공산면,2024-02-08,-0.1,5.7,-4.9,84.8,,,,0.0,,13.2,0,1.3,5.3,,2024,2,8
520892A001,나주시 공산면,2024-02-09,0.4,6.5,-4.6,83.8,,,,0.0,,15.0,0,1.2,4.9,,2024,2,9
520892A001,나주시 공산면,2024-02-10,1.1,8.9,-4.3,85.5,,,,0.0,,13.5,0,1.8,4.8,,2024,2,10
520892A001,나주시 공산면,2024-02-11,0.9,9.0,-3.3,86.9,,,,0.0,,12.2,0,2.3,5.1,,2024,2,11
520892A001,나주시 공산면,2024-02-12,2.7,11.9,-4.0,81.6,,,,0.0,,16.3,0,3.2,5.1,,2024,2,12
520892A001,나주시 공산면,2024-02-13,7.2,16.0,-0.7,83.9,,,,0.0,,15.0,0,6.3,5.9,,2024,2,13
520892A001,나주시 공산면,2024-02-14,12.5,17.4,7.5,91.9,,,,9.0,,7.7,0,10.4,7.9,,2024,2,14
520892A001,나주시 공산면,2024-02-15,5.7,10.2,0.1,85.4,,,,0.0,,3.3,0,5.8,8.2,,2024,2,15
520892A001,나주시 공산면,2024-02-16,2.0,9.8,-3.8,77.5,,,,0.0,,17.6,0,3.9,6.6,,2024,2,16
520892A001,나주시 공산면,2024-02-17,4.8,14.4,-2.9,83.3,,,,0.0,,17.9,0,5.2,6.5,,2024,2,17
520892A001,나주시 공산면,2024-02-18,10.4,17.3,2.4,87.6,,,,36.0,,1.7,0,8.4,7.2,,2024,2,18
520892A001,나주시 공산면,2024-02-19,11.6,17.4,5.0,97.0,,,,3.0,,1.2,0,11.4,10.0,,2024,2,19
520892A001,나주시 공산면,2024-02-20,6.2,8.5,3.9,96.6,,,,6.5,,1.2,0,7.1,8.8,,2024,2,20
520892A001,나주시 공산면,2024-02-21,7.7,9.0,5.9,93.7,,,,12.5,,2.0,0,7.9,8.7,,2024,2,21
520892A001,나주시 공산면,2024-02-22,5.3,6.0,4.8,99.0,,,,6.0,,1.4,0,6.7,8.4,,2024,2,22
520892A001,나주시 공산면,2024-02-23,4.7,5.8,4.0,94.6,,,,3.5,,3.7,0,6.5,8.1,,2024,2,23
520892A001,나주시 공산면,2024-02-24,4.5,8.1,2.2,80.9,,,,6.0,,6.2,0,5.7,7.9,,2024,2,24
520892A001,나주시 공산면,2024-02-25,4.0,7.5,2.1,90.5,,,,0.0,,6.1,0,5.6,7.7,,2024,2,25
520892A001,나주시 공산면,2024-02-26,3.9,9.6,-1.0,81.8,,,,0.0,,18.1,0,5.3,7.4,,2024,2,26
520892A001,나주시 공산면,2024-02-27,6.1,12.4,0.7,68.4,,,,0.0,,14.5,0,6.9,7.6,,2024,2,27
520892A001,나주시 공산면,2024-02-28,8.2,14.4,3.7,62.4,,,,0.0,,17.9,0,9.3,8.5,,2024,2,28
