no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,520943A002,나주시 문평면,2020-02-01,1.4,9.4,-3.8,90.9,,,,0.0,,11.1,0,3.6,5.7,,2020,2,1
33,520943A002,나주시 문평면,2020-02-02,1.4,8.0,-3.0,88.6,,,,0.0,,12.4,0,3.6,5.4,,2020,2,2
34,520943A002,나주시 문평면,2020-02-03,0.6,5.8,-3.1,88.0,,,,0.0,,9.1,0,2.6,4.9,,2020,2,3
35,520943A002,나주시 문평면,2020-02-04,-0.3,7.6,-6.0,80.7,,,,0.0,,16.3,0,1.9,4.2,,2020,2,4
36,520943A002,나주시 문평면,2020-02-05,-1.5,1.8,-5.1,74.4,,,,0.0,,16.7,0,0.5,3.8,,2020,2,5
37,520943A002,나주시 문평면,2020-02-06,-3.2,1.4,-7.5,66.1,,,,0.0,,12.6,0,-0.7,2.8,,2020,2,6
38,520943A002,나주시 문평면,2020-02-07,-0.1,5.1,-6.2,71.8,,,,0.0,,12.5,0,1.0,2.9,,2020,2,7
39,520943A002,나주시 문평면,2020-02-08,1.5,6.0,-2.9,83.0,,,,1.0,,10.9,0,2.4,3.8,,2020,2,8
40,520943A002,나주시 문평면,2020-02-09,1.2,7.0,-3.8,81.1,,,,0.0,,15.9,0,2.8,4.0,,2020,2,9
41,520943A002,나주시 문평면,2020-02-10,2.2,12.4,-4.1,85.7,,,,0.0,,12.8,0,3.3,4.2,,2020,2,10
42,520943A002,나주시 문평면,2020-02-11,4.5,13.4,-4.4,79.5,,,,0.0,,10.6,0,4.0,4.4,,2020,2,11
43,520943A002,나주시 문평면,2020-02-12,9.3,12.2,6.5,97.3,,,,8.5,,1.4,0,7.6,6.3,,2020,2,12
44,520943A002,나주시 문평면,2020-02-13,7.3,9.9,2.1,96.9,,,,0.0,,4.0,0,7.5,7.3,,2020,2,13
45,520943A002,나주시 문평면,2020-02-14,7.8,18.9,2.1,86.3,,,,0.0,,16.5,0,8.3,7.5,,2020,2,14
46,520943A002,나주시 문평면,2020-02-15,8.7,17.1,1.9,90.3,,,,5.5,,7.2,0,8.4,7.9,,2020,2,15
47,520943A002,나주시 문평면,2020-02-16,2.2,6.5,-0.6,90.4,,,,5.5,,5.7,0,3.8,7.1,,2020,2,16
48,520943A002,나주시 문평면,2020-02-17,-1.1,0.7,-2.5,83.8,,,,1.0,,7.6,0,1.3,4.8,,2020,2,17
49,520943A002,나주시 문평면,2020-02-18,0.7,5.2,-3.0,76.0,,,,0.0,,18.3,0,2.4,4.5,,2020,2,18
50,520943A002,나주시 문평면,2020-02-19,1.9,10.1,-4.5,86.6,,,,0.0,,15.9,0,3.4,4.6,,2020,2,19
51,520943A002,나주시 문평면,2020-02-20,5.0,13.8,-1.7,84.2,,,,0.0,,17.7,0,5.7,5.8,,2020,2,20
52,520943A002,나주시 문평면,2020-02-21,7.1,16.2,-1.5,83.5,,,,3.5,,15.4,0,7.1,6.5,,2020,2,21
53,520943A002,나주시 문평면,2020-02-22,7.0,10.4,2.3,81.1,,,,1.5,,15.8,0,7.2,7.7,,2020,2,22
54,520943A002,나주시 문평면,2020-02-23,2.7,10.0,-3.0,80.4,,,,0.0,,19.3,0,5.2,6.8,,2020,2,23
55,520943A002,나주시 문평면,2020-02-24,5.8,14.8,-3.2,85.1,,,,0.0,,14.5,0,6.2,6.5,,2020,2,24
56,520943A002,나주시 문평면,2020-02-25,11.7,15.4,9.0,97.6,,,,4.0,,0.4,0,10.1,8.4,,2020,2,25
57,520943A002,나주시 문평면,2020-02-26,8.5,14.4,0.7,90.6,,,,0.5,,13.0,0,9.1,9.2,,2020,2,26
58,520943A002,나주시 문평면,2020-02-27,4.6,13.4,-1.6,88.3,,,,0.0,,18.3,0,7.3,8.3,,2020,2,27
59,520943A002,나주시 문평면,2020-02-28,5.8,8.3,1.6,91.5,,,,2.0,,2.7,0,6.8,7.9,,2020,2,28
