no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,520853A003,나주시 봉황면,2014-11-01,14.7,17.7,8.7,95.4,,,,0.0,,4.4,905,14.8,15.6,,2014,11,1
306,520853A003,나주시 봉황면,2014-11-02,12.0,16.3,9.4,79.9,,,,1.0,,7.7,715,12.1,14.8,,2014,11,2
307,520853A003,나주시 봉황면,2014-11-03,9.7,15.7,2.9,62.6,,,,0.0,,14.6,159,10.8,14.1,,2014,11,3
308,520853A003,나주시 봉황면,2014-11-04,8.2,18.1,0.3,81.1,,,,0.0,,16.0,838,9.7,12.9,,2014,11,4
309,520853A003,나주시 봉황면,2014-11-05,8.7,18.0,1.0,84.0,,,,0.0,,15.3,845,10.2,12.7,,2014,11,5
310,520853A003,나주시 봉황면,2014-11-06,11.4,19.8,6.0,87.0,,,,0.0,,11.4,904,12.0,13.1,,2014,11,6
311,520853A003,나주시 봉황면,2014-11-07,9.4,17.4,3.2,83.2,,,,0.0,,14.8,823,10.3,12.9,,2014,11,7
312,520853A003,나주시 봉황면,2014-11-08,9.6,13.7,4.8,90.9,,,,0.0,,4.1,702,10.8,12.7,,2014,11,8
313,520853A003,나주시 봉황면,2014-11-09,9.9,17.0,3.9,81.0,,,,0.0,,13.9,702,10.5,12.8,,2014,11,9
314,520853A003,나주시 봉황면,2014-11-10,7.9,17.7,1.0,79.1,,,,0.0,,14.3,808,8.7,11.9,,2014,11,10
315,520853A003,나주시 봉황면,2014-11-11,7.3,16.0,0.0,85.3,,,,0.0,,12.3,608,8.8,11.4,,2014,11,11
316,520853A003,나주시 봉황면,2014-11-12,9.6,14.2,4.6,80.2,,,,3.0,,9.6,910,9.8,12.0,,2014,11,12
317,520853A003,나주시 봉황면,2014-11-13,5.0,9.2,1.7,72.3,,,,0.0,,6.3,7,6.3,11.0,,2014,11,13
318,520853A003,나주시 봉황면,2014-11-14,6.0,12.3,2.4,85.8,,,,0.0,,11.6,742,7.4,10.8,,2014,11,14
319,520853A003,나주시 봉황면,2014-11-15,5.0,12.8,-1.2,83.2,,,,0.0,,8.3,370,6.5,10.1,,2014,11,15
320,520853A003,나주시 봉황면,2014-11-16,8.4,15.3,4.6,71.2,,,,0.0,,11.2,2,9.9,10.8,,2014,11,16
321,520853A003,나주시 봉황면,2014-11-17,6.9,13.4,2.5,87.1,,,,0.5,,8.3,601,7.7,10.9,,2014,11,17
322,520853A003,나주시 봉황면,2014-11-18,5.6,13.4,-0.2,79.5,,,,0.0,,13.0,727,6.1,10.0,,2014,11,18
323,520853A003,나주시 봉황면,2014-11-19,4.3,14.2,-3.4,74.2,,,,0.0,,13.1,491,5.1,9.1,,2014,11,19
324,520853A003,나주시 봉황면,2014-11-20,5.7,15.7,-2.0,73.9,,,,0.0,,13.5,465,5.7,8.8,,2014,11,20
325,520853A003,나주시 봉황면,2014-11-21,7.2,16.7,-0.5,84.8,,,,0.0,,10.9,690,7.2,9.0,,2014,11,21
326,520853A003,나주시 봉황면,2014-11-22,9.3,17.8,2.1,86.9,,,,0.0,,8.5,683,8.9,9.6,,2014,11,22
327,520853A003,나주시 봉황면,2014-11-23,10.5,17.4,3.5,83.9,,,,0.0,,7.2,611,10.1,10.3,,2014,11,23
328,520853A003,나주시 봉황면,2014-11-24,11.9,12.8,10.4,96.5,,,,70.0,,0.2,1048,11.5,11.5,,2014,11,24
329,520853A003,나주시 봉황면,2014-11-25,10.7,14.0,6.9,95.8,,,,0.0,,6.2,690,11.4,11.9,,2014,11,25
330,520853A003,나주시 봉황면,2014-11-26,10.3,16.0,5.2,87.0,,,,0.0,,9.3,702,10.6,11.9,,2014,11,26
331,520853A003,나주시 봉황면,2014-11-27,7.6,15.9,3.0,94.2,,,,0.0,,8.8,960,8.8,11.1,,2014,11,27
332,520853A003,나주시 봉황면,2014-11-28,12.1,15.0,5.2,93.5,,,,4.5,,0.9,845,11.0,11.2,,2014,11,28
333,520853A003,나주시 봉황면,2014-11-29,10.9,15.8,5.6,80.8,,,,0.0,,10.6,212,10.8,11.7,,2014,11,29
334,520853A003,나주시 봉황면,2014-11-30,12.1,14.4,5.6,93.2,,,,18.0,,1.7,931,11.4,11.6,,2014,11,30
