stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-01,19.0,24.5,14.4,76.2,,,,0.0,,28.3,1440,22.0,19.6,,2024,6,1
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-02,19.6,27.7,13.3,70.0,,,,0.0,,27.4,1440,22.3,19.6,,2024,6,2
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-03,20.3,28.8,12.5,69.5,,,,0.0,,31.6,957,24.3,20.1,,2024,6,3
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-04,20.5,27.2,14.1,80.4,,,,0.0,,28.0,0,24.7,20.7,,2024,6,4
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-05,21.5,28.5,17.2,81.4,,,,0.0,,25.1,0,25.2,21.3,,2024,6,5
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-06,20.6,26.5,15.7,75.4,,,,0.0,,21.1,0,24.0,21.0,,2024,6,6
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-07,21.5,28.1,15.7,75.4,,,,0.0,,20.5,0,24.6,21.0,,2024,6,7
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-08,20.3,22.8,18.8,96.5,,,,8.0,,10.7,0,21.2,20.7,,2024,6,8
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-09,22.6,28.0,18.9,87.9,,,,0.0,,24.6,0,25.7,21.5,,2024,6,9
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-10,23.1,31.1,16.5,77.9,,,,0.0,,30.0,0,27.0,22.3,,2024,6,10
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-11,22.9,30.5,16.1,80.7,,,,0.0,,28.9,0,27.4,22.8,,2024,6,11
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-12,23.7,31.7,16.5,78.4,,,,0.0,,30.5,0,28.1,23.2,,2024,6,12
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-13,24.3,33.6,17.2,73.4,,,,0.5,,31.3,0,28.9,23.7,,2024,6,13
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-14,24.5,32.5,17.3,80.1,,,,0.0,,27.2,0,28.9,23.9,,2024,6,14
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-15,25.0,32.1,19.6,81.8,,,,0.0,,29.8,0,29.9,24.6,,2024,6,15
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-16,23.6,29.1,18.6,82.2,,,,0.0,,27.7,0,28.1,24.5,,2024,6,16
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-17,21.1,27.7,16.3,85.4,,,,0.0,,15.0,0,23.5,22.8,,2024,6,17
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-18,23.9,33.5,16.8,72.2,,,,0.0,,32.1,0,28.4,23.4,,2024,6,18
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-19,24.9,35.6,16.8,70.5,,,,0.0,,29.1,0,29.0,24.0,,2024,6,19
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-20,21.8,23.6,18.6,91.1,,,,0.0,,8.0,0,22.3,22.9,,2024,6,20
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-21,24.4,32.6,18.8,84.1,,,,0.0,,23.8,0,28.1,23.3,,2024,6,21
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-22,23.5,25.4,21.6,97.2,,,,32.5,,11.2,0,23.8,23.3,,2024,6,22
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-23,23.6,27.3,21.9,96.1,,,,0.5,,16.4,0,25.4,23.4,,2024,6,23
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-24,23.6,28.3,20.5,95.5,,,,0.0,,13.2,0,25.1,23.5,,2024,6,24
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-25,22.6,29.2,18.2,79.2,,,,0.0,,24.9,0,26.3,23.4,,2024,6,25
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-26,22.4,30.1,15.8,77.9,,,,0.0,,30.0,0,27.3,23.5,,2024,6,26
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-27,20.3,23.3,17.1,89.6,,,,0.0,,10.2,0,21.9,22.6,,2024,6,27
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-28,24.0,31.0,16.9,84.7,,,,0.0,,31.9,0,28.8,23.4,,2024,6,28
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-29,23.4,25.1,21.1,97.0,,,,55.5,,10.1,0,23.9,23.5,,2024,6,29
520853A003,³ªÁÖ½Ã ºÀÈ²¸é,2024-06-30,24.1,25.0,22.9,97.4,,,,42.0,,12.3,0,24.3,23.7,,2024,6,30
