no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,535873B003,나주시 산포면,2022-06-01,21.6,31.0,14.8,50.5,227.9,1.3,7.8,0.0,706.0,28.0,5,,19.9,,2022,6,1
153,535873B003,나주시 산포면,2022-06-02,21.6,29.7,14.2,66.1,246.6,1.2,6.8,0.0,694.0,26.9,315,,20.2,,2022,6,2
154,535873B003,나주시 산포면,2022-06-03,24.2,32.7,18.1,61.5,170.7,1.3,9.5,0.0,620.0,24.6,314,,21.1,,2022,6,3
155,535873B003,나주시 산포면,2022-06-04,23.6,29.7,17.2,48.0,140.1,2.1,8.3,0.0,576.0,23.0,65,,21.1,,2022,6,4
156,535873B003,나주시 산포면,2022-06-05,19.1,21.8,16.1,74.4,84.5,1.3,10.1,21.0,0.0,5.5,820,,20.3,,2022,6,5
157,535873B003,나주시 산포면,2022-06-06,19.8,25.3,15.6,77.5,273.6,1.5,6.1,0.5,340.0,17.5,476,,19.9,,2022,6,6
158,535873B003,나주시 산포면,2022-06-07,19.1,22.5,16.7,74.0,131.4,1.8,8.6,7.0,161.0,11.4,425,,20.2,,2022,6,7
159,535873B003,나주시 산포면,2022-06-08,19.7,24.5,16.2,71.5,122.6,1.4,6.1,1.0,340.0,19.1,238,,20.2,,2022,6,8
160,535873B003,나주시 산포면,2022-06-09,21.2,27.0,15.7,65.7,151.4,1.2,5.4,0.0,578.0,22.6,0,,20.9,,2022,6,9
161,535873B003,나주시 산포면,2022-06-10,21.6,27.0,15.6,63.4,129.2,1.1,6.6,0.0,365.0,18.2,71,,21.3,,2022,6,10
162,535873B003,나주시 산포면,2022-06-11,21.9,31.4,16.6,73.1,218.4,0.9,11.6,22.0,428.0,20.4,777,,21.7,,2022,6,11
163,535873B003,나주시 산포면,2022-06-12,22.0,27.1,17.8,75.8,213.5,0.8,4.6,0.0,297.0,14.7,474,,22.1,,2022,6,12
164,535873B003,나주시 산포면,2022-06-13,21.2,24.5,17.6,62.4,131.3,1.0,6.4,0.0,1.0,8.8,4,,21.7,,2022,6,13
165,535873B003,나주시 산포면,2022-06-14,19.4,22.0,17.4,75.2,23.6,0.8,4.7,2.0,0.0,8.4,717,,21.1,,2022,6,14
166,535873B003,나주시 산포면,2022-06-15,21.3,25.8,17.5,71.8,193.4,2.3,8.2,0.5,324.0,18.4,224,,21.3,,2022,6,15
167,535873B003,나주시 산포면,2022-06-16,22.6,28.1,18.5,68.6,214.7,1.4,5.7,0.0,453.0,20.6,0,,22.1,,2022,6,16
168,535873B003,나주시 산포면,2022-06-17,23.4,29.9,18.2,73.7,175.3,1.4,7.5,0.0,225.0,16.6,134,,22.8,,2022,6,17
169,535873B003,나주시 산포면,2022-06-18,24.3,28.2,21.3,73.2,218.1,1.7,7.0,0.0,525.0,23.0,39,,23.8,,2022,6,18
170,535873B003,나주시 산포면,2022-06-19,26.2,32.1,21.9,68.9,218.5,1.2,4.8,0.0,492.0,22.1,25,,24.4,,2022,6,19
171,535873B003,나주시 산포면,2022-06-20,26.7,33.3,21.3,69.9,222.6,1.3,11.2,0.0,678.0,24.9,195,,25.4,,2022,6,20
172,535873B003,나주시 산포면,2022-06-21,26.4,32.9,22.8,70.4,205.1,1.7,6.3,0.0,522.0,22.5,0,,25.9,,2022,6,21
173,535873B003,나주시 산포면,2022-06-22,26.8,33.0,21.0,68.3,221.7,1.5,10.4,0.0,749.0,26.8,37,,26.2,,2022,6,22
174,535873B003,나주시 산포면,2022-06-23,26.1,30.0,23.3,76.0,173.8,2.5,8.4,25.0,125.0,8.9,278,,25.7,,2022,6,23
175,535873B003,나주시 산포면,2022-06-24,24.7,28.3,22.8,84.6,209.3,2.9,9.5,45.5,222.0,14.3,631,,24.9,,2022,6,24
176,535873B003,나주시 산포면,2022-06-25,26.3,29.5,23.7,76.6,162.0,2.2,7.2,0.0,227.0,15.3,0,,25.3,,2022,6,25
177,535873B003,나주시 산포면,2022-06-26,27.5,30.9,25.0,73.3,174.3,2.9,13.3,0.0,223.0,16.2,0,,25.6,,2022,6,26
178,535873B003,나주시 산포면,2022-06-27,27.5,29.7,25.7,74.3,153.0,3.4,9.0,0.5,40.0,9.1,293,,25.5,,2022,6,27
179,535873B003,나주시 산포면,2022-06-28,28.3,30.5,26.3,68.4,164.2,4.1,9.5,0.0,130.0,13.9,0,,25.5,,2022,6,28
180,535873B003,나주시 산포면,2022-06-29,27.4,29.8,25.7,76.4,174.3,2.6,8.3,5.0,35.0,10.0,602,,25.6,,2022,6,29
181,535873B003,나주시 산포면,2022-06-30,27.7,30.5,25.4,75.2,163.1,2.1,6.3,0.0,250.0,12.3,315,,25.8,,2022,6,30
