no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,472830A001,남양주 진건읍,2019-11-01,13.5,22.0,6.9,79.8,227.5,0.3,5.3,0.0,428,10.7,0,16.4,15.0,7.0,2019,11,1
306,472830A001,남양주 진건읍,2019-11-02,11.4,19.6,4.6,86.6,151.2,0.1,2.9,0.0,68,5.8,0,15.0,13.8,6.8,2019,11,2
307,472830A001,남양주 진건읍,2019-11-03,13.6,22.3,6.5,77.0,192.7,0.5,6.6,0.0,346,9.3,0,15.8,14.4,6.8,2019,11,3
308,472830A001,남양주 진건읍,2019-11-04,11.5,20.5,5.6,79.7,175.1,0.4,4.6,0.0,432,10.6,0,15.3,13.9,6.5,2019,11,4
309,472830A001,남양주 진건읍,2019-11-05,9.7,19.2,3.9,84.7,217.1,0.4,6.3,0.0,353,9.2,0,14.4,13.1,6.3,2019,11,5
310,472830A001,남양주 진건읍,2019-11-06,8.8,17.2,2.8,84.0,203.6,0.3,5.1,0.0,278,7.7,0,13.7,12.4,6.2,2019,11,6
311,472830A001,남양주 진건읍,2019-11-07,7.7,16.2,0.4,69.8,183.6,0.5,7.2,0.0,417,9.8,0,13.1,11.8,6.1,2019,11,7
312,472830A001,남양주 진건읍,2019-11-08,4.3,14.8,-3.0,60.4,198.9,0.4,5.2,0.0,413,10.1,0,11.1,9.8,6.0,2019,11,8
313,472830A001,남양주 진건읍,2019-11-09,6.2,18.1,-1.8,65.8,217.6,0.4,5.0,0.0,412,9.7,0,11.1,9.8,5.9,2019,11,9
314,472830A001,남양주 진건읍,2019-11-10,8.2,17.1,1.3,76.7,171.6,0.4,5.6,9.5,152,5.9,0,11.5,10.2,6.0,2019,11,10
315,472830A001,남양주 진건읍,2019-11-11,10.8,16.3,4.9,86.5,240.9,0.7,9.5,0.0,193,7.2,0,13.3,12.0,6.8,2019,11,11
316,472830A001,남양주 진건읍,2019-11-12,7.0,15.6,1.4,86.4,184.0,0.2,4.0,0.0,186,6.3,0,11.5,10.3,7.0,2019,11,12
317,472830A001,남양주 진건읍,2019-11-13,6.5,11.7,2.1,90.5,202.9,0.7,8.7,7.0,0,1.3,0,10.5,9.3,7.4,2019,11,13
318,472830A001,남양주 진건읍,2019-11-14,1.4,6.4,-2.7,46.0,206.7,1.0,9.1,0.0,411,10.1,0,8.3,7.0,8.5,2019,11,14
319,472830A001,남양주 진건읍,2019-11-15,4.9,7.3,-2.0,90.4,156.4,0.3,3.4,23.0,2,1.3,0,8.2,6.9,11.7,2019,11,15
320,472830A001,남양주 진건읍,2019-11-16,5.9,14.8,2.3,91.2,210.0,0.4,4.4,0.5,375,9.2,0,9.9,8.5,14.8,2019,11,16
321,472830A001,남양주 진건읍,2019-11-17,7.2,10.6,2.3,93.4,165.0,0.5,6.8,28.5,0,1.2,0,9.5,8.1,15.1,2019,11,17
322,472830A001,남양주 진건읍,2019-11-18,6.2,13.0,-1.1,68.4,253.2,1.7,12.9,12.5,350,8.7,0,10.1,8.7,16.0,2019,11,18
323,472830A001,남양주 진건읍,2019-11-19,0.2,5.5,-4.6,65.3,179.3,0.9,9.1,0.0,348,8.6,0,6.9,5.5,14.4,2019,11,19
324,472830A001,남양주 진건읍,2019-11-20,-1.1,7.8,-7.2,63.0,224.0,0.5,5.2,0.0,402,9.6,0,5.6,4.2,13.8,2019,11,20
325,472830A001,남양주 진건읍,2019-11-21,2.0,10.8,-5.6,64.1,169.2,0.3,4.9,0.0,192,6.1,0,5.7,4.4,13.6,2019,11,21
326,472830A001,남양주 진건읍,2019-11-22,6.8,18.1,-1.1,62.4,159.7,0.4,5.1,0.0,399,8.9,0,7.5,6.1,13.5,2019,11,22
327,472830A001,남양주 진건읍,2019-11-23,8.8,18.5,1.1,76.1,170.5,0.3,4.2,0.0,295,6.6,0,8.8,7.4,13.3,2019,11,23
328,472830A001,남양주 진건읍,2019-11-24,9.1,16.8,3.8,88.1,187.3,0.6,8.5,2.0,40,2.9,0,9.8,8.4,13.3,2019,11,24
329,472830A001,남양주 진건읍,2019-11-25,3.1,7.7,-0.9,74.3,221.0,0.9,6.3,0.0,298,6.2,0,8.5,7.1,13.5,2019,11,25
330,472830A001,남양주 진건읍,2019-11-26,5.6,14.7,-1.3,82.3,173.6,0.3,5.9,0.0,271,7.7,0,8.1,6.8,13.5,2019,11,26
331,472830A001,남양주 진건읍,2019-11-27,3.2,8.7,-1.9,69.7,170.9,0.7,7.6,0.0,336,7.9,0,7.6,6.2,13.2,2019,11,27
332,472830A001,남양주 진건읍,2019-11-28,3.4,12.3,-1.9,73.7,230.1,0.5,6.5,0.0,377,8.4,0,7.1,5.8,13.0,2019,11,28
333,472830A001,남양주 진건읍,2019-11-29,0.6,9.4,-5.0,68.0,234.7,0.5,6.9,0.0,393,8.6,0,6.0,4.7,12.7,2019,11,29
334,472830A001,남양주 진건읍,2019-11-30,2.8,11.1,-4.9,63.6,211.9,0.4,5.8,0.0,222,5.9,0,5.7,4.3,12.5,2019,11,30
