no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,5908340.0,남원시 운봉읍,2022-02-01,-2.3,-0.3,-3.9,79.0,250.4,2.8,9.6,0.5,115.0,6.8,987,,,24.1,2022,2,1
33,5908340.0,남원시 운봉읍,2022-02-02,-2.9,1.0,-6.3,69.9,247.6,2.1,8.1,0.5,358.0,11.6,0,,,24.1,2022,2,2
34,5908340.0,남원시 운봉읍,2022-02-03,-3.0,1.7,-6.5,55.8,244.1,2.0,7.4,0.0,537.0,16.0,0,,,24.1,2022,2,3
35,5908340.0,남원시 운봉읍,2022-02-04,-4.7,-0.3,-8.5,67.2,259.1,2.7,10.2,0.0,338.0,11.4,0,,,23.9,2022,2,4
36,5908340.0,남원시 운봉읍,2022-02-05,-6.7,-4.3,-9.6,75.4,259.7,3.0,17.2,0.5,292.0,13.0,507,,,23.7,2022,2,5
37,5908340.0,남원시 운봉읍,2022-02-06,-5.5,-2.1,-10.5,72.5,232.4,2.1,8.9,0.0,235.0,9.1,701,,,23.7,2022,2,6
38,5908340.0,남원시 운봉읍,2022-02-07,-3.7,0.2,-9.5,52.7,230.1,1.3,4.6,0.5,135.0,7.9,168,,,23.7,2022,2,7
39,5908340.0,남원시 운봉읍,2022-02-08,-2.7,3.7,-8.1,61.8,229.9,1.4,6.1,0.0,546.0,14.9,62,,,23.5,2022,2,8
40,5908340.0,남원시 운봉읍,2022-02-09,-1.8,6.2,-10.3,61.5,276.7,0.7,5.4,0.0,463.0,14.2,246,,,23.4,2022,2,9
41,5908340.0,남원시 운봉읍,2022-02-10,0.3,5.6,-6.0,54.6,266.8,1.3,10.9,0.0,569.0,16.4,2,,,23.4,2022,2,10
42,5908340.0,남원시 운봉읍,2022-02-11,-1.0,9.0,-9.5,56.6,310.2,0.6,5.4,0.0,571.0,17.0,83,,,23.8,2022,2,11
43,5908340.0,남원시 운봉읍,2022-02-12,1.8,10.9,-4.7,51.3,320.9,0.9,9.1,0.0,572.0,16.3,0,,,23.9,2022,2,12
44,5908340.0,남원시 운봉읍,2022-02-13,2.5,9.5,-3.1,59.5,32.8,1.1,6.5,0.0,349.0,12.1,0,,,24.1,2022,2,13
45,5908340.0,남원시 운봉읍,2022-02-14,1.4,8.2,-5.5,67.7,262.1,2.0,9.0,0.0,403.0,12.0,423,,,24.1,2022,2,14
46,5908340.0,남원시 운봉읍,2022-02-15,-4.6,-1.2,-8.5,78.9,258.1,3.5,11.1,0.0,199.0,10.0,789,,,24.1,2022,2,15
47,5908340.0,남원시 운봉읍,2022-02-16,-7.7,-5.0,-9.2,77.4,257.1,3.1,10.1,0.0,190.0,10.2,1238,,,24.3,2022,2,16
48,5908340.0,남원시 운봉읍,2022-02-17,-8.1,-1.9,-12.3,57.3,243.9,2.0,8.2,0.5,581.0,18.5,318,,,24.2,2022,2,17
49,5908340.0,남원시 운봉읍,2022-02-18,-3.8,5.3,-12.8,56.1,42.9,1.0,5.6,0.5,572.0,18.0,404,,,24.1,2022,2,18
50,5908340.0,남원시 운봉읍,2022-02-19,-1.1,2.9,-5.8,63.7,272.5,2.2,10.3,0.0,227.0,10.2,33,,,24.0,2022,2,19
51,5908340.0,남원시 운봉읍,2022-02-20,-6.4,-2.2,-8.9,56.4,267.0,3.7,16.6,0.0,573.0,19.5,0,,,24.0,2022,2,20
52,5908340.0,남원시 운봉읍,2022-02-21,-2.9,2.4,-8.0,63.1,249.4,2.9,10.8,0.5,426.0,15.0,475,,,23.9,2022,2,21
53,5908340.0,남원시 운봉읍,2022-02-22,-4.1,-0.2,-7.6,54.3,268.1,3.2,9.8,0.0,550.0,17.5,0,,,23.7,2022,2,22
54,5908340.0,남원시 운봉읍,2022-02-23,-5.9,-1.5,-8.9,52.4,256.7,2.3,7.0,0.0,481.0,17.2,5,,,23.6,2022,2,23
55,5908340.0,남원시 운봉읍,2022-02-24,-3.9,1.6,-10.1,56.3,233.7,2.4,11.8,0.0,528.0,18.6,0,,,23.4,2022,2,24
56,5908340.0,남원시 운봉읍,2022-02-25,-0.3,7.3,-5.9,63.4,230.7,2.0,8.0,0.0,551.0,17.6,102,,,23.2,2022,2,25
57,5908340.0,남원시 운봉읍,2022-02-26,2.8,9.7,-5.9,64.3,238.5,2.9,13.5,2.0,526.0,17.8,633,,,23.2,2022,2,26
58,5908340.0,남원시 운봉읍,2022-02-27,1.5,8.1,-3.3,50.1,244.4,2.2,9.9,0.0,616.0,20.8,0,,,23.3,2022,2,27
59,5908340.0,남원시 운봉읍,2022-02-28,2.6,13.0,-7.9,47.7,225.5,1.0,5.6,0.0,475.0,15.0,1,,,23.5,2022,2,28
