no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,590823A001,남원시 이백면,2015-07-01,22.1,27.8,18.4,82.2,258.5,1.1,6.3,1.0,309.0,18.2,355.0,23.5,24.3,22.0,2015,7,1
183,590823A001,남원시 이백면,2015-07-02,22.0,28.4,15.0,73.7,250.1,1.0,4.6,0.0,674.0,26.7,0.0,23.6,24.8,21.1,2015,7,2
184,590823A001,남원시 이백면,2015-07-03,22.4,27.6,16.1,73.0,282.6,1.1,5.8,0.0,510.0,22.3,0.0,24.0,25.6,20.6,2015,7,3
185,590823A001,남원시 이백면,2015-07-04,20.6,27.1,14.0,73.7,195.7,1.2,7.1,0.0,401.0,22.3,0.0,22.1,24.9,20.1,2015,7,4
186,590823A001,남원시 이백면,2015-07-05,22.4,27.7,17.2,77.3,200.7,1.0,5.9,0.0,425.0,20.0,0.0,24.0,25.2,19.7,2015,7,5
187,590823A001,남원시 이백면,2015-07-06,22.3,26.4,18.0,82.4,200.8,0.7,3.8,0.0,225.0,15.6,0.0,23.7,25.2,19.4,2015,7,6
188,590823A001,남원시 이백면,2015-07-07,20.0,22.8,17.6,87.1,34.3,1.8,9.9,21.5,0.0,6.9,338.0,20.5,24.3,20.5,2015,7,7
189,590823A001,남원시 이백면,2015-07-08,21.4,24.7,19.0,89.1,51.8,1.6,6.4,14.0,39.0,8.4,509.0,21.7,23.4,23.3,2015,7,8
190,590823A001,남원시 이백면,2015-07-09,23.6,28.4,20.6,84.6,40.4,2.0,8.4,24.0,274.0,15.5,0.0,24.9,24.1,25.5,2015,7,9
191,590823A001,남원시 이백면,2015-07-10,26.6,32.7,20.4,75.4,53.6,1.5,7.0,0.0,702.0,26.5,0.0,28.5,25.8,22.5,2015,7,10
192,590823A001,남원시 이백면,2015-07-11,25.7,31.7,22.5,85.1,71.2,1.2,7.7,7.5,196.0,11.5,114.0,26.5,26.7,22.0,2015,7,11
193,590823A001,남원시 이백면,2015-07-12,24.9,28.1,23.1,87.4,147.1,2.2,15.6,33.0,3.0,6.1,108.0,24.4,26.0,25.0,2015,7,12
194,590823A001,남원시 이백면,2015-07-13,24.0,26.9,22.7,82.9,191.7,2.0,10.1,0.5,86.0,8.1,168.0,24.2,25.1,23.3,2015,7,13
195,590823A001,남원시 이백면,2015-07-14,25.2,31.7,20.7,81.7,251.8,0.9,5.6,6.5,523.0,23.2,248.0,26.8,26.1,22.3,2015,7,14
196,590823A001,남원시 이백면,2015-07-15,25.6,31.0,21.8,84.4,230.9,0.5,5.5,0.0,455.0,18.5,517.0,27.2,27.1,22.3,2015,7,15
197,590823A001,남원시 이백면,2015-07-16,24.7,28.5,22.1,63.7,26.7,2.8,9.0,0.0,721.0,23.4,0.0,26.0,26.7,21.7,2015,7,16
198,590823A001,남원시 이백면,2015-07-17,23.0,27.6,18.8,66.6,13.5,1.8,7.3,0.0,218.0,13.9,0.0,24.2,25.8,21.2,2015,7,17
199,590823A001,남원시 이백면,2015-07-18,23.7,28.7,19.6,81.6,207.0,0.7,4.4,0.0,258.0,16.2,0.0,25.3,26.0,20.9,2015,7,18
200,590823A001,남원시 이백면,2015-07-19,25.8,32.1,19.6,78.4,28.1,0.8,5.8,0.0,541.0,21.5,0.0,27.6,26.7,20.6,2015,7,19
201,590823A001,남원시 이백면,2015-07-20,26.4,30.7,23.9,80.4,36.9,1.5,6.4,0.0,204.0,14.2,29.0,27.9,27.3,20.2,2015,7,20
202,590823A001,남원시 이백면,2015-07-21,25.4,28.3,23.5,92.1,63.1,0.5,4.0,3.5,40.0,9.8,730.0,26.8,27.2,20.2,2015,7,21
203,590823A001,남원시 이백면,2015-07-22,26.6,32.1,23.8,84.1,188.8,0.9,7.3,0.5,437.0,19.9,494.0,28.4,27.7,20.4,2015,7,22
204,590823A001,남원시 이백면,2015-07-23,25.5,27.6,23.8,89.2,162.8,0.8,5.4,12.5,3.0,5.5,456.0,26.0,27.3,21.2,2015,7,23
205,590823A001,남원시 이백면,2015-07-24,26.5,27.3,25.5,82.1,193.1,1.8,7.2,0.0,0.0,5.2,102.0,26.6,26.7,21.4,2015,7,24
206,590823A001,남원시 이백면,2015-07-25,27.2,30.1,22.6,75.5,192.4,2.0,8.5,0.0,621.0,24.4,0.0,28.5,27.1,20.9,2015,7,25
207,590823A001,남원시 이백면,2015-07-26,27.2,33.5,20.1,76.0,292.6,1.1,5.1,0.0,736.0,28.6,1.0,28.9,27.8,20.3,2015,7,26
208,590823A001,남원시 이백면,2015-07-27,26.1,30.4,22.6,86.3,243.1,0.7,4.7,6.0,307.0,14.3,355.0,27.5,28.2,19.8,2015,7,27
209,590823A001,남원시 이백면,2015-07-28,26.2,30.8,23.3,89.4,218.7,0.7,5.5,0.5,153.0,12.3,611.0,27.3,28.1,20.5,2015,7,28
210,590823A001,남원시 이백면,2015-07-29,27.5,33.4,22.7,84.5,238.1,0.9,5.2,0.5,480.0,20.1,0.0,29.0,28.3,20.2,2015,7,29
211,590823A001,남원시 이백면,2015-07-30,28.5,34.5,23.3,81.5,213.3,0.7,4.7,0.0,579.0,22.3,0.0,30.2,29.0,19.7,2015,7,30
212,590823A001,남원시 이백면,2015-07-31,28.1,33.5,23.5,81.1,245.6,1.0,5.8,0.0,641.0,25.7,0.0,29.9,29.7,19.1,2015,7,31
