no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,320862A001,논산시 광석면,2022-12-01,-2.5,1.8,-5.9,51.3,230.4,1.2,7.2,0.0,,11.4,0,-1.8,5.5,,2022,12,1
336,320862A001,논산시 광석면,2022-12-02,-1.7,4.4,-6.1,69.7,234.4,0.5,5.1,0.0,,12.4,1,-1.2,5.1,,2022,12,2
337,320862A001,논산시 광석면,2022-12-03,2.4,7.2,-2.4,81.9,207.9,0.2,3.7,0.0,,4.0,580,2.3,5.7,,2022,12,3
338,320862A001,논산시 광석면,2022-12-04,-0.3,4.2,-3.2,50.4,184.8,2.1,8.3,0.0,,5.5,0,-0.4,5.4,,2022,12,4
339,320862A001,논산시 광석면,2022-12-05,-1.9,3.7,-6.6,51.0,179.4,1.1,6.9,0.0,,10.4,0,-1.7,4.4,,2022,12,5
340,320862A001,논산시 광석면,2022-12-06,-0.7,5.5,-6.8,81.7,92.1,0.4,4.1,0.0,,7.2,664,-0.3,4.0,,2022,12,6
341,320862A001,논산시 광석면,2022-12-07,2.0,10.3,-2.8,82.9,90.4,1.2,9.2,0.0,,7.7,614,1.5,4.8,,2022,12,7
342,320862A001,논산시 광석면,2022-12-08,1.7,11.2,-4.0,81.7,74.7,0.5,3.6,0.0,,11.2,706,1.8,4.9,,2022,12,8
343,320862A001,논산시 광석면,2022-12-09,2.4,12.4,-3.2,82.6,91.6,0.5,3.8,0.0,,8.8,804,2.4,5.1,,2022,12,9
344,320862A001,논산시 광석면,2022-12-10,0.9,6.7,-4.6,81.2,194.2,0.5,4.2,0.0,,5.5,656,0.5,4.7,,2022,12,10
345,320862A001,논산시 광석면,2022-12-11,0.6,9.0,-4.8,72.2,158.9,0.6,5.7,0.0,,11.1,496,0.7,4.6,,2022,12,11
346,320862A001,논산시 광석면,2022-12-12,0.4,6.4,-6.6,79.1,60.3,0.8,4.9,1.0,,7.5,522,0.6,3.9,,2022,12,12
347,320862A001,논산시 광석면,2022-12-13,2.0,5.9,-1.4,85.8,111.3,3.4,16.2,2.0,,5.3,1250,1.6,4.7,,2022,12,13
348,320862A001,논산시 광석면,2022-12-14,-6.0,-1.1,-9.8,75.8,200.5,1.9,7.7,0.5,,11.5,999,-5.3,3.4,,2022,12,14
349,320862A001,논산시 광석면,2022-12-15,-2.3,5.2,-9.4,83.8,79.6,1.6,9.9,3.5,,8.7,1005,-1.7,2.6,,2022,12,15
350,320862A001,논산시 광석면,2022-12-16,-3.1,-0.5,-5.7,61.8,180.2,1.5,5.1,0.0,,7.8,250,-2.7,2.8,,2022,12,16
351,320862A001,논산시 광석면,2022-12-17,-6.3,-2.2,-13.4,82.6,176.3,1.0,7.0,0.5,,6.0,314,-6.7,2.2,,2022,12,17
352,320862A001,논산시 광석면,2022-12-18,-9.0,-3.9,-13.4,71.4,197.6,0.4,4.9,0.0,,11.3,192,-8.5,1.9,,2022,12,18
353,320862A001,논산시 광석면,2022-12-19,-6.1,1.7,-13.8,72.5,217.1,0.0,3.1,1.0,,11.3,69,-5.5,1.6,,2022,12,19
354,320862A001,논산시 광석면,2022-12-20,-2.5,5.4,-9.1,73.1,268.0,0.1,3.9,0.0,,11.3,13,-2.0,1.6,,2022,12,20
355,320862A001,논산시 광석면,2022-12-21,0.3,2.5,-1.9,94.6,169.1,0.2,3.8,5.5,,2.1,1156,0.1,2.3,,2022,12,21
356,320862A001,논산시 광석면,2022-12-22,-3.8,0.3,-10.3,83.9,164.5,2.2,10.0,0.0,,7.4,637,-3.7,2.3,,2022,12,22
357,320862A001,논산시 광석면,2022-12-23,-7.0,-4.4,-11.0,73.2,151.0,3.0,10.2,0.0,,8.5,20,-6.7,1.6,,2022,12,23
358,320862A001,논산시 광석면,2022-12-24,-8.1,-2.9,-12.6,67.8,208.9,0.6,5.5,0.5,,11.8,0,-7.2,1.2,,2022,12,24
359,320862A001,논산시 광석면,2022-12-25,-5.7,2.2,-12.1,83.7,58.6,0.3,4.7,0.5,,10.6,99,-5.2,1.0,,2022,12,25
360,320862A001,논산시 광석면,2022-12-26,-4.0,2.8,-9.3,84.6,,0.0,1.2,0.0,,8.5,117,-3.8,0.9,,2022,12,26
361,320862A001,논산시 광석면,2022-12-27,-2.9,5.3,-8.8,81.5,227.9,0.0,3.5,0.0,,11.0,182,-2.5,0.9,,2022,12,27
362,320862A001,논산시 광석면,2022-12-28,-2.0,3.2,-6.2,80.1,177.8,0.5,5.6,0.0,,9.0,326,-1.9,0.9,,2022,12,28
363,320862A001,논산시 광석면,2022-12-29,-3.5,2.2,-8.3,80.0,185.1,0.3,5.5,0.0,,8.3,316,-3.3,0.9,,2022,12,29
364,320862A001,논산시 광석면,2022-12-30,-0.7,4.3,-4.6,78.8,184.2,0.3,4.0,0.0,,7.3,235,-0.2,1.0,,2022,12,30
365,320862A001,논산시 광석면,2022-12-31,-0.6,5.7,-4.0,75.9,72.1,0.2,3.7,0.0,,8.0,258,-0.5,1.2,,2022,12,31
