no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,343808A001,당진시 당진읍,2014-03-01,3.7,7.4,-0.2,36.0,254.8,0.9,8.2,0.0,70.0,,,,,,2014,3,1
61,343808A001,당진시 당진읍,2014-03-02,2.5,8.5,-2.3,32.7,224.1,1.4,12.8,0.0,606.0,,,,,,2014,3,2
62,343808A001,당진시 당진읍,2014-03-03,2.4,11.1,-4.8,30.6,131.2,0.7,9.1,0.0,601.0,,,,,,2014,3,3
63,343808A001,당진시 당진읍,2014-03-04,3.9,11.3,-2.5,32.3,271.8,1.4,11.7,0.0,341.0,,,,,,2014,3,4
64,343808A001,당진시 당진읍,2014-03-05,1.6,4.0,-0.5,25.9,257.6,4.0,20.5,0.0,593.0,,,,,,2014,3,5
65,343808A001,당진시 당진읍,2014-03-06,0.6,5.4,-5.6,25.3,271.0,2.1,16.9,0.0,511.0,,,,,,2014,3,6
66,343808A001,당진시 당진읍,2014-03-07,-0.8,3.8,-6.4,23.0,230.3,2.0,13.0,0.0,605.0,,,,,,2014,3,7
67,343808A001,당진시 당진읍,2014-03-08,1.2,6.3,-4.6,31.0,261.2,1.3,12.3,0.0,526.0,,,,,,2014,3,8
68,343808A001,당진시 당진읍,2014-03-09,1.8,3.9,-0.9,33.2,268.1,3.3,18.0,5.0,438.0,,,,,,2014,3,9
69,343808A001,당진시 당진읍,2014-03-10,0.6,6.5,-5.8,29.6,264.1,1.4,11.2,0.0,632.0,,,,,,2014,3,10
70,343808A001,당진시 당진읍,2014-03-11,2.9,10.0,-4.1,33.5,218.0,1.7,14.6,0.0,591.0,,,,,,2014,3,11
71,343808A001,당진시 당진읍,2014-03-12,4.0,6.4,0.2,43.9,121.4,0.8,8.9,14.0,12.0,,,,,,2014,3,12
72,343808A001,당진시 당진읍,2014-03-13,4.6,6.1,0.8,37.8,122.8,1.4,11.0,0.0,0.0,,,,,,2014,3,13
73,343808A001,당진시 당진읍,2014-03-14,2.5,7.9,-3.1,35.6,270.4,1.7,16.9,0.0,592.0,,,,,,2014,3,14
74,343808A001,당진시 당진읍,2014-03-15,5.9,11.8,-1.3,37.3,218.2,3.3,17.7,0.0,595.0,,,,,,2014,3,15
75,343808A001,당진시 당진읍,2014-03-16,10.1,14.4,7.1,37.5,220.1,3.4,20.1,0.0,567.0,,,,,,2014,3,16
76,343808A001,당진시 당진읍,2014-03-17,11.5,19.5,2.4,40.8,218.9,2.8,26.6,0.0,296.0,,,,,,2014,3,17
77,343808A001,당진시 당진읍,2014-03-18,9.1,13.3,4.3,39.6,249.6,2.2,14.8,0.0,397.0,,,,,,2014,3,18
78,343808A001,당진시 당진읍,2014-03-19,7.2,10.8,3.5,39.1,181.3,0.9,6.4,0.0,0.0,,,,,,2014,3,19
79,343808A001,당진시 당진읍,2014-03-20,5.8,9.8,1.5,36.6,281.4,2.9,21.2,0.5,509.0,,,,,,2014,3,20
80,343808A001,당진시 당진읍,2014-03-21,4.9,10.1,0.2,29.4,247.2,2.5,15.2,0.0,659.0,,,,,,2014,3,21
81,343808A001,당진시 당진읍,2014-03-22,7.2,13.6,-1.3,35.3,218.6,2.5,15.9,0.0,638.0,,,,,,2014,3,22
82,343808A001,당진시 당진읍,2014-03-23,8.4,15.8,0.3,35.0,205.4,1.9,13.8,0.0,621.0,,,,,,2014,3,23
83,343808A001,당진시 당진읍,2014-03-24,8.6,15.0,-0.7,34.2,225.2,2.1,13.8,0.0,440.0,,,,,,2014,3,24
84,343808A001,당진시 당진읍,2014-03-25,13.6,16.9,11.0,40.0,231.8,1.8,13.0,2.0,12.0,,,,,,2014,3,25
85,343808A001,당진시 당진읍,2014-03-26,12.8,18.3,7.3,40.9,263.9,1.2,12.2,2.5,420.0,,,,,,2014,3,26
86,343808A001,당진시 당진읍,2014-03-27,9.8,18.3,4.6,39.1,205.1,0.9,8.2,0.0,554.0,,,,,,2014,3,27
87,343808A001,당진시 당진읍,2014-03-28,15.4,23.3,7.7,30.5,223.8,1.9,12.5,0.0,517.0,,,,,,2014,3,28
88,343808A001,당진시 당진읍,2014-03-29,13.9,16.0,12.0,39.6,130.4,1.4,8.3,2.5,0.0,,,,,,2014,3,29
89,343808A001,당진시 당진읍,2014-03-30,12.5,17.5,7.1,37.0,238.6,2.2,13.0,1.0,623.0,,,,,,2014,3,30
90,343808A001,당진시 당진읍,2014-03-31,11.6,19.5,3.9,29.2,244.1,0.9,9.5,0.0,581.0,,,,,,2014,3,31
