no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,041404B001,대구시 북구,2016-12-01,8.0,12.2,2.8,42.6,271.3,2.6,11.5,0.0,479,10.2,534,,8.2,,2016,12,1
336,041404B001,대구시 북구,2016-12-02,3.7,10.8,-3.6,47.6,271.1,1.0,6.5,0.0,510,12.4,0,,6.7,,2016,12,2
337,041404B001,대구시 북구,2016-12-03,3.5,12.7,-3.2,60.0,167.2,0.4,3.2,0.0,431,10.6,0,,6.5,,2016,12,3
338,041404B001,대구시 북구,2016-12-04,3.4,9.1,-0.4,75.4,193.5,0.5,4.1,0.0,40,4.1,64,,6.4,,2016,12,4
339,041404B001,대구시 북구,2016-12-05,6.8,15.3,-1.5,70.7,282.2,1.1,10.1,0.0,442,8.3,408,,6.6,,2016,12,5
340,041404B001,대구시 북구,2016-12-06,3.9,8.1,0.5,44.1,273.2,2.3,9.1,0.0,339,9.5,0,,6.7,,2016,12,6
341,041404B001,대구시 북구,2016-12-07,1.8,5.6,-5.8,65.9,256.9,0.4,2.6,0.0,133,4.5,0,,5.1,,2016,12,7
342,041404B001,대구시 북구,2016-12-08,2.7,10.2,-4.0,69.8,180.1,0.6,4.4,0.0,469,10.5,23,,5.0,,2016,12,8
343,041404B001,대구시 북구,2016-12-09,5.7,9.9,-0.6,57.3,270.7,1.5,9.0,0.0,500,10.4,110,,6.1,,2016,12,9
344,041404B001,대구시 북구,2016-12-10,2.0,8.5,-3.6,42.7,260.5,1.0,6.2,0.0,510,11.8,0,,5.2,,2016,12,10
345,041404B001,대구시 북구,2016-12-11,0.0,8.7,-5.4,50.0,211.1,0.6,4.2,0.0,511,11.4,0,,4.4,,2016,12,11
346,041404B001,대구시 북구,2016-12-12,2.9,9.8,-3.6,58.8,161.3,0.4,2.7,0.0,272,7.5,0,,4.5,,2016,12,12
347,041404B001,대구시 북구,2016-12-13,5.9,10.7,0.8,69.0,267.8,0.7,4.4,0.0,163,5.4,0,,5.6,,2016,12,13
348,041404B001,대구시 북구,2016-12-14,3.5,5.8,0.7,67.9,270.2,1.7,5.6,0.0,50,2.9,0,,5.5,,2016,12,14
349,041404B001,대구시 북구,2016-12-15,0.8,3.7,-3.0,47.6,282.7,2.4,10.0,0.0,506,11.4,0,,4.8,,2016,12,15
350,041404B001,대구시 북구,2016-12-16,-1.3,3.4,-5.1,38.7,273.4,1.7,8.7,0.0,512,11.8,0,,3.3,,2016,12,16
351,041404B001,대구시 북구,2016-12-17,2.6,11.2,-4.0,63.6,216.6,0.8,5.5,0.0,473,10.6,0,,3.6,,2016,12,17
352,041404B001,대구시 북구,2016-12-18,2.7,10.5,-4.1,74.3,220.5,0.6,4.0,0.0,472,9.6,40,,4.1,,2016,12,18
353,041404B001,대구시 북구,2016-12-19,3.6,4.3,2.4,77.9,233.9,0.2,2.1,0.0,0,0.0,68,,4.7,,2016,12,19
355,041404B001,대구시 북구,2016-12-21,8.0,9.1,2.1,96.2,190.6,0.3,2.5,15.0,0,2.7,1273,,7.0,,2016,12,21
356,041404B001,대구시 북구,2016-12-22,11.0,16.1,5.7,75.9,271.1,1.7,10.6,8.5,99,4.4,458,,8.3,,2016,12,22
357,041404B001,대구시 북구,2016-12-23,3.3,5.8,0.4,63.5,275.3,2.1,9.4,0.0,97,3.9,0,,6.9,,2016,12,23
358,041404B001,대구시 북구,2016-12-24,0.7,4.4,-2.2,65.2,273.7,1.1,5.8,0.0,346,7.6,0,,5.2,,2016,12,24
359,041404B001,대구시 북구,2016-12-25,2.8,10.3,-3.0,77.4,173.9,0.4,2.7,0.0,429,9.2,2,,5.0,,2016,12,25
360,041404B001,대구시 북구,2016-12-26,4.9,6.3,3.6,90.1,274.9,0.7,5.9,12.0,0,1.6,883,,5.8,,2016,12,26
361,041404B001,대구시 북구,2016-12-27,2.9,5.7,-2.2,58.5,279.7,2.2,11.9,0.0,308,8.1,116,,5.5,,2016,12,27
362,041404B001,대구시 북구,2016-12-28,-0.8,6.7,-5.9,56.3,234.2,0.7,4.1,0.0,512,11.5,0,,3.9,,2016,12,28
363,041404B001,대구시 북구,2016-12-29,-0.4,2.8,-4.7,47.2,272.0,1.7,8.2,0.0,427,10.6,0,,3.2,,2016,12,29
364,041404B001,대구시 북구,2016-12-30,-1.4,5.3,-6.9,54.5,273.5,1.0,6.6,0.0,498,11.6,0,,2.4,,2016,12,30
365,041404B001,대구시 북구,2016-12-31,0.8,6.8,-4.2,75.2,256.8,0.7,6.4,0.0,254,7.4,29,,2.4,,2016,12,31
