no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,240813A001,동해시 북평동,2020-02-01,4.7,11.8,0.4,62.4,202.1,1.2,5.5,0.0,471.0,12.9,0,3.8,5.4,31.2,2020,2,1
33,240813A001,동해시 북평동,2020-02-02,4.6,11.0,0.3,61.3,161.6,0.9,4.5,0.0,456.0,11.1,0,3.1,5.0,30.5,2020,2,2
34,240813A001,동해시 북평동,2020-02-03,4.3,9.4,-1.7,41.4,260.1,1.2,7.8,0.0,469.0,13.9,0,3.1,4.9,29.9,2020,2,3
35,240813A001,동해시 북평동,2020-02-04,3.2,8.8,-3.9,42.3,197.4,1.2,6.4,0.0,492.0,14.1,0,2.5,4.0,29.5,2020,2,4
36,240813A001,동해시 북평동,2020-02-05,0.0,4.6,-4.0,33.7,333.2,1.8,7.8,0.0,471.0,15.1,0,0.4,3.7,29.1,2020,2,5
37,240813A001,동해시 북평동,2020-02-06,-1.3,4.6,-5.5,63.5,204.1,1.5,6.2,0.0,431.0,12.9,0,-1.1,2.8,28.7,2020,2,6
38,240813A001,동해시 북평동,2020-02-07,2.1,9.5,-4.2,52.0,204.5,1.2,5.3,0.0,477.0,13.2,0,1.6,3.0,28.4,2020,2,7
39,240813A001,동해시 북평동,2020-02-08,2.9,7.2,0.1,59.4,314.1,1.6,8.5,0.0,496.0,14.5,0,3.3,3.4,28.1,2020,2,8
40,240813A001,동해시 북평동,2020-02-09,2.6,8.6,-3.7,66.0,172.8,0.7,9.4,13.0,468.0,13.0,351,1.5,3.8,28.6,2020,2,9
41,240813A001,동해시 북평동,2020-02-10,4.8,10.1,-0.1,55.6,206.5,1.7,7.8,0.0,510.0,14.7,0,4.6,3.7,31.7,2020,2,10
42,240813A001,동해시 북평동,2020-02-11,6.9,15.1,0.5,56.5,186.2,1.4,4.7,0.0,527.0,14.5,0,7.0,4.4,31.6,2020,2,11
43,240813A001,동해시 북평동,2020-02-12,8.6,11.2,6.0,76.4,207.8,0.5,3.4,4.0,116.0,3.2,746,6.8,5.8,31.4,2020,2,12
44,240813A001,동해시 북평동,2020-02-13,10.1,18.0,4.9,82.9,76.9,0.9,5.5,0.5,565.0,15.4,671,9.8,7.0,31.6,2020,2,13
45,240813A001,동해시 북평동,2020-02-14,10.3,15.6,6.1,68.3,64.3,1.2,5.7,0.0,498.0,14.0,0,10.4,7.6,30.7,2020,2,14
46,240813A001,동해시 북평동,2020-02-15,11.3,15.4,8.0,79.9,86.1,1.4,8.8,0.0,351.0,9.6,0,11.0,8.9,30.0,2020,2,15
47,240813A001,동해시 북평동,2020-02-16,5.5,9.1,0.5,67.3,226.9,2.2,13.4,4.5,279.0,12.0,501,5.7,8.8,30.9,2020,2,16
48,240813A001,동해시 북평동,2020-02-17,0.0,3.3,-2.5,45.2,213.0,3.3,9.8,0.0,353.0,13.7,0,-0.2,5.4,30.6,2020,2,17
49,240813A001,동해시 북평동,2020-02-18,0.9,6.8,-4.6,49.0,167.2,1.4,6.2,0.0,545.0,17.0,0,1.6,4.2,30.0,2020,2,18
50,240813A001,동해시 북평동,2020-02-19,4.7,9.6,0.3,50.3,128.1,1.3,5.2,0.0,515.0,16.0,0,4.9,4.7,29.4,2020,2,19
51,240813A001,동해시 북평동,2020-02-20,6.1,11.5,1.4,56.7,175.5,1.4,4.5,0.0,490.0,15.3,0,6.3,5.7,28.9,2020,2,20
52,240813A001,동해시 북평동,2020-02-21,8.7,16.6,2.6,51.3,195.1,1.2,5.3,0.0,381.0,7.8,0,7.3,6.3,28.5,2020,2,21
53,240813A001,동해시 북평동,2020-02-22,8.4,10.8,4.5,46.3,219.5,2.2,11.5,0.0,545.0,15.4,0,7.8,7.1,28.0,2020,2,22
54,240813A001,동해시 북평동,2020-02-23,6.6,13.0,0.6,33.6,222.0,1.2,5.8,0.0,529.0,18.0,0,5.8,6.3,27.6,2020,2,23
55,240813A001,동해시 북평동,2020-02-24,9.0,16.0,1.5,45.6,91.3,1.1,5.7,0.0,438.0,13.8,0,7.7,6.5,27.1,2020,2,24
56,240813A001,동해시 북평동,2020-02-25,7.1,12.0,4.2,83.6,224.5,1.6,6.9,33.5,0.0,1.2,674,5.5,7.1,31.2,2020,2,25
57,240813A001,동해시 북평동,2020-02-26,5.5,7.4,3.0,93.1,271.0,0.8,4.2,14.5,0.0,2.0,1109,4.6,7.1,33.7,2020,2,26
58,240813A001,동해시 북평동,2020-02-27,4.7,9.7,1.5,82.3,191.6,1.3,4.2,1.5,368.0,11.4,655,4.9,7.0,32.7,2020,2,27
59,240813A001,동해시 북평동,2020-02-28,5.6,9.9,0.8,80.3,180.9,0.9,4.5,0.0,122.0,5.1,0,4.2,6.7,31.3,2020,2,28
