no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,534844A001,무안군 현경면,2020-01-01,-0.1,4.7,-4.7,66.4,77.8,1.3,8.2,0.0,125.0,6.3,1439,,,27.9,2020
2,534844A001,무안군 현경면,2020-01-02,2.7,7.9,-1.8,74.2,220.2,0.7,5.2,0.0,420.0,10.2,1439,,,27.5,2020
3,534844A001,무안군 현경면,2020-01-03,4.3,8.7,0.0,75.9,359.5,1.2,7.0,0.0,356.0,9.1,1439,,,27.2,2020
4,534844A001,무안군 현경면,2020-01-04,3.3,9.1,-1.6,81.2,173.9,0.9,6.8,0.0,443.0,10.5,1375,,,26.9,2020
5,534844A001,무안군 현경면,2020-01-05,4.4,10.1,-1.1,61.6,68.7,1.0,4.9,0.0,368.0,10.5,1439,,,26.7,2020
6,534844A001,무안군 현경면,2020-01-06,8.2,10.0,5.1,73.5,169.2,2.4,14.6,5.5,0.0,1.8,887,,,26.5,2020
7,534844A001,무안군 현경면,2020-01-07,13.9,17.8,8.7,93.9,174.9,3.3,13.2,23.0,0.0,1.1,695,,,32.1,2020
8,534844A001,무안군 현경면,2020-01-08,5.2,8.7,4.2,79.4,261.2,3.4,10.8,1.5,0.0,0.8,1370,,,31.1,2020
9,534844A001,무안군 현경면,2020-01-09,3.8,6.2,0.8,69.5,106.1,2.7,10.2,0.0,318.0,8.8,1439,,,29.7,2020
10,534844A001,무안군 현경면,2020-01-10,1.9,6.7,-2.7,72.0,37.4,2.0,6.8,0.0,471.0,12.1,1439,,,29.2,2020
11,534844A001,무안군 현경면,2020-01-11,3.7,8.6,0.1,67.2,66.7,2.0,8.0,0.0,352.0,9.9,1439,,,28.9,2020
12,534844A001,무안군 현경면,2020-01-12,3.8,5.3,2.3,66.5,167.5,2.5,8.5,0.0,1.0,3.7,1439,,,28.7,2020
13,534844A001,무안군 현경면,2020-01-13,2.9,5.5,0.3,65.9,170.2,2.4,8.9,0.0,315.0,10.3,1439,,,28.5,2020
14,534844A001,무안군 현경면,2020-01-14,1.7,6.1,-0.7,63.9,97.8,1.5,6.7,0.0,301.0,8.8,1439,,,28.3,2020
15,534844A001,무안군 현경면,2020-01-15,0.8,5.6,-2.0,70.4,92.0,1.4,8.7,0.0,238.0,9.3,1439,,,28.1,2020
16,534844A001,무안군 현경면,2020-01-16,1.5,6.3,-2.1,59.8,61.8,2.2,7.8,0.0,418.0,11.6,1439,,,28.0,2020
17,534844A001,무안군 현경면,2020-01-17,1.8,6.1,-1.5,57.3,44.7,2.2,9.4,0.0,463.0,11.6,1439,,,27.8,2020
18,534844A001,무안군 현경면,2020-01-18,2.4,7.1,-2.6,64.2,86.2,1.9,9.4,0.0,482.0,13.3,1439,,,27.6,2020
19,534844A001,무안군 현경면,2020-01-19,3.6,8.0,0.7,75.7,136.0,0.7,5.7,0.0,19.0,4.3,1439,,,27.5,2020
20,534844A001,무안군 현경면,2020-01-20,4.4,8.2,1.8,63.9,163.6,1.8,8.1,0.0,440.0,12.3,1439,,,27.2,2020
21,534844A001,무안군 현경면,2020-01-21,2.2,8.4,-3.9,56.4,70.9,1.5,6.0,0.0,496.0,14.0,1439,,,26.9,2020
22,534844A001,무안군 현경면,2020-01-22,6.1,7.5,4.8,79.2,90.7,1.5,11.2,6.0,0.0,1.2,838,,,26.8,2020
23,534844A001,무안군 현경면,2020-01-23,5.9,9.2,2.8,80.8,51.8,2.3,8.7,0.5,384.0,11.5,1439,,,27.3,2020
24,534844A001,무안군 현경면,2020-01-24,5.1,9.5,2.1,75.2,48.5,2.6,7.9,0.0,401.0,11.9,1439,,,27.9,2020
25,534844A001,무안군 현경면,2020-01-25,5.5,8.0,3.1,76.4,45.2,1.3,6.5,0.0,0.0,4.4,1439,,,27.9,2020
26,534844A001,무안군 현경면,2020-01-26,6.7,9.9,2.3,76.3,56.4,1.2,4.5,0.0,81.0,7.0,1439,,,27.9,2020
27,534844A001,무안군 현경면,2020-01-27,5.4,8.2,3.9,90.3,46.5,3.0,10.0,9.0,0.0,1.7,1416,,,29.9,2020
28,534844A001,무안군 현경면,2020-01-28,5.5,9.4,3.3,87.2,44.4,1.5,8.4,0.0,163.0,8.4,1439,,,30.8,2020
29,534844A001,무안군 현경면,2020-01-29,6.3,9.7,4.8,86.5,195.8,1.1,6.4,0.0,22.0,6.3,1439,,,29.9,2020
30,534844A001,무안군 현경면,2020-01-30,5.8,8.6,3.1,76.2,201.5,2.0,7.7,0.0,302.0,10.0,1439,,,29.4,2020
31,534844A001,무안군 현경면,2020-01-31,4.2,7.0,0.6,70.1,211.0,1.7,7.2,0.5,98.0,6.7,1348,,,29.1,2020
32,534844A001,무안군 현경면,2020-02-01,4.0,9.8,-1.1,79.4,196.1,0.8,4.9,0.0,380.0,10.9,1439,,,28.9,2020
33,534844A001,무안군 현경면,2020-02-02,3.4,7.4,0.2,73.4,265.6,1.0,6.0,0.0,470.0,12.7,1439,,,28.7,2020
34,534844A001,무안군 현경면,2020-02-03,2.1,6.4,-0.9,76.3,85.3,1.8,9.2,0.0,274.0,11.0,1289,,,28.5,2020
35,534844A001,무안군 현경면,2020-02-04,0.9,6.4,-3.7,67.8,76.6,1.2,5.7,0.0,517.0,15.4,1439,,,28.4,2020
36,534844A001,무안군 현경면,2020-02-05,-1.6,1.7,-4.8,64.8,98.4,3.9,11.6,0.0,486.0,16.3,1394,,,28.3,2020
37,534844A001,무안군 현경면,2020-02-06,-3.5,0.9,-8.0,57.7,68.6,2.2,7.7,0.0,351.0,11.5,1439,,,28.3,2020
38,534844A001,무안군 현경면,2020-02-07,0.3,4.6,-4.6,54.8,75.9,1.8,7.5,0.0,462.0,12.1,1439,,,28.3,2020
39,534844A001,무안군 현경면,2020-02-08,2.7,6.5,-0.7,70.2,115.6,2.5,10.7,0.0,371.0,12.0,1439,,,28.1,2020
40,534844A001,무안군 현경면,2020-02-09,2.1,6.0,-1.3,66.8,123.3,1.3,6.3,0.0,479.0,14.1,1439,,,28.0,2020
41,534844A001,무안군 현경면,2020-02-10,5.1,12.2,-1.1,76.3,137.4,0.8,5.0,0.0,455.0,13.1,1356,,,27.8,2020
42,534844A001,무안군 현경면,2020-02-11,7.8,14.4,0.2,53.7,180.7,1.5,7.4,0.0,243.0,10.0,1439,,,27.6,2020
43,534844A001,무안군 현경면,2020-02-12,9.7,12.7,8.1,91.3,218.7,2.0,9.1,2.5,0.0,1.8,799,,,27.4,2020
44,534844A001,무안군 현경면,2020-02-13,7.3,9.3,4.5,93.7,71.8,0.9,4.2,0.5,0.0,3.7,830,,,27.2,2020
45,534844A001,무안군 현경면,2020-02-14,7.9,14.7,3.3,87.6,124.5,0.8,5.4,0.0,527.0,16.2,1243,,,27.1,2020
46,534844A001,무안군 현경면,2020-02-15,10.5,17.4,5.0,72.8,153.7,1.9,10.6,3.0,131.0,6.4,1431,,,27.1,2020
47,534844A001,무안군 현경면,2020-02-16,1.7,5.1,-1.2,84.9,255.5,4.0,13.2,4.0,129.0,7.2,1439,,,30.5,2020
48,534844A001,무안군 현경면,2020-02-17,-1.3,1.0,-3.2,83.0,243.7,4.4,14.4,0.0,109.0,7.7,1392,,,31.1,2020
49,534844A001,무안군 현경면,2020-02-18,0.9,4.1,-2.2,67.4,155.5,3.1,12.7,2.5,505.0,17.5,1439,,,31.8,2020
50,534844A001,무안군 현경면,2020-02-19,3.4,10.0,-2.4,73.7,106.5,1.0,5.8,0.0,500.0,16.0,1337,,,31.1,2020
51,534844A001,무안군 현경면,2020-02-20,6.0,11.9,1.5,79.0,84.1,1.2,6.3,0.0,557.0,17.0,1054,,,30.4,2020
52,534844A001,무안군 현경면,2020-02-21,10.0,17.1,3.3,64.1,164.5,1.7,9.2,2.5,413.0,15.3,1059,,,29.9,2020
53,534844A001,무안군 현경면,2020-02-22,7.3,11.1,3.4,73.6,235.8,2.4,9.5,0.5,530.0,15.3,989,,,30.2,2020
54,534844A001,무안군 현경면,2020-02-23,4.2,9.1,0.0,65.2,100.3,1.5,6.4,0.0,536.0,17.9,1439,,,29.9,2020
55,534844A001,무안군 현경면,2020-02-24,9.1,16.2,1.2,63.3,127.3,2.1,10.1,0.0,338.0,13.9,1389,,,29.6,2020
56,534844A001,무안군 현경면,2020-02-25,12.5,15.8,7.9,89.7,175.7,2.1,9.5,2.0,0.0,0.7,776,,,29.5,2020
57,534844A001,무안군 현경면,2020-02-26,7.8,13.5,2.5,85.9,136.1,2.1,9.0,0.5,447.0,15.8,884,,,29.2,2020
58,534844A001,무안군 현경면,2020-02-27,5.9,11.8,2.0,81.5,93.4,1.6,6.4,0.0,494.0,16.4,1439,,,29.1,2020
59,534844A001,무안군 현경면,2020-02-28,6.7,7.9,3.9,78.3,128.2,2.1,10.1,2.5,0.0,2.9,1382,,,29.1,2020
60,534844A001,무안군 현경면,2020-03-01,6.3,9.9,3.7,82.9,124.3,1.9,7.5,0.0,6.0,7.3,1439,,,29.5,2020
61,534844A001,무안군 현경면,2020-03-02,5.1,8.2,1.7,63.6,124.7,3.5,10.1,0.0,512.0,19.6,1439,,,29.2,2020
62,534844A001,무안군 현경면,2020-03-03,6.0,14.1,-0.1,72.9,154.1,1.6,7.7,0.0,314.0,13.6,1439,,,29.0,2020
63,534844A001,무안군 현경면,2020-03-04,4.9,8.2,1.8,64.1,173.1,3.6,14.6,0.0,436.0,17.3,1439,,,28.7,2020
64,534844A001,무안군 현경면,2020-03-05,3.0,6.5,-1.8,60.9,113.4,3.2,12.1,0.0,534.0,20.9,1439,,,28.4,2020
65,534844A001,무안군 현경면,2020-03-06,3.1,10.0,-2.8,62.1,119.7,1.1,5.7,0.0,540.0,21.1,1439,,,28.2,2020
66,534844A001,무안군 현경면,2020-03-07,5.8,9.5,2.0,76.5,87.2,1.2,8.7,1.0,14.0,4.8,1327,,,27.9,2020
67,534844A001,무안군 현경면,2020-03-08,7.1,15.9,1.1,75.8,92.1,1.4,8.1,0.0,541.0,20.5,1033,,,27.6,2020
68,534844A001,무안군 현경면,2020-03-09,9.4,13.8,5.0,77.1,62.8,1.5,6.9,5.5,0.0,6.1,1279,,,27.4,2020
69,534844A001,무안군 현경면,2020-03-10,6.4,7.8,4.5,85.6,144.5,3.8,12.8,6.0,1.0,2.5,1439,,,30.8,2020
70,534844A001,무안군 현경면,2020-03-11,5.3,8.5,0.8,59.5,182.8,3.0,11.1,0.0,547.0,22.2,1439,,,30.8,2020
71,534844A001,무안군 현경면,2020-03-12,6.9,14.8,-0.3,56.8,169.3,1.5,7.4,0.0,596.0,21.8,1439,,,30.2,2020
72,534844A001,무안군 현경면,2020-03-13,6.8,12.7,3.0,68.1,132.7,2.4,9.8,0.0,512.0,18.9,1439,,,29.7,2020
73,534844A001,무안군 현경면,2020-03-14,5.4,9.5,0.6,59.1,191.0,2.5,9.8,0.0,611.0,22.4,1439,,,29.2,2020
74,534844A001,무안군 현경면,2020-03-15,6.9,12.6,2.6,65.9,217.6,3.4,15.3,0.0,554.0,21.4,1439,,,28.9,2020
75,534844A001,무안군 현경면,2020-03-16,4.5,9.7,-0.4,59.1,125.9,2.0,11.2,0.0,551.0,22.0,1439,,,28.5,2020
76,534844A001,무안군 현경면,2020-03-17,8.9,16.9,2.1,71.9,191.5,2.2,10.5,0.0,599.0,21.3,1439,,,28.0,2020
77,534844A001,무안군 현경면,2020-03-18,11.6,19.6,4.6,65.9,188.4,1.3,6.6,0.0,608.0,22.7,1000,,,27.3,2020
78,534844A001,무안군 현경면,2020-03-19,10.1,12.9,5.6,66.8,235.9,2.9,12.1,0.0,450.0,20.2,1366,,,26.5,2020
79,534844A001,무안군 현경면,2020-03-20,9.4,15.1,3.3,51.9,198.6,1.9,8.3,0.0,621.0,22.8,1439,,,25.8,2020
80,534844A001,무안군 현경면,2020-03-21,14.3,21.0,8.1,65.4,179.4,2.4,9.2,0.0,614.0,20.3,1439,,,25.0,2020
81,534844A001,무안군 현경면,2020-03-22,11.3,16.0,6.5,71.4,105.0,2.6,10.8,0.0,531.0,22.1,1052,,,24.2,2020
82,534844A001,무안군 현경면,2020-03-23,8.9,15.7,3.4,65.0,174.6,1.5,8.4,0.0,578.0,22.8,1260,,,23.5,2020
83,534844A001,무안군 현경면,2020-03-24,8.8,16.5,3.3,76.0,118.3,1.2,6.2,0.0,602.0,22.5,933,,,23.0,2020
84,534844A001,무안군 현경면,2020-03-25,14.0,21.5,6.0,54.1,180.7,2.1,9.8,0.0,584.0,22.7,1439,,,22.4,2020
