no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
335,588802A001,무주군 무주읍,2023-12-01,-2.3,3.4,-7.5,68.0,277.0,0.8,5.9,0.0,396.0,10.1,0.0,-1.8,4.8,21.6,2023,12,1
336,588802A001,무주군 무주읍,2023-12-02,2.2,7.4,-4.6,68.5,203.3,0.7,5.9,0.0,19.0,3.5,0.0,2.1,4.9,21.6,2023,12,2
337,588802A001,무주군 무주읍,2023-12-03,1.8,8.6,-4.7,68.2,276.2,0.5,4.6,0.0,485.0,11.6,0.0,1.8,5.8,21.3,2023,12,3
338,588802A001,무주군 무주읍,2023-12-04,0.3,11.2,-7.3,69.8,260.0,0.4,3.4,0.0,461.0,11.7,0.0,0.6,5.0,20.9,2023,12,4
339,588802A001,무주군 무주읍,2023-12-05,1.6,12.5,-4.8,72.4,228.2,0.3,3.0,0.0,420.0,8.4,0.0,1.4,5.2,20.7,2023,12,5
340,588802A001,무주군 무주읍,2023-12-06,5.2,13.6,-3.3,76.8,232.9,1.0,7.8,5.0,133.0,5.6,375.0,4.6,5.5,20.5,2023,12,6
341,588802A001,무주군 무주읍,2023-12-07,4.8,11.9,-1.7,63.0,245.5,1.0,6.5,0.0,482.0,10.7,47.0,4.6,6.7,20.6,2023,12,7
342,588802A001,무주군 무주읍,2023-12-08,9.8,20.1,-0.6,61.2,176.3,1.3,7.1,0.0,480.0,10.4,0.0,8.9,6.7,21.1,2023,12,8
343,588802A001,무주군 무주읍,2023-12-09,13.3,20.3,4.7,68.2,197.6,0.9,6.9,0.0,478.0,8.9,0.0,11.9,9.1,21.6,2023,12,9
344,588802A001,무주군 무주읍,2023-12-10,10.6,20.3,2.7,79.1,221.9,0.5,3.7,0.0,386.0,9.0,0.0,10.2,9.3,21.6,2023,12,10
345,588802A001,무주군 무주읍,2023-12-11,12.4,13.8,10.6,84.9,134.2,0.8,6.9,30.5,0.0,0.9,607.0,11.4,10.5,25.1,2023,12,11
346,588802A001,무주군 무주읍,2023-12-12,8.4,10.6,4.3,86.4,0.3,0.4,3.8,1.0,70.0,4.0,701.0,8.7,10.7,27.9,2023,12,12
347,588802A001,무주군 무주읍,2023-12-13,7.8,15.1,2.5,82.3,179.8,0.4,3.3,0.0,279.0,7.9,595.0,8.1,10.0,26.5,2023,12,13
348,588802A001,무주군 무주읍,2023-12-14,8.3,9.7,6.2,91.7,266.8,0.4,2.9,18.0,0.0,1.4,404.0,8.1,9.9,27.0,2023,12,14
349,588802A001,무주군 무주읍,2023-12-15,10.1,13.4,6.6,93.8,232.3,0.7,5.6,45.5,0.0,0.9,1096.0,9.8,10.4,30.3,2023,12,15
350,588802A001,무주군 무주읍,2023-12-16,-0.4,6.6,-5.6,79.7,264.5,2.3,9.2,2.5,42.0,3.8,637.0,-0.2,8.4,27.8,2023,12,16
351,588802A001,무주군 무주읍,2023-12-17,-7.7,-3.8,-11.5,68.5,276.7,1.1,5.5,0.0,466.0,11.4,0.0,-6.4,5.3,26.6,2023,12,17
352,588802A001,무주군 무주읍,2023-12-18,-6.0,-1.5,-11.5,67.7,171.8,0.4,3.1,0.5,266.0,7.9,0.0,-5.1,3.7,25.6,2023,12,18
353,588802A001,무주군 무주읍,2023-12-19,-2.1,2.0,-7.3,70.1,241.8,0.3,2.0,0.5,56.0,3.8,0.0,-2.1,3.4,24.9,2023,12,19
354,588802A001,무주군 무주읍,2023-12-20,-4.2,0.3,-9.8,77.0,282.5,1.3,6.0,0.0,80.0,3.5,0.0,-3.7,3.5,24.6,2023,12,20
355,588802A001,무주군 무주읍,2023-12-21,-9.9,-4.9,-13.8,73.2,271.3,0.8,6.7,0.0,400.0,9.9,0.0,-8.3,2.7,24.3,2023,12,21
356,588802A001,무주군 무주읍,2023-12-22,-9.8,-4.6,-14.5,68.3,278.6,1.0,7.1,0.0,469.0,11.4,0.0,-8.7,2.0,23.6,2023,12,22
357,588802A001,무주군 무주읍,2023-12-23,-6.8,1.2,-13.2,73.9,216.0,0.5,3.8,1.0,467.0,11.1,0.0,-5.8,1.6,22.7,2023,12,23
358,588802A001,무주군 무주읍,2023-12-24,-3.2,2.9,-7.8,83.7,271.5,0.4,5.0,1.5,151.0,5.7,270.0,-2.8,1.6,21.8,2023,12,24
359,588802A001,무주군 무주읍,2023-12-25,-0.9,3.7,-4.9,82.9,239.7,0.4,4.5,1.5,179.0,6.5,596.0,-0.7,1.7,21.2,2023,12,25
360,588802A001,무주군 무주읍,2023-12-26,1.4,7.4,-2.4,76.0,244.0,0.5,6.6,0.0,251.0,7.2,46.0,1.0,2.4,21.3,2023,12,26
361,588802A001,무주군 무주읍,2023-12-27,1.2,10.1,-3.5,81.7,258.5,0.4,3.0,0.0,466.0,10.3,0.0,1.2,3.1,22.1,2023,12,27
362,588802A001,무주군 무주읍,2023-12-28,0.5,7.4,-4.5,83.0,271.9,0.4,4.6,0.0,320.0,8.2,0.0,0.7,3.5,22.7,2023,12,28
363,588802A001,무주군 무주읍,2023-12-29,0.4,8.0,-4.3,81.5,268.8,0.4,3.7,0.0,454.0,9.6,0.0,0.4,3.8,22.7,2023,12,29
364,588802A001,무주군 무주읍,2023-12-30,0.5,5.1,-5.0,86.6,261.6,0.3,2.6,0.5,72.0,4.2,238.0,0.4,3.6,22.7,2023,12,30
365,588802A001,무주군 무주읍,2023-12-31,4.1,6.5,2.1,86.8,265.1,0.9,7.6,4.0,0.0,1.1,739.0,3.7,4.7,23.5,2023,12,31
