no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,745230A001,문경시 흥덕동,2011-06-01,17.3,21.4,15.6,90.7,161.8,0.7,,22.5,,36.7,,,,,2011,6,1
153,745230A001,문경시 흥덕동,2011-06-02,20.3,28.3,15.0,78.3,230.0,1.3,,0.0,,32.9,,,,,2011,6,2
154,745230A001,문경시 흥덕동,2011-06-03,21.0,28.4,15.3,66.8,228.2,1.6,,0.0,,33.9,,,,,2011,6,3
155,745230A001,문경시 흥덕동,2011-06-04,20.6,26.3,14.9,76.3,267.6,1.8,,0.0,,36.0,,,,,2011,6,4
156,745230A001,문경시 흥덕동,2011-06-05,22.4,29.0,15.3,66.6,257.6,1.6,,0.0,,35.2,,,,,2011,6,5
157,745230A001,문경시 흥덕동,2011-06-06,22.0,30.0,14.2,67.3,227.9,1.4,,0.0,,32.6,,,,,2011,6,6
158,745230A001,문경시 흥덕동,2011-06-07,23.1,31.6,14.7,62.0,238.3,1.5,,0.0,,37.8,,,,,2011,6,7
159,745230A001,문경시 흥덕동,2011-06-08,23.7,31.1,16.1,65.0,154.9,1.4,,0.0,,36.1,,,,,2011,6,8
160,745230A001,문경시 흥덕동,2011-06-09,22.4,26.4,17.5,74.4,263.9,1.5,,0.0,,35.0,,,,,2011,6,9
161,745230A001,문경시 흥덕동,2011-06-10,21.3,26.1,16.7,82.4,266.7,0.9,,0.0,,38.6,,,,,2011,6,10
162,745230A001,문경시 흥덕동,2011-06-11,24.3,32.9,16.5,69.3,175.9,1.3,,0.0,,38.8,,,,,2011,6,11
163,745230A001,문경시 흥덕동,2011-06-12,24.1,31.4,17.6,67.3,191.6,1.2,,0.0,,35.8,,,,,2011,6,12
164,745230A001,문경시 흥덕동,2011-06-13,22.3,27.7,16.6,70.0,251.8,1.4,,0.0,,37.3,,,,,2011,6,13
165,745230A001,문경시 흥덕동,2011-06-14,23.3,31.4,16.3,70.8,231.5,1.2,,0.0,,40.0,,,,,2011,6,14
166,745230A001,문경시 흥덕동,2011-06-15,23.0,30.5,17.4,73.3,175.3,1.5,,0.0,,37.8,,,,,2011,6,15
167,745230A001,문경시 흥덕동,2011-06-16,22.8,30.9,15.7,66.2,83.1,1.6,,0.0,,28.5,,,,,2011,6,16
168,745230A001,문경시 흥덕동,2011-06-17,22.2,30.7,14.9,71.1,248.6,1.2,,0.0,,30.0,,,,,2011,6,17
169,745230A001,문경시 흥덕동,2011-06-18,23.5,28.9,19.0,79.6,204.4,0.9,,3.0,,32.3,,,,,2011,6,18
170,745230A001,문경시 흥덕동,2011-06-19,24.8,33.0,17.1,64.9,93.3,1.2,,0.0,,30.3,,,,,2011,6,19
171,745230A001,문경시 흥덕동,2011-06-20,24.0,32.0,16.4,72.5,161.3,1.5,,0.0,,33.4,,,,,2011,6,20
172,745230A001,문경시 흥덕동,2011-06-21,25.5,32.1,18.6,66.9,257.8,1.6,,0.0,,35.4,,,,,2011,6,21
173,745230A001,문경시 흥덕동,2011-06-22,24.0,29.5,20.5,86.6,139.2,1.2,,33.5,,36.2,,,,,2011,6,22
174,745230A001,문경시 흥덕동,2011-06-23,26.2,30.3,23.6,88.1,155.3,1.2,,37.5,,39.9,,,,,2011,6,23
175,745230A001,문경시 흥덕동,2011-06-24,22.1,24.9,18.1,96.5,117.5,1.1,,166.5,,39.5,,,,,2011,6,24
176,745230A001,문경시 흥덕동,2011-06-25,18.4,19.8,17.5,95.9,112.5,1.0,,70.5,,36.0,,,,,2011,6,25
177,745230A001,문경시 흥덕동,2011-06-26,20.0,22.4,17.5,94.4,112.1,1.6,,19.5,,33.5,,,,,2011,6,26
178,745230A001,문경시 흥덕동,2011-06-27,22.8,26.8,19.7,85.3,228.6,1.0,,0.5,,39.2,,,,,2011,6,27
179,745230A001,문경시 흥덕동,2011-06-28,24.8,33.2,17.2,79.4,125.4,1.0,,0.5,,35.0,,,,,2011,6,28
180,745230A001,문경시 흥덕동,2011-06-29,26.4,33.7,23.0,86.3,222.8,1.0,,4.0,,35.4,,,,,2011,6,29
181,745230A001,문경시 흥덕동,2011-06-30,25.7,29.4,22.9,89.6,119.2,0.7,,0.0,,36.4,,,,,2011,6,30
