stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-01,2.3,8.9,-2.3,88.8,316.9,1.0,3.9,0.0,,9.9,,,,32.3
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-02,3.6,7.1,1.2,83.5,293.5,1.0,7.6,0.0,,3.6,,,,32.7
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-03,2.8,5.6,0.7,76.2,288.9,1.7,8.6,0.0,,6.5,,,,32.4
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-04,0.9,6.6,-3.0,66.1,293.8,1.4,5.8,0.0,,11.2,,,,31.9
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-05,1.9,9.8,-3.9,86.1,300.9,0.9,8.0,0.0,,4.7,,,,31.7
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-06,2.0,6.4,-2.5,57.0,289.7,1.7,7.3,0.0,,11.5,,,,31.5
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-07,-1.7,1.2,-6.0,45.1,288.0,3.6,13.2,0.0,,11.7,,,,31.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-08,-3.9,3.1,-9.6,43.7,316.6,1.3,4.3,0.0,,12.0,,,,30.6
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-09,-2.1,0.6,-6.3,80.6,346.8,0.4,2.0,0.0,,2.7,,,,30.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-10,-0.8,8.4,-7.1,89.6,345.1,0.8,4.5,1.5,,7.4,,,,30.0
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-11,-0.3,4.9,-6.0,79.9,290.3,1.5,9.5,0.0,,10.4,,,,30.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-12,4.1,7.6,-1.3,47.0,288.5,2.1,10.4,0.0,,11.7,,,,30.3
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-13,0.6,7.0,-5.2,39.9,296.4,2.2,9.4,0.0,,12.1,,,,30.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-14,-0.6,5.5,-7.6,78.0,306.8,1.3,7.5,1.5,,7.2,,,,30.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-15,-0.1,3.3,-2.6,51.2,283.7,2.7,8.0,0.0,,12.5,,,,30.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-16,-2.2,5.3,-8.6,56.3,331.3,1.3,4.0,0.0,,11.7,,,,30.0
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-17,-1.0,1.9,-5.2,85.0,343.4,0.7,5.0,4.5,,2.7,,,,30.0
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-18,3.2,6.4,0.7,99.5,17.2,0.6,3.7,5.0,,3.5,,,,34.3
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-19,4.3,6.2,2.9,81.3,34.6,0.8,5.1,0.0,,2.8,,,,34.0
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-20,3.4,5.8,1.5,91.1,4.8,0.6,3.4,8.5,,1.7,,,,34.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-21,3.9,7.8,0.8,86.4,292.5,1.5,6.1,0.0,,6.1,,,,34.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-22,-4.2,3.0,-9.1,56.8,283.0,4.3,14.7,0.0,,11.0,,,,33.0
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-23,-9.5,-6.7,-11.6,43.6,285.6,3.3,13.7,0.0,,11.4,,,,32.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-24,-7.6,-2.9,-11.6,39.3,291.1,2.3,12.5,0.0,,13.2,,,,31.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-25,-5.2,0.7,-11.7,44.1,284.0,2.3,7.3,0.0,,13.5,,,,30.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-26,-1.7,4.9,-8.3,53.7,289.3,1.7,8.8,0.0,,13.3,,,,29.4
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-27,-0.6,6.3,-5.5,66.7,307.5,1.2,7.1,0.0,,13.3,,,,29.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-28,-0.9,3.8,-5.2,63.8,291.9,1.7,8.4,0.0,,13.5,,,,29.3
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-29,-2.2,5.5,-8.5,69.5,300.8,1.5,6.2,0.0,,13.9,,,,29.5
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-30,-1.5,8.1,-8.5,69.2,316.2,1.2,4.1,0.0,,13.0,,,,29.4
745230A001,¹®°æ½Ã Èï´öµ¿,2024-01-31,3.9,14.1,-3.6,58.8,323.3,1.3,5.7,0.0,,12.7,,,,29.5
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-01,4.4,8.3,1.5,56.9,1.0,1.3,5.5,0.0,,5.5,,,,30.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-02,2.8,9.1,-1.8,72.1,335.1,0.8,3.7,0.0,,7.8,,,,30.6
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-03,3.5,8.7,-1.4,85.3,6.8,0.7,3.7,0.5,,6.2,,,,30.9
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-04,4.7,8.7,1.6,88.2,21.4,0.9,4.1,0.5,,5.6,,,,31.1
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-05,4.0,7.4,0.2,82.0,38.2,1.1,7.3,11.5,,5.7,,,,33.8
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-06,1.5,3.5,-0.1,95.0,315.6,0.4,4.5,1.5,,4.3,,,,34.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-07,0.8,4.8,-3.1,75.1,292.1,1.5,5.5,0.0,,10.7,,,,33.2
745230A001,¹®°æ½Ã Èï´öµ¿,2024-02-08,-0.1,6.9,-5.5,78.0,302.8,1.4,6.6,0.0,,14.9,,,,32.5
