no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,050415C005,밀양시 산내면,2019-10-01,20.4,23.1,18.6,96.1,272.6,0.1,3.6,3.0,,3.0,1081,20.4,21.2,18.5,2019,10,1
275,050415C005,밀양시 산내면,2019-10-02,21.3,25.4,18.5,94.3,103.8,1.4,10.2,137.0,,1.8,813,20.9,21.1,25.6,2019,10,2
276,050415C005,밀양시 산내면,2019-10-03,22.2,26.0,17.6,84.8,257.1,1.6,12.4,16.5,,8.9,630,21.3,21.6,28.0,2019,10,3
277,050415C005,밀양시 산내면,2019-10-04,20.8,27.4,15.7,82.6,239.6,0.5,4.9,0.0,,14.4,0,19.7,21.0,26.0,2019,10,4
278,050415C005,밀양시 산내면,2019-10-05,20.6,25.9,16.7,80.6,107.6,1.0,6.6,0.0,,10.8,0,20.8,21.3,25.0,2019,10,5
279,050415C005,밀양시 산내면,2019-10-06,16.1,20.3,11.7,70.0,110.2,1.7,7.0,0.0,,15.5,0,17.4,20.7,23.9,2019,10,6
280,050415C005,밀양시 산내면,2019-10-07,15.4,20.3,12.1,91.0,270.8,0.3,5.5,7.5,,6.3,522,17.1,19.7,23.3,2019,10,7
281,050415C005,밀양시 산내면,2019-10-08,16.3,21.9,8.9,68.4,267.2,1.5,11.3,0.0,,16.3,460,15.8,19.5,25.7,2019,10,8
282,050415C005,밀양시 산내면,2019-10-09,12.6,22.3,5.2,69.3,268.8,0.6,4.9,0.0,,19.2,0,11.9,18.0,25.0,2019,10,9
283,050415C005,밀양시 산내면,2019-10-10,14.5,23.7,6.7,74.2,266.5,0.5,5.5,0.0,,18.5,0,13.4,17.4,24.0,2019,10,10
284,050415C005,밀양시 산내면,2019-10-11,18.1,24.3,10.8,65.5,87.3,1.4,11.5,0.0,,18.2,0,16.6,17.9,22.9,2019,10,11
285,050415C005,밀양시 산내면,2019-10-12,18.3,21.2,15.2,58.6,93.1,3.8,15.2,0.0,,17.4,0,17.3,18.4,21.3,2019,10,12
286,050415C005,밀양시 산내면,2019-10-13,15.9,20.5,11.6,62.2,69.9,2.3,26.3,0.0,,17.2,0,15.2,18.2,19.6,2019,10,13
287,050415C005,밀양시 산내면,2019-10-14,14.3,22.3,7.4,76.0,270.9,0.7,7.8,0.0,,17.5,0,13.3,17.4,18.3,2019,10,14
288,050415C005,밀양시 산내면,2019-10-15,13.5,17.2,8.2,73.9,102.5,1.7,13.7,0.0,,9.3,0,14.1,17.4,17.3,2019,10,15
289,050415C005,밀양시 산내면,2019-10-16,11.8,20.0,5.9,79.5,262.5,0.4,4.5,0.0,,15.9,0,11.0,16.4,16.7,2019,10,16
290,050415C005,밀양시 산내면,2019-10-17,13.2,19.6,6.9,77.0,125.7,1.1,6.9,0.0,,8.4,0,12.8,16.1,16.1,2019,10,17
291,050415C005,밀양시 산내면,2019-10-18,15.7,17.3,12.4,82.3,91.9,1.4,7.9,13.5,,1.6,607,14.7,16.6,19.5,2019,10,18
292,050415C005,밀양시 산내면,2019-10-19,16.7,22.9,11.1,78.2,79.5,1.4,7.7,0.0,,17.0,7,15.9,17.3,25.8,2019,10,19
293,050415C005,밀양시 산내면,2019-10-20,15.0,22.6,9.3,80.9,261.9,0.4,4.5,0.0,,15.5,0,13.4,16.7,24.8,2019,10,20
294,050415C005,밀양시 산내면,2019-10-21,15.1,21.7,8.7,74.2,100.0,1.0,9.5,0.0,,14.7,0,13.0,16.3,23.9,2019,10,21
295,050415C005,밀양시 산내면,2019-10-22,16.3,21.7,10.7,73.9,89.2,1.3,7.3,0.0,,12.2,0,14.7,16.5,23.0,2019,10,22
296,050415C005,밀양시 산내면,2019-10-23,16.4,20.1,12.9,72.4,115.6,1.3,6.4,0.0,,5.6,0,15.5,16.8,22.0,2019,10,23
297,050415C005,밀양시 산내면,2019-10-24,17.1,19.3,14.9,75.1,89.6,1.5,7.3,1.0,,4.8,437,16.2,17.1,21.1,2019,10,24
298,050415C005,밀양시 산내면,2019-10-25,17.2,22.8,14.0,77.6,205.0,0.7,5.7,0.5,,10.4,670,16.5,17.5,20.4,2019,10,25
299,050415C005,밀양시 산내면,2019-10-26,13.2,18.6,7.9,71.4,266.9,1.0,6.4,0.0,,15.3,0,12.6,17.0,19.7,2019,10,26
300,050415C005,밀양시 산내면,2019-10-27,9.8,17.6,4.4,62.5,270.0,0.9,7.7,0.0,,16.7,0,8.5,15.4,18.8,2019,10,27
301,050415C005,밀양시 산내면,2019-10-28,9.9,18.8,2.5,73.2,269.0,0.5,5.6,0.0,,15.6,0,8.8,14.3,18.0,2019,10,28
302,050415C005,밀양시 산내면,2019-10-29,11.3,19.2,5.7,75.3,270.0,0.6,7.5,0.0,,12.8,0,9.9,14.4,17.3,2019,10,29
303,050415C005,밀양시 산내면,2019-10-30,10.6,18.5,5.4,66.3,264.8,0.8,5.5,0.0,,16.1,0,8.5,14.0,16.7,2019,10,30
304,050415C005,밀양시 산내면,2019-10-31,11.8,21.5,4.5,67.9,249.8,0.5,5.4,0.0,,15.6,0,9.0,13.5,16.1,2019,10,31
