no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,627911A001,밀양시 상남면,2021-10-01,21.0,29.2,15.3,86.7,235.0,1.2,6.5,0.0,561,18.2,658,,24.0,34.1,2021,10,1
275,627911A001,밀양시 상남면,2021-10-02,21.0,29.8,16.7,87.9,198.2,0.6,3.8,0.0,452,15.8,733,,24.1,33.6,2021,10,2
276,627911A001,밀양시 상남면,2021-10-03,20.9,29.4,14.2,85.5,144.4,0.6,4.5,0.0,619,17.9,730,,24.0,32.8,2021,10,3
277,627911A001,밀양시 상남면,2021-10-04,22.1,29.8,14.7,88.2,157.1,0.9,9.2,0.0,373,13.8,611,,23.8,31.8,2021,10,4
278,627911A001,밀양시 상남면,2021-10-05,22.8,31.4,17.6,87.6,206.5,0.4,7.7,0.0,439,15.7,641,,24.3,30.7,2021,10,5
279,627911A001,밀양시 상남면,2021-10-06,22.8,28.3,19.3,87.4,287.4,1.5,7.3,0.0,534,15.8,165,,24.7,30.2,2021,10,6
280,627911A001,밀양시 상남면,2021-10-07,22.4,28.6,17.8,84.9,191.0,0.6,5.3,0.0,530,16.3,421,,24.7,29.4,2021,10,7
281,627911A001,밀양시 상남면,2021-10-08,21.8,26.1,19.8,95.3,284.7,1.2,4.9,4.5,93,7.3,147,,24.6,29.0,2021,10,8
282,627911A001,밀양시 상남면,2021-10-09,23.1,29.6,18.9,88.6,184.8,0.7,4.9,0.0,527,16.0,576,,24.6,29.2,2021,10,9
283,627911A001,밀양시 상남면,2021-10-10,23.7,29.9,18.3,87.5,158.9,1.1,6.4,0.0,379,13.7,555,,24.7,29.1,2021,10,10
284,627911A001,밀양시 상남면,2021-10-11,19.2,24.7,16.4,99.7,290.9,1.8,7.3,31.0,0,1.7,1367,,24.4,33.2,2021,10,11
285,627911A001,밀양시 상남면,2021-10-12,17.3,18.4,15.9,92.6,301.9,2.9,8.1,4.5,0,3.6,587,,22.6,41.0,2021,10,12
286,627911A001,밀양시 상남면,2021-10-13,18.8,22.7,15.8,85.9,286.0,1.9,7.2,0.0,90,7.5,69,,22.2,35.1,2021,10,13
287,627911A001,밀양시 상남면,2021-10-14,19.3,26.4,14.2,89.6,260.8,0.5,3.8,0.0,477,13.3,761,,22.2,34.1,2021,10,14
288,627911A001,밀양시 상남면,2021-10-15,20.2,26.3,15.2,84.1,277.7,1.5,5.9,0.0,363,12.0,548,,22.4,33.6,2021,10,15
289,627911A001,밀양시 상남면,2021-10-16,15.2,18.3,8.8,74.9,297.8,2.3,9.5,7.0,0,3.9,593,,22.2,33.9,2021,10,16
290,627911A001,밀양시 상남면,2021-10-17,8.1,14.1,3.5,56.4,272.1,2.9,9.0,0.0,600,17.6,0,,19.9,34.5,2021,10,17
291,627911A001,밀양시 상남면,2021-10-18,9.3,18.5,2.6,69.2,291.1,1.6,4.7,0.0,598,17.1,0,,18.5,34.3,2021,10,18
292,627911A001,밀양시 상남면,2021-10-19,11.5,19.6,6.3,73.9,280.0,1.4,9.5,0.0,486,14.8,202,,18.3,33.8,2021,10,19
293,627911A001,밀양시 상남면,2021-10-20,10.6,18.2,4.2,74.8,225.8,1.0,5.4,0.0,578,16.2,453,,17.8,33.2,2021,10,20
294,627911A001,밀양시 상남면,2021-10-21,10.6,16.1,7.0,91.1,286.3,0.9,4.9,0.0,23,6.3,307,,17.5,32.7,2021,10,21
295,627911A001,밀양시 상남면,2021-10-22,11.7,18.2,5.3,75.1,291.6,1.8,7.9,0.0,579,15.7,536,,17.3,32.2,2021,10,22
296,627911A001,밀양시 상남면,2021-10-23,11.8,20.4,5.7,74.6,271.0,1.1,5.0,0.0,564,15.8,371,,17.2,31.8,2021,10,23
297,627911A001,밀양시 상남면,2021-10-24,11.9,20.6,5.4,80.3,237.5,0.7,3.9,0.0,563,14.3,626,,17.0,31.5,2021,10,24
298,627911A001,밀양시 상남면,2021-10-25,13.2,21.4,6.4,74.7,294.0,1.3,5.0,0.0,558,15.2,173,,17.1,31.1,2021,10,25
299,627911A001,밀양시 상남면,2021-10-26,11.5,21.1,4.9,77.8,257.5,0.7,4.6,0.0,573,14.3,303,,16.8,30.7,2021,10,26
300,627911A001,밀양시 상남면,2021-10-27,13.3,21.8,7.5,76.0,270.6,0.8,6.5,0.0,504,13.2,241,,16.8,30.6,2021,10,27
301,627911A001,밀양시 상남면,2021-10-28,12.6,22.0,4.6,72.2,228.4,1.0,6.2,0.0,568,15.4,468,,16.5,30.3,2021,10,28
302,627911A001,밀양시 상남면,2021-10-29,13.3,20.0,7.3,73.5,272.7,1.2,6.8,0.0,377,11.7,237,,16.5,29.9,2021,10,29
303,627911A001,밀양시 상남면,2021-10-30,12.5,19.1,7.6,81.8,291.8,1.3,4.2,0.0,154,8.4,136,,16.4,29.7,2021,10,30
304,627911A001,밀양시 상남면,2021-10-31,12.7,22.3,6.3,81.1,256.1,0.8,4.1,0.0,561,14.4,614,,16.4,29.7,2021,10,31
