no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,355831A001,보령시 주교면,2020-04-01,8.7,15.7,2.5,53.7,352.4,2.0,18.8,0.0,440,33.5,0,10.2,9.5,,2020,4,1
92,355831A001,보령시 주교면,2020-04-02,6.6,13.2,0.5,67.5,269.9,1.2,6.3,0.0,642,34.6,0,9.5,7.4,,2020,4,2
93,355831A001,보령시 주교면,2020-04-03,7.3,15.3,0.5,65.1,301.3,1.4,7.2,0.0,673,37.3,0,9.5,8.4,,2020,4,3
94,355831A001,보령시 주교면,2020-04-04,7.7,13.4,2.1,55.9,355.5,2.6,17.0,0.0,586,36.5,0,9.7,8.5,,2020,4,4
95,355831A001,보령시 주교면,2020-04-05,4.4,11.4,-2.4,53.3,348.8,1.5,7.3,0.0,692,38.7,0,8.8,5.4,,2020,4,5
96,355831A001,보령시 주교면,2020-04-06,5.5,12.5,-1.7,65.9,269.3,1.2,6.5,0.0,598,36.8,0,8.7,6.5,,2020,4,6
97,355831A001,보령시 주교면,2020-04-07,7.4,12.3,1.4,75.6,261.1,1.5,7.4,0.0,609,34.2,0,9.4,8.3,,2020,4,7
98,355831A001,보령시 주교면,2020-04-08,6.7,14.6,-0.4,57.3,352.7,1.7,9.3,0.0,646,38.8,4,9.4,7.5,,2020,4,8
99,355831A001,보령시 주교면,2020-04-09,6.7,13.7,-0.1,61.0,335.2,1.6,8.7,0.0,590,36.4,0,9.4,7.8,,2020,4,9
100,355831A001,보령시 주교면,2020-04-10,7.4,12.1,1.2,68.1,265.9,1.4,6.5,0.0,641,37.8,0,10.1,8.7,,2020,4,10
101,355831A001,보령시 주교면,2020-04-11,6.0,11.3,1.9,72.7,262.9,1.1,5.7,0.0,147,29.3,0,9.6,6.6,,2020,4,11
102,355831A001,보령시 주교면,2020-04-12,7.2,17.0,-0.1,71.5,65.3,1.1,11.4,1.0,316,29.7,346,9.1,7.4,,2020,4,12
103,355831A001,보령시 주교면,2020-04-13,8.8,16.7,1.8,49.9,21.4,1.9,9.1,0.0,560,37.6,109,9.7,9.1,,2020,4,13
104,355831A001,보령시 주교면,2020-04-14,7.8,15.2,0.6,65.6,253.0,1.2,8.5,0.0,683,39.4,0,10.1,8.7,,2020,4,14
105,355831A001,보령시 주교면,2020-04-15,8.8,17.3,0.7,59.0,260.2,0.9,9.4,0.0,504,34.2,0,10.4,9.4,,2020,4,15
106,355831A001,보령시 주교면,2020-04-16,11.5,19.6,1.8,57.6,266.3,1.1,7.9,0.0,656,38.5,0,11.1,12.2,,2020,4,16
107,355831A001,보령시 주교면,2020-04-17,13.2,17.4,10.3,71.0,217.9,2.4,10.0,1.5,147,26.9,131,12.3,13.6,,2020,4,17
108,355831A001,보령시 주교면,2020-04-18,10.5,16.1,7.9,80.2,301.3,1.8,7.0,1.5,299,33.2,439,12.7,12.3,,2020,4,18
109,355831A001,보령시 주교면,2020-04-19,10.8,14.7,7.7,79.6,53.1,1.0,5.9,9.5,0,19.0,159,12.0,10.8,,2020,4,19
110,355831A001,보령시 주교면,2020-04-20,9.3,12.5,6.0,79.6,302.9,2.0,10.6,0.0,211,25.3,1,11.2,9.5,,2020,4,20
111,355831A001,보령시 주교면,2020-04-21,8.0,11.3,3.6,53.6,313.5,3.1,12.0,0.0,600,38.5,0,10.7,9.1,,2020,4,21
112,355831A001,보령시 주교면,2020-04-22,7.7,10.4,5.8,39.0,344.0,3.7,11.0,0.0,540,36.1,0,10.0,8.7,,2020,4,22
113,355831A001,보령시 주교면,2020-04-23,8.6,12.1,5.8,48.9,320.0,2.8,9.8,0.0,716,39.5,0,10.4,9.7,,2020,4,23
114,355831A001,보령시 주교면,2020-04-24,9.3,13.3,1.5,61.4,222.0,2.5,11.9,0.0,727,40.0,0,10.7,10.1,,2020,4,24
115,355831A001,보령시 주교면,2020-04-25,12.5,16.9,5.9,58.6,212.6,4.1,14.6,0.0,650,36.9,0,11.9,13.1,,2020,4,25
116,355831A001,보령시 주교면,2020-04-26,10.5,17.7,3.6,52.3,2.6,2.0,9.9,0.0,664,40.0,0,11.8,11.2,,2020,4,26
117,355831A001,보령시 주교면,2020-04-27,9.2,14.5,3.4,65.4,264.2,1.4,6.8,0.0,718,39.8,0,11.9,10.3,,2020,4,27
118,355831A001,보령시 주교면,2020-04-28,10.3,15.6,2.8,67.7,233.0,1.9,8.2,0.0,719,39.6,0,12.1,11.5,,2020,4,28
119,355831A001,보령시 주교면,2020-04-29,12.4,17.4,6.9,53.1,246.0,1.2,6.0,0.0,617,39.6,0,13.1,13.1,,2020,4,29
120,355831A001,보령시 주교면,2020-04-30,15.4,20.3,7.1,66.5,221.8,2.7,8.9,0.0,385,32.7,0,13.7,16.2,,2020,4,30
