no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,546804B001,보성군 보성읍,2022-06-01,18.1,27.3,10.9,64.9,153.7,0.6,8.6,0.0,,25.7,307,20.7,21.0,50.0,2022,6,1
153,546804B001,보성군 보성읍,2022-06-02,19.7,30.7,10.1,73.8,218.8,0.5,3.8,0.0,,27.5,473,22.0,21.6,50.0,2022,6,2
154,546804B001,보성군 보성읍,2022-06-03,20.5,28.1,13.4,73.9,93.5,1.1,6.8,0.0,,27.6,416,22.2,22.1,50.0,2022,6,3
155,546804B001,보성군 보성읍,2022-06-04,19.3,24.7,12.4,66.2,85.8,2.2,7.5,0.0,,22.3,423,21.0,21.6,50.0,2022,6,4
156,546804B001,보성군 보성읍,2022-06-05,16.0,18.7,14.7,88.5,86.0,2.7,10.3,40.5,,5.7,1066,18.8,19.9,50.0,2022,6,5
157,546804B001,보성군 보성읍,2022-06-06,18.5,25.6,12.4,82.1,186.8,0.4,6.2,0.0,,19.2,463,20.3,20.1,50.0,2022,6,6
158,546804B001,보성군 보성읍,2022-06-07,16.8,19.8,14.5,79.3,88.3,1.4,6.2,0.5,,10.8,85,19.8,20.3,50.0,2022,6,7
159,546804B001,보성군 보성읍,2022-06-08,16.1,20.5,13.7,84.5,91.5,0.9,4.7,1.0,,11.3,502,19.0,19.6,50.0,2022,6,8
160,546804B001,보성군 보성읍,2022-06-09,17.6,24.0,12.4,78.8,109.3,0.6,11.3,0.0,,24.0,528,20.8,20.2,50.0,2022,6,9
161,546804B001,보성군 보성읍,2022-06-10,17.5,22.9,11.5,81.0,88.3,0.8,5.5,0.0,,18.5,590,20.4,20.3,50.0,2022,6,10
162,546804B001,보성군 보성읍,2022-06-11,19.7,27.5,13.7,78.0,93.1,0.8,6.2,0.0,,21.1,670,21.7,20.9,50.0,2022,6,11
163,546804B001,보성군 보성읍,2022-06-12,19.4,24.4,15.5,78.1,98.5,0.9,6.1,0.0,,22.0,435,22.1,21.4,50.0,2022,6,12
164,546804B001,보성군 보성읍,2022-06-13,17.6,20.1,15.4,78.8,92.2,1.5,7.2,0.0,,7.3,14,19.5,20.5,50.0,2022,6,13
165,546804B001,보성군 보성읍,2022-06-14,16.6,19.0,14.8,81.5,87.5,1.7,8.1,2.0,,9.3,446,19.1,19.8,50.0,2022,6,14
166,546804B001,보성군 보성읍,2022-06-15,19.0,25.5,15.0,82.1,170.7,0.7,4.9,0.0,,16.6,455,21.0,20.3,50.0,2022,6,15
167,546804B001,보성군 보성읍,2022-06-16,20.9,28.9,13.8,74.3,207.5,0.3,4.4,0.0,,23.1,463,22.2,21.2,50.0,2022,6,16
168,546804B001,보성군 보성읍,2022-06-17,21.1,26.8,16.1,81.0,145.2,0.4,4.1,0.0,,19.9,290,23.3,22.1,50.0,2022,6,17
169,546804B001,보성군 보성읍,2022-06-18,22.8,29.3,18.2,78.8,229.3,0.3,3.6,0.0,,22.3,151,24.6,23.0,50.0,2022,6,18
170,546804B001,보성군 보성읍,2022-06-19,22.4,29.7,18.2,80.9,145.3,0.6,4.6,0.0,,19.2,0,23.8,22.9,50.0,2022,6,19
171,546804B001,보성군 보성읍,2022-06-20,23.2,29.2,18.3,80.2,123.5,0.7,4.8,0.0,,23.2,98,24.9,23.5,50.0,2022,6,20
172,546804B001,보성군 보성읍,2022-06-21,24.4,31.6,19.8,75.5,133.7,0.8,4.9,0.0,,26.1,0,26.3,24.3,50.0,2022,6,21
173,546804B001,보성군 보성읍,2022-06-22,24.2,30.9,18.7,77.3,171.2,0.8,9.9,0.0,,27.1,153,26.4,24.9,50.0,2022,6,22
174,546804B001,보성군 보성읍,2022-06-23,22.8,27.3,20.6,89.5,137.8,1.3,5.6,0.0,,10.5,389,25.0,24.5,50.0,2022,6,23
175,546804B001,보성군 보성읍,2022-06-24,23.3,28.8,20.7,88.3,230.2,0.5,4.2,56.5,,13.7,632,25.2,24.3,50.0,2022,6,24
176,546804B001,보성군 보성읍,2022-06-25,23.2,27.6,20.2,87.1,153.6,0.7,5.5,0.0,,14.0,166,25.3,24.6,50.0,2022,6,25
177,546804B001,보성군 보성읍,2022-06-26,24.1,28.7,21.4,87.0,162.6,1.1,6.1,0.0,,17.1,0,25.9,24.8,50.0,2022,6,26
178,546804B001,보성군 보성읍,2022-06-27,23.5,25.7,22.4,93.1,175.1,1.0,6.3,0.5,,8.4,517,25.5,24.9,50.0,2022,6,27
179,546804B001,보성군 보성읍,2022-06-28,23.7,26.5,22.1,90.0,181.5,1.4,7.1,0.0,,10.5,0,25.5,24.8,50.0,2022,6,28
180,546804B001,보성군 보성읍,2022-06-29,23.4,26.2,22.0,91.9,175.2,1.0,5.4,2.5,,11.6,230,25.4,24.8,50.0,2022,6,29
181,546804B001,보성군 보성읍,2022-06-30,24.7,29.9,22.1,86.5,154.7,0.8,8.2,0.0,,24.0,359,26.7,25.3,50.0,2022,6,30
