no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,755851A002,봉화군 봉성면,2020-05-01,19.7,30.5,8.3,64.2,237.1,1.0,9.2,0.0,,25.7,267,19.7,18.5,,2020,5,1
122,755851A002,봉화군 봉성면,2020-05-02,20.0,27.4,12.1,71.9,230.8,0.8,6.0,0.0,,17.0,32,20.2,19.8,,2020,5,2
123,755851A002,봉화군 봉성면,2020-05-03,17.3,19.9,13.0,85.6,228.9,0.0,2.4,1.0,,8.1,397,17.3,18.8,,2020,5,3
124,755851A002,봉화군 봉성면,2020-05-04,19.7,28.6,14.1,74.2,255.0,1.0,6.7,0.0,,22.1,0,20.7,20.0,,2020,5,4
125,755851A002,봉화군 봉성면,2020-05-05,15.6,21.1,12.0,77.3,219.4,0.3,5.4,3.5,,10.3,563,16.1,19.0,,2020,5,5
126,755851A002,봉화군 봉성면,2020-05-06,15.9,26.5,7.3,67.0,150.6,0.7,6.9,0.0,,28.2,428,16.5,18.3,,2020,5,6
127,755851A002,봉화군 봉성면,2020-05-07,14.1,23.7,3.8,52.7,80.3,0.7,7.0,0.0,,27.1,326,14.4,18.2,,2020,5,7
128,755851A002,봉화군 봉성면,2020-05-08,15.7,24.4,4.2,52.4,231.7,0.6,6.0,1.5,,25.6,118,16.5,18.7,,2020,5,8
129,755851A002,봉화군 봉성면,2020-05-09,15.0,15.9,13.6,96.8,47.3,0.0,2.7,37.5,,2.7,1429,14.9,17.6,,2020,5,9
130,755851A002,봉화군 봉성면,2020-05-10,15.6,20.5,10.3,82.4,276.6,0.9,8.0,0.0,,14.7,393,15.8,17.3,,2020,5,10
131,755851A002,봉화군 봉성면,2020-05-11,17.0,24.2,9.1,61.1,245.8,1.4,10.2,0.0,,27.6,457,17.2,17.2,,2020,5,11
132,755851A002,봉화군 봉성면,2020-05-12,16.1,22.2,10.3,56.5,238.0,2.1,9.8,0.0,,22.2,26,16.4,17.8,,2020,5,12
133,755851A002,봉화군 봉성면,2020-05-13,14.9,23.1,4.7,53.5,252.3,1.2,9.0,0.0,,29.4,214,15.2,17.3,,2020,5,13
134,755851A002,봉화군 봉성면,2020-05-14,16.0,25.4,4.9,54.8,224.4,0.5,8.3,0.0,,21.7,0,16.5,17.6,,2020,5,14
135,755851A002,봉화군 봉성면,2020-05-15,14.1,16.3,13.0,86.5,43.1,0.2,4.6,17.5,,3.6,972,13.8,17.1,,2020,5,15
136,755851A002,봉화군 봉성면,2020-05-16,17.4,23.1,13.0,85.4,219.6,0.3,4.2,0.0,,17.8,589,17.9,17.7,,2020,5,16
137,755851A002,봉화군 봉성면,2020-05-17,20.0,27.1,14.4,81.2,229.4,0.3,4.9,0.0,,24.4,394,20.8,19.9,,2020,5,17
138,755851A002,봉화군 봉성면,2020-05-18,18.4,23.2,14.6,80.7,95.4,0.9,6.5,45.5,,11.4,232,18.6,19.9,,2020,5,18
139,755851A002,봉화군 봉성면,2020-05-19,13.0,16.6,7.2,82.6,248.4,1.0,6.5,14.0,,11.4,593,13.2,17.2,,2020,5,19
140,755851A002,봉화군 봉성면,2020-05-20,10.9,16.8,4.6,77.7,318.6,0.7,7.0,0.0,,13.7,297,11.1,15.3,,2020,5,20
141,755851A002,봉화군 봉성면,2020-05-21,13.5,21.7,4.5,71.2,211.2,0.9,6.0,0.0,,27.7,449,14.2,16.0,,2020,5,21
142,755851A002,봉화군 봉성면,2020-05-22,15.5,22.1,8.7,74.5,224.0,0.8,4.9,0.0,,19.4,80,16.4,17.7,,2020,5,22
143,755851A002,봉화군 봉성면,2020-05-23,17.0,25.1,11.5,68.1,225.1,0.9,8.2,0.0,,27.9,0,17.9,19.7,,2020,5,23
144,755851A002,봉화군 봉성면,2020-05-24,17.5,24.4,12.0,75.0,236.4,1.3,7.8,0.5,,18.9,92,17.7,19.6,,2020,5,24
145,755851A002,봉화군 봉성면,2020-05-25,16.9,22.6,8.9,76.2,218.3,1.0,5.0,0.0,,19.6,469,17.4,19.2,,2020,5,25
146,755851A002,봉화군 봉성면,2020-05-26,18.3,25.3,11.3,72.3,213.0,0.9,6.4,0.0,,22.4,487,19.3,20.3,,2020,5,26
147,755851A002,봉화군 봉성면,2020-05-27,18.1,24.6,11.4,59.6,225.1,1.3,5.8,0.0,,29.1,0,19.0,21.3,,2020,5,27
148,755851A002,봉화군 봉성면,2020-05-28,16.8,24.5,9.5,64.7,238.2,0.8,6.0,0.0,,22.3,380,17.6,20.8,,2020,5,28
149,755851A002,봉화군 봉성면,2020-05-29,16.7,27.0,8.8,73.7,251.0,0.8,9.7,1.0,,26.5,606,17.5,21.0,,2020,5,29
150,755851A002,봉화군 봉성면,2020-05-30,19.1,28.1,9.5,64.0,215.1,0.8,5.4,0.0,,30.3,458,19.6,21.4,,2020,5,30
151,755851A002,봉화군 봉성면,2020-05-31,20.0,28.2,10.3,64.5,211.0,0.7,6.5,0.0,,26.8,359,20.7,22.2,,2020,5,31
