no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,755851A001,봉화군 석포면,2021-02-01,4.7,7.9,1.2,58.6,219.5,1.9,13.3,11.5,106.0,6.9,478.0,,-0.7,4.6,2021,2,1
33,755851A001,봉화군 석포면,2021-02-02,-5.3,1.5,-8.6,26.6,221.9,2.0,11.1,0.0,405.0,11.5,0.0,,-0.3,10.5,2021,2,2
34,755851A001,봉화군 석포면,2021-02-03,-6.8,-1.1,-13.3,36.6,206.4,1.2,9.9,0.0,407.0,11.5,0.0,,-2.2,6.2,2021,2,3
35,755851A001,봉화군 석포면,2021-02-04,-3.2,1.4,-7.8,36.1,207.1,1.7,13.1,0.0,411.0,11.9,0.0,,-2.5,5.4,2021,2,4
36,755851A001,봉화군 석포면,2021-02-05,-1.4,4.1,-9.1,43.0,209.7,1.5,10.0,0.0,371.0,9.7,0.0,,-2.5,5.3,2021,2,5
37,755851A001,봉화군 석포면,2021-02-06,2.4,8.0,-3.3,53.2,217.9,1.1,11.7,0.0,326.0,9.6,155.0,,-1.6,5.9,2021,2,6
38,755851A001,봉화군 석포면,2021-02-07,3.2,8.3,-4.0,51.7,220.4,1.3,12.0,0.0,404.0,10.2,0.0,,-0.6,6.8,2021,2,7
39,755851A001,봉화군 석포면,2021-02-08,-5.2,-0.1,-9.8,39.2,222.5,1.0,8.5,0.0,421.0,12.2,0.0,,-1.4,5.7,2021,2,8
40,755851A001,봉화군 석포면,2021-02-09,-4.1,3.7,-11.9,36.1,216.2,1.2,10.6,0.0,425.0,12.5,0.0,,-3.0,4.0,2021,2,9
41,755851A001,봉화군 석포면,2021-02-10,-1.4,5.3,-8.1,53.8,188.6,0.9,8.2,0.0,427.0,11.9,0.0,,-2.7,4.6,2021,2,10
42,755851A001,봉화군 석포면,2021-02-11,0.5,11.6,-8.0,54.9,195.4,0.4,4.9,0.0,428.0,11.2,18.0,,-1.9,5.2,2021,2,11
43,755851A001,봉화군 석포면,2021-02-12,2.0,15.1,-6.1,57.1,206.1,0.5,6.9,0.0,405.0,12.1,42.0,,-1.2,5.4,2021,2,12
44,755851A001,봉화군 석포면,2021-02-13,1.8,14.9,-7.0,53.1,192.1,0.4,5.5,0.0,435.0,12.3,6.0,,-1.0,5.6,2021,2,13
45,755851A001,봉화군 석포면,2021-02-14,4.1,13.2,-4.2,62.6,187.8,0.5,5.1,0.5,113.0,7.3,207.0,,-0.6,6.3,2021,2,14
46,755851A001,봉화군 석포면,2021-02-15,0.7,5.5,-7.3,51.7,231.4,1.9,13.8,0.0,218.0,8.4,535.0,,-0.3,8.0,2021,2,15
47,755851A001,봉화군 석포면,2021-02-16,-6.9,-4.2,-10.5,42.0,219.2,2.1,13.5,0.0,133.0,7.1,0.0,,-0.4,8.4,2021,2,16
48,755851A001,봉화군 석포면,2021-02-17,-11.3,-7.8,-13.9,35.6,216.1,2.0,13.1,0.0,429.0,13.5,0.0,,-2.8,4.6,2021,2,17
49,755851A001,봉화군 석포면,2021-02-18,-10.2,-1.6,-17.0,47.2,198.0,0.7,6.5,0.0,433.0,13.4,0.0,,-4.4,4.1,2021,2,18
50,755851A001,봉화군 석포면,2021-02-19,-2.5,6.6,-14.2,48.7,202.0,1.5,10.8,0.0,439.0,13.6,0.0,,-3.7,4.5,2021,2,19
51,755851A001,봉화군 석포면,2021-02-20,5.9,12.8,-1.8,45.0,225.9,1.8,13.6,0.0,443.0,13.1,0.0,,-1.1,6.2,2021,2,20
52,755851A001,봉화군 석포면,2021-02-21,8.5,18.2,-2.3,42.6,189.7,1.3,10.4,0.0,446.0,12.9,0.0,,-0.6,7.2,2021,2,21
53,755851A001,봉화군 석포면,2021-02-22,10.2,16.8,-1.0,31.4,218.9,1.4,11.4,0.0,449.0,12.7,0.0,,-0.3,9.2,2021,2,22
54,755851A001,봉화군 석포면,2021-02-23,-0.8,8.3,-6.9,41.7,232.4,0.6,5.6,0.0,450.0,13.9,0.0,,-0.2,12.1,2021,2,23
55,755851A001,봉화군 석포면,2021-02-24,-1.3,7.4,-7.1,54.0,217.1,0.5,7.5,0.0,392.0,13.3,0.0,,-0.2,12.7,2021,2,24
56,755851A001,봉화군 석포면,2021-02-25,2.1,7.3,-3.7,59.4,184.2,0.6,5.1,0.0,1.0,6.8,0.0,,-0.2,13.5,2021,2,25
57,755851A001,봉화군 석포면,2021-02-26,1.2,7.2,-4.1,62.9,212.3,0.7,7.7,0.0,298.0,11.0,95.0,,-0.1,14.8,2021,2,26
58,755851A001,봉화군 석포면,2021-02-27,0.8,2.9,-5.0,74.6,237.0,0.7,6.5,0.0,12.0,3.7,482.0,,-0.1,16.1,2021,2,27
59,755851A001,봉화군 석포면,2021-02-28,2.2,12.5,-8.0,49.2,185.4,0.8,7.7,0.0,339.0,12.6,119.0,,-0.1,16.0,2021,2,28
