no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,036229B007,봉화군 외삼리,2022-06-01,20.3,29.9,10.6,46.4,249.6,0.9,9.1,0.0,719,28.8,0,,20.9,50.0,2022,6,1
153,036229B007,봉화군 외삼리,2022-06-02,19.6,29.9,9.1,50.6,267.5,0.8,7.0,0.0,720,28.2,0,,21.1,50.0,2022,6,2
154,036229B007,봉화군 외삼리,2022-06-03,20.4,31.0,12.6,65.0,136.2,1.1,8.7,0.0,666,26.5,0,,21.6,50.0,2022,6,3
155,036229B007,봉화군 외삼리,2022-06-04,20.3,27.2,13.0,68.9,170.2,0.7,6.0,0.0,473,21.5,0,,22.0,50.0,2022,6,4
156,036229B007,봉화군 외삼리,2022-06-05,16.3,19.0,14.8,88.9,130.5,0.6,6.4,5.5,0,4.5,763,,21.1,50.0,2022,6,5
157,036229B007,봉화군 외삼리,2022-06-06,16.2,19.9,10.0,85.3,123.8,0.9,6.5,3.5,153,11.8,415,,20.3,50.0,2022,6,6
158,036229B007,봉화군 외삼리,2022-06-07,13.8,20.0,7.6,81.9,129.7,0.7,5.6,0.0,210,11.6,494,,19.3,50.0,2022,6,7
159,036229B007,봉화군 외삼리,2022-06-08,15.7,21.5,11.9,79.4,196.9,0.6,4.4,0.0,135,13.8,0,,19.2,50.0,2022,6,8
160,036229B007,봉화군 외삼리,2022-06-09,17.6,24.9,10.8,78.7,232.1,0.7,5.2,0.0,318,18.7,196,,20.1,50.0,2022,6,9
161,036229B007,봉화군 외삼리,2022-06-10,19.9,28.3,11.6,75.0,243.1,0.6,5.5,0.0,549,23.7,433,,20.8,50.0,2022,6,10
162,036229B007,봉화군 외삼리,2022-06-11,20.1,26.8,15.7,75.2,128.7,1.0,7.7,0.5,391,18.7,79,,21.5,50.0,2022,6,11
163,036229B007,봉화군 외삼리,2022-06-12,19.0,26.0,12.3,74.5,139.1,0.8,4.9,0.0,358,19.9,264,,21.1,50.0,2022,6,12
164,036229B007,봉화군 외삼리,2022-06-13,18.8,24.7,14.2,70.2,133.6,1.3,8.6,0.0,588,24.9,0,,21.5,50.0,2022,6,13
165,036229B007,봉화군 외삼리,2022-06-14,16.0,19.2,13.2,81.1,128.5,1.1,7.1,5.0,14,8.0,466,,20.5,50.0,2022,6,14
166,036229B007,봉화군 외삼리,2022-06-15,15.9,20.9,12.8,95.3,239.7,0.3,2.8,5.0,42,8.7,930,,19.8,50.0,2022,6,15
167,036229B007,봉화군 외삼리,2022-06-16,18.4,22.8,13.2,84.3,267.8,0.8,8.1,0.0,207,16.0,685,,20.6,50.0,2022,6,16
168,036229B007,봉화군 외삼리,2022-06-17,21.0,30.2,11.3,75.4,260.7,0.7,7.3,0.0,679,26.9,474,,21.2,50.0,2022,6,17
169,036229B007,봉화군 외삼리,2022-06-18,23.8,30.9,17.4,75.1,268.2,0.7,6.0,0.0,561,24.0,30,,22.8,50.0,2022,6,18
170,036229B007,봉화군 외삼리,2022-06-19,24.3,32.1,17.8,77.3,268.5,0.8,6.5,0.0,594,25.3,346,,23.6,50.0,2022,6,19
171,036229B007,봉화군 외삼리,2022-06-20,24.9,33.0,17.0,73.3,220.2,0.9,6.9,0.0,646,25.5,374,,24.2,50.0,2022,6,20
172,036229B007,봉화군 외삼리,2022-06-21,26.1,34.4,18.6,71.5,141.7,0.8,6.7,0.0,575,23.5,156,,24.8,50.0,2022,6,21
173,036229B007,봉화군 외삼리,2022-06-22,26.4,34.4,19.1,70.9,261.5,0.8,7.5,0.0,668,25.7,123,,25.2,50.0,2022,6,22
174,036229B007,봉화군 외삼리,2022-06-23,23.1,27.4,19.3,91.8,250.7,0.3,4.0,11.0,121,8.5,686,,24.7,50.0,2022,6,23
175,036229B007,봉화군 외삼리,2022-06-24,24.5,28.8,19.9,82.7,265.6,1.3,7.3,12.0,335,20.2,483,,24.8,50.0,2022,6,24
176,036229B007,봉화군 외삼리,2022-06-25,23.5,31.6,16.8,83.8,247.7,0.6,7.1,2.5,383,20.2,753,,24.9,50.0,2022,6,25
177,036229B007,봉화군 외삼리,2022-06-26,24.3,28.6,21.3,91.9,270.5,0.4,6.5,0.5,72,9.2,465,,25.1,50.0,2022,6,26
178,036229B007,봉화군 외삼리,2022-06-27,23.7,27.9,21.6,98.1,222.4,0.4,5.3,40.0,21,7.0,1052,,25.1,50.0,2022,6,27
179,036229B007,봉화군 외삼리,2022-06-28,25.7,30.2,22.4,85.0,246.4,0.8,6.0,0.0,72,10.5,132,,25.1,50.0,2022,6,28
180,036229B007,봉화군 외삼리,2022-06-29,25.8,30.8,23.4,86.8,259.2,0.8,7.3,10.5,168,13.1,370,,25.4,50.0,2022,6,29
181,036229B007,봉화군 외삼리,2022-06-30,23.6,28.2,20.7,97.4,217.0,0.4,6.3,28.0,95,11.2,1207,,25.7,50.0,2022,6,30
