stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
618803A001,부산시 강서구,2024-01-01,4.6,11.1,-1.1,17.2,59.1,1.5,5.6,0.5,366,9.6,0,,,5.0
618803A001,부산시 강서구,2024-01-02,6.5,11.1,2.7,13.8,280.9,1.7,9.2,0.0,478,10.3,150,,,5.0
618803A001,부산시 강서구,2024-01-03,4.8,7.9,0.9,12.4,290.6,2.4,10.5,0.0,298,7.7,0,,,5.0
618803A001,부산시 강서구,2024-01-04,2.8,9.5,-2.8,10.0,256.6,1.5,6.4,0.0,548,12.0,0,,,5.0
618803A001,부산시 강서구,2024-01-05,3.6,13.0,-4.0,19.0,268.3,1.1,7.9,0.0,522,10.2,0,,,5.0
618803A001,부산시 강서구,2024-01-06,3.3,11.0,-2.5,25.1,310.4,1.2,8.8,0.0,443,10.8,0,,,5.0
618803A001,부산시 강서구,2024-01-07,1.7,4.9,-3.7,1.9,293.8,2.5,12.6,0.0,546,11.9,0,,,5.0
618803A001,부산시 강서구,2024-01-08,-1.6,5.0,-7.3,6.3,224.9,1.2,6.4,0.0,529,12.2,0,,,5.0
618803A001,부산시 강서구,2024-01-09,0.1,5.4,-6.0,15.0,53.1,0.5,3.5,4.5,63,4.5,114,,,5.0
618803A001,부산시 강서구,2024-01-10,3.0,8.1,-1.8,24.1,5.4,1.5,8.4,0.5,349,9.1,520,,,5.0
618803A001,부산시 강서구,2024-01-11,2.6,9.0,-2.8,21.3,273.1,1.3,6.2,0.0,544,12.3,0,,,5.0
618803A001,부산시 강서구,2024-01-12,2.4,11.2,-3.5,22.2,272.0,0.9,6.6,0.0,537,11.3,0,,,5.0
618803A001,부산시 강서구,2024-01-13,2.6,9.8,-3.3,10.1,354.5,1.9,8.6,0.0,553,12.3,0,,,5.0
618803A001,부산시 강서구,2024-01-14,6.0,13.4,-3.8,13.8,236.0,2.7,13.3,0.0,505,10.7,0,,,5.0
618803A001,부산시 강서구,2024-01-15,5.2,9.7,-2.2,4.4,301.5,2.6,8.8,0.0,558,12.8,0,,,5.0
618803A001,부산시 강서구,2024-01-16,2.4,10.3,-5.7,8.7,60.8,1.4,6.0,0.0,535,11.8,0,,,5.0
618803A001,부산시 강서구,2024-01-17,4.5,8.9,-1.7,20.2,357.7,0.5,2.4,0.0,23,3.0,64,,,5.0
618803A001,부산시 강서구,2024-01-18,9.6,13.1,6.2,27.3,54.7,2.7,11.6,11.5,0,0.9,1284,,,5.0
618803A001,부산시 강서구,2024-01-19,7.2,8.6,6.3,14.2,45.0,5.2,12.1,0.5,154,7.6,66,,,5.0
618803A001,부산시 강서구,2024-01-20,7.4,8.9,5.8,23.7,41.1,4.6,11.4,11.5,0,1.6,357,,,5.0
618803A001,부산시 강서구,2024-01-21,7.4,9.1,6.2,16.8,28.4,3.3,9.5,0.0,116,7.9,337,,,5.0
618803A001,부산시 강서구,2024-01-22,1.5,6.4,-4.7,9.3,286.3,3.8,12.2,0.0,534,12.4,0,,,5.0
618803A001,부산시 강서구,2024-01-23,-4.7,-0.6,-7.1,0.6,284.8,4.6,14.1,0.0,564,14.1,0,,,5.0
618803A001,부산시 강서구,2024-01-24,-3.3,1.7,-6.7,0.0,284.8,2.9,9.5,0.0,567,13.9,0,,,5.0
618803A001,부산시 강서구,2024-01-25,-2.8,3.6,-7.5,4.5,280.7,1.9,7.6,0.0,569,12.7,0,,,5.0
618803A001,부산시 강서구,2024-01-26,0.8,7.4,-3.9,5.8,266.3,2.3,7.9,0.0,566,13.7,0,,,5.0
618803A001,부산시 강서구,2024-01-27,2.4,8.8,-4.3,11.0,273.3,2.0,8.1,0.0,566,13.7,0,,,5.0
618803A001,부산시 강서구,2024-01-28,1.9,7.6,-2.9,12.6,291.2,1.7,8.7,0.0,565,13.9,0,,,5.0
618803A001,부산시 강서구,2024-01-29,1.0,8.4,-5.3,14.6,257.8,1.1,5.3,0.0,541,13.4,0,,,5.0
618803A001,부산시 강서구,2024-01-30,3.9,11.6,-4.0,11.8,87.1,1.2,7.1,0.0,468,12.4,0,,,5.0
618803A001,부산시 강서구,2024-01-31,7.9,14.8,4.9,27.0,173.9,0.9,5.4,1.5,290,9.5,749,,,5.0
618803A001,부산시 강서구,2024-02-01,7.2,9.0,4.7,23.3,44.6,2.6,11.1,1.5,0,3.3,699,,,5.0
618803A001,부산시 강서구,2024-02-02,6.3,9.5,4.4,17.4,47.0,2.9,7.7,0.0,106,7.1,0,,,5.0
618803A001,부산시 강서구,2024-02-03,6.9,9.4,5.1,16.8,42.7,2.8,6.9,3.0,32,5.7,198,,,5.0
618803A001,부산시 강서구,2024-02-04,7.5,10.7,4.7,22.5,39.6,3.0,9.0,2.5,210,8.2,508,,,5.0
618803A001,부산시 강서구,2024-02-05,6.9,8.5,4.4,23.3,42.7,4.3,11.6,7.5,0,2.1,543,,,5.0
618803A001,부산시 강서구,2024-02-06,5.0,7.5,3.1,17.3,38.0,2.0,7.7,0.0,20,5.6,0,,,5.0
618803A001,부산시 강서구,2024-02-07,3.9,8.8,-1.2,43.3,324.5,1.7,6.8,0.0,569,14.8,0,,,24.0
618803A001,부산시 강서구,2024-02-08,3.7,9.6,-2.3,64.9,243.6,1.1,6.2,0.0,546,13.6,0,,,35.7
618803A001,부산시 강서구,2024-02-09,4.2,10.4,-0.8,56.5,278.3,1.2,5.4,0.0,258,10.6,0,,,34.4
618803A001,부산시 강서구,2024-02-10,3.5,9.6,-1.9,49.2,276.9,2.1,9.5,0.0,581,15.1,0,,,33.3
618803A001,부산시 강서구,2024-02-11,3.5,9.6,-3.5,50.3,288.9,2.1,11.0,0.0,544,13.3,0,,,33.9
618803A001,부산시 강서구,2024-02-12,3.7,10.9,-3.6,56.4,191.2,1.7,8.1,0.0,603,16.0,0,,,33.5
618803A001,부산시 강서구,2024-02-13,7.8,16.5,-2.2,66.6,236.1,2.8,11.8,0.0,504,15.0,0,,,32.3
618803A001,부산시 강서구,2024-02-14,11.2,16.1,4.8,83.3,175.6,1.0,5.0,3.0,5,4.3,629,,,30.9
618803A001,부산시 강서구,2024-02-15,11.8,18.8,4.8,74.7,268.7,2.7,10.2,0.0,287,11.1,499,,,33.2
618803A001,부산시 강서구,2024-02-16,5.5,10.6,1.8,52.8,35.3,2.7,8.8,0.0,609,17.1,0,,,33.7
618803A001,부산시 강서구,2024-02-17,5.7,13.1,-1.9,67.4,173.9,1.6,6.2,0.0,614,17.1,0,,,31.7
618803A001,부산시 강서구,2024-02-18,8.4,14.5,-1.0,79.4,111.8,1.1,5.3,11.5,142,6.4,168,,,30.7
618803A001,부산시 강서구,2024-02-19,16.1,20.3,12.6,81.2,211.4,2.8,10.5,51.0,216,8.9,628,,,47.3
618803A001,부산시 강서구,2024-02-20,9.4,13.3,7.2,73.0,46.2,4.3,11.8,2.0,0,2.0,0,,,37.9
618803A001,부산시 강서구,2024-02-21,7.3,8.3,5.8,68.2,46.1,5.1,11.3,3.5,0,2.2,1,,,30.9
618803A001,부산시 강서구,2024-02-22,4.5,6.0,3.5,65.5,34.5,4.9,11.1,1.5,0,3.6,0,,,30.3
618803A001,부산시 강서구,2024-02-23,4.1,6.1,3.3,58.2,28.5,4.8,11.5,0.0,36,8.4,0,,,29.4
618803A001,부산시 강서구,2024-02-24,4.8,7.0,3.2,53.4,31.3,3.7,9.8,0.0,22,6.9,0,,,29.2
618803A001,부산시 강서구,2024-02-25,5.8,9.0,2.7,69.6,317.6,1.9,7.1,3.5,120,7.8,426,,,30.5
618803A001,부산시 강서구,2024-02-26,5.1,10.4,-0.4,61.6,42.8,3.0,10.3,0.0,462,16.1,0,,,29.8
618803A001,부산시 강서구,2024-02-27,5.0,7.2,3.5,47.7,31.6,3.6,9.8,0.0,246,9.6,0,,,28.6
618803A001,부산시 강서구,2024-02-28,5.7,11.7,-1.1,55.7,88.3,1.9,8.7,0.0,578,16.0,0,,,27.8
618803A001,부산시 강서구,2024-03-01,2.6,5.6,-1.8,35.4,297.2,3.5,12.8,0.0,631,18.9,498,,,30.7
618803A001,부산시 강서구,2024-03-02,-0.1,5.3,-4.8,34.8,271.2,2.7,18.8,0.0,638,19.8,0,,,29.1
618803A001,부산시 강서구,2024-03-03,4.2,10.8,-2.2,58.8,241.5,1.7,9.2,0.0,471,14.5,0,,,28.2
618803A001,부산시 강서구,2024-03-04,7.0,14.8,-1.2,56.0,143.7,1.3,8.1,0.0,408,14.5,0,,,27.5
618803A001,부산시 강서구,2024-03-05,7.9,10.3,6.2,71.0,39.6,4.1,10.4,7.5,0,1.6,619,,,30.4
618803A001,부산시 강서구,2024-03-06,7.9,10.5,5.8,58.5,36.3,4.9,12.8,0.0,389,15.2,0,,,30.1
618803A001,부산시 강서구,2024-03-07,7.3,10.6,4.2,55.4,3.9,2.4,6.9,0.0,212,10.8,0,,,28.7
618803A001,부산시 강서구,2024-03-08,5.4,10.0,1.1,29.6,280.3,3.7,13.0,0.0,653,20.2,0,,,27.4
618803A001,부산시 강서구,2024-03-09,3.8,9.3,-1.9,37.4,263.9,2.2,7.7,0.0,655,20.5,0,,,26.6
618803A001,부산시 강서구,2024-03-10,5.5,12.8,-2.0,47.3,247.2,1.9,7.0,0.0,661,21.1,0,,,25.8
618803A001,부산시 강서구,2024-03-11,7.3,12.6,-1.0,61.9,231.6,1.8,9.3,1.0,255,10.5,187,,,25.2
618803A001,부산시 강서구,2024-03-12,7.4,13.5,2.4,69.4,43.3,1.7,8.8,1.5,310,11.9,830,,,24.9
618803A001,부산시 강서구,2024-03-13,7.1,14.1,0.7,59.2,215.0,2.1,9.4,0.0,654,20.4,546,,,25.2
618803A001,부산시 강서구,2024-03-14,8.6,16.4,1.7,41.5,257.3,1.9,8.5,0.0,480,18.9,0,,,24.7
618803A001,부산시 강서구,2024-03-15,9.8,18.9,0.3,45.0,224.9,1.9,8.5,0.0,675,21.7,0,,,26.0
618803A001,부산시 강서구,2024-03-16,12.0,19.5,2.1,45.2,196.0,2.1,8.2,0.0,637,20.2,0,,,28.6
618803A001,부산시 강서구,2024-03-17,14.5,21.4,9.0,44.9,326.8,3.0,10.3,0.0,517,16.4,0,,,28.4
618803A001,부산시 강서구,2024-03-18,9.5,13.9,5.5,45.3,105.7,2.2,8.0,0.0,644,20.8,0,,,27.9
618803A001,부산시 강서구,2024-03-19,10.6,15.7,6.4,46.2,259.8,3.5,13.5,0.0,260,14.2,0,,,27.5
618803A001,부산시 강서구,2024-03-20,7.2,11.5,3.9,31.0,292.6,3.5,13.4,0.0,650,21.2,0,,,27.3
618803A001,부산시 강서구,2024-03-21,6.4,12.6,0.8,39.5,281.5,2.7,10.5,0.0,695,22.5,0,,,27.1
618803A001,부산시 강서구,2024-03-22,9.8,14.6,2.7,61.6,193.0,3.5,10.4,5.5,469,16.7,175,,,27.0
618803A001,부산시 강서구,2024-03-23,16.6,22.9,12.4,68.0,193.0,3.5,11.3,1.0,646,20.6,534,,,29.5
618803A001,부산시 강서구,2024-03-24,11.8,13.5,10.2,69.5,45.5,3.4,9.2,3.5,0,3.8,338,,,29.8
618803A001,부산시 강서구,2024-03-25,10.9,12.1,9.0,72.9,42.5,4.2,11.7,6.5,0,3.3,191,,,32.0
618803A001,부산시 강서구,2024-03-26,9.0,11.4,6.1,68.1,38.1,4.2,12.4,10.5,76,10.9,85,,,37.5
618803A001,부산시 강서구,2024-03-27,9.1,15.0,3.0,70.7,184.7,1.8,7.1,0.0,446,17.5,0,,,35.1
618803A001,부산시 강서구,2024-03-28,11.2,14.4,8.8,81.5,222.8,2.3,11.4,51.5,0,1.3,716,,,41.3
618803A001,부산시 강서구,2024-03-29,12.3,16.9,4.8,71.8,228.3,3.8,12.8,0.0,596,18.7,394,,,44.7
618803A001,부산시 강서구,2024-03-30,12.6,16.9,4.8,58.4,218.2,2.5,9.6,0.0,349,14.2,0,,,37.5
618803A001,부산시 강서구,2024-03-31,12.4,18.4,7.9,72.1,204.3,1.1,5.6,0.0,333,16.2,0,,,35.5
618803A001,부산시 강서구,2024-04-01,12.9,20.3,5.5,62.0,206.3,1.9,8.7,0.0,700,23.7,0,,,34.3
618803A001,부산시 강서구,2024-04-02,13.7,19.6,6.1,67.4,203.2,1.3,6.8,4.5,236,13.5,123,,,33.3
618803A001,부산시 강서구,2024-04-03,13.4,14.9,11.8,82.7,41.7,2.9,8.1,54.0,0,2.2,1017,,,46.1
618803A001,부산시 강서구,2024-04-04,13.3,16.8,10.2,60.1,43.9,3.4,8.7,0.0,181,13.6,486,,,42.6
618803A001,부산시 강서구,2024-04-05,13.7,18.1,9.8,56.3,74.6,2.8,7.0,0.0,591,22.5,0,,,36.5
