no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
121,5798240.0,부안군 계화면,2019-05-01,11.8,15.7,8.7,86.9,264.2,3.4,8.3,0.0,,22.4,0,14.1,15.9,29.9,2019,5,1
122,5798240.0,부안군 계화면,2019-05-02,12.4,19.7,5.8,75.6,242.6,2.7,7.7,0.0,,29.5,280,14.6,16.3,28.3,2019,5,2
123,5798240.0,부안군 계화면,2019-05-03,14.1,22.5,5.8,74.7,265.2,2.4,8.7,0.0,,28.2,111,15.8,16.8,26.7,2019,5,3
124,5798240.0,부안군 계화면,2019-05-04,15.7,24.9,7.9,70.1,255.0,2.2,6.8,0.0,,23.5,170,16.8,17.3,25.5,2019,5,4
125,5798240.0,부안군 계화면,2019-05-05,16.2,23.4,10.1,71.5,261.3,2.8,8.5,0.0,,27.2,155,17.8,18.0,24.5,2019,5,5
126,5798240.0,부안군 계화면,2019-05-06,12.8,17.5,7.9,61.0,306.0,5.7,14.2,0.0,,30.1,0,14.8,17.7,23.7,2019,5,6
127,5798240.0,부안군 계화면,2019-05-07,12.0,20.1,4.5,68.6,244.3,2.5,8.4,0.0,,29.9,273,14.3,17.0,23.1,2019,5,7
128,5798240.0,부안군 계화면,2019-05-08,13.5,20.9,6.1,60.4,234.1,2.5,6.6,0.0,,21.5,359,14.9,17.1,22.5,2019,5,8
129,5798240.0,부안군 계화면,2019-05-09,14.3,20.8,9.2,61.2,278.2,2.2,7.1,0.0,,28.7,119,16.4,17.5,21.9,2019,5,9
130,5798240.0,부안군 계화면,2019-05-10,14.4,22.4,7.4,68.8,276.3,2.7,13.1,0.0,,27.5,325,16.7,17.7,21.3,2019,5,10
131,5798240.0,부안군 계화면,2019-05-11,15.4,21.3,10.0,64.4,264.5,2.7,7.9,0.0,,28.3,11,17.8,18.5,20.8,2019,5,11
132,5798240.0,부안군 계화면,2019-05-12,17.2,23.8,11.2,63.8,273.5,1.9,6.7,0.0,,26.0,0,19.1,19.1,20.2,2019,5,12
133,5798240.0,부안군 계화면,2019-05-13,17.6,26.8,11.3,71.9,278.5,2.4,11.8,0.0,,23.0,560,19.2,19.4,19.7,2019,5,13
134,5798240.0,부안군 계화면,2019-05-14,19.4,26.5,13.9,76.0,288.5,1.9,7.3,0.0,,27.0,609,21.6,20.2,19.2,2019,5,14
135,5798240.0,부안군 계화면,2019-05-15,20.3,27.3,15.0,73.8,293.0,2.2,10.1,0.0,,27.6,503,22.4,21.2,18.7,2019,5,15
136,5798240.0,부안군 계화면,2019-05-16,20.9,28.0,15.6,72.7,261.4,2.1,7.5,0.0,,25.3,412,22.7,21.8,18.2,2019,5,16
137,5798240.0,부안군 계화면,2019-05-17,20.8,28.2,15.9,76.0,199.0,2.0,8.5,4.0,,15.2,591,22.2,21.6,17.6,2019,5,17
138,5798240.0,부안군 계화면,2019-05-18,19.6,23.1,16.5,82.6,85.3,3.9,8.8,17.5,,10.0,815,19.4,20.5,22.7,2019,5,18
139,5798240.0,부안군 계화면,2019-05-19,21.4,26.8,18.1,81.0,107.1,2.7,7.6,2.5,,12.3,212,21.7,20.7,24.4,2019,5,19
140,5798240.0,부안군 계화면,2019-05-20,16.2,19.0,11.5,74.4,274.8,5.2,11.7,1.5,,26.3,365,18.3,21.1,24.2,2019,5,20
141,5798240.0,부안군 계화면,2019-05-21,16.2,21.2,9.7,71.0,238.9,4.5,10.4,0.0,,30.8,0,19.1,20.4,23.6,2019,5,21
142,5798240.0,부안군 계화면,2019-05-22,18.9,25.3,11.7,69.0,244.6,3.4,20.0,0.0,,30.5,38,21.9,21.0,23.0,2019,5,22
143,5798240.0,부안군 계화면,2019-05-23,20.2,25.4,14.2,72.3,253.2,3.6,9.2,0.0,,29.8,37,23.7,21.9,22.4,2019,5,23
144,5798240.0,부안군 계화면,2019-05-24,22.0,30.5,15.4,71.7,237.9,2.6,8.5,0.0,,27.0,397,25.0,22.7,21.8,2019,5,24
145,5798240.0,부안군 계화면,2019-05-25,21.7,27.9,15.8,72.1,258.5,2.1,7.5,0.0,,20.2,118,23.6,22.6,21.3,2019,5,25
146,5798240.0,부안군 계화면,2019-05-26,23.3,31.0,17.3,64.1,163.3,3.1,11.3,0.5,,25.0,420,25.9,22.9,20.9,2019,5,26
147,5798240.0,부안군 계화면,2019-05-27,18.1,21.0,14.7,90.1,225.9,5.2,12.9,25.0,,3.3,1026,18.0,21.5,26.3,2019,5,27
148,5798240.0,부안군 계화면,2019-05-28,17.1,21.2,12.9,70.7,292.0,3.0,8.1,0.0,,21.4,0,19.6,20.0,27.0,2019,5,28
149,5798240.0,부안군 계화면,2019-05-29,17.9,23.1,12.2,78.3,247.2,3.3,9.9,0.0,,30.2,16,21.3,20.7,25.9,2019,5,29
150,5798240.0,부안군 계화면,2019-05-30,19.3,26.0,13.7,64.5,245.2,2.9,9.3,0.0,,19.4,520,21.1,21.1,24.9,2019,5,30
151,5798240.0,부안군 계화면,2019-05-31,18.0,21.9,14.9,72.6,251.9,3.2,9.6,0.5,,29.7,330,21.5,21.5,24.3,2019,5,31
