no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
182,323814A001,부여군 규암면,2021-07-01,26.6,32.8,20.6,76.0,67.1,0.5,3.5,0.0,467,21.5,0,22.9,,26.2,2021,7,1
183,323814A001,부여군 규암면,2021-07-02,27.2,32.7,22.5,73.6,57.5,0.6,4.2,0.0,510,22.9,0,22.9,,25.3,2021,7,2
184,323814A001,부여군 규암면,2021-07-03,24.0,27.6,21.4,85.7,66.4,1.2,11.2,17.0,0,6.7,585,22.7,,30.0,2021,7,3
185,323814A001,부여군 규암면,2021-07-04,22.5,24.9,21.2,95.2,204.2,1.2,12.7,0.5,0,5.8,232,22.6,,42.6,2021,7,4
186,323814A001,부여군 규암면,2021-07-05,22.0,25.3,19.8,91.8,137.7,0.3,10.8,0.0,0,7.3,408,22.5,,37.6,2021,7,5
187,323814A001,부여군 규암면,2021-07-06,23.1,25.7,20.8,94.6,71.6,0.2,6.4,22.5,1,5.5,479,22.6,,39.5,2021,7,6
188,323814A001,부여군 규암면,2021-07-07,25.8,28.4,23.2,93.9,187.6,0.4,3.2,14.5,0,7.8,533,22.8,,41.6,2021,7,7
189,323814A001,부여군 규암면,2021-07-08,25.8,30.8,23.0,88.4,197.0,0.4,8.9,42.5,187,15.7,423,22.8,,41.7,2021,7,8
190,323814A001,부여군 규암면,2021-07-09,26.0,31.5,22.7,83.9,209.7,0.4,3.6,7.5,486,22.6,392,22.9,,40.1,2021,7,9
191,323814A001,부여군 규암면,2021-07-10,26.8,32.2,23.4,85.5,211.6,0.5,6.6,0.0,232,17.4,0,22.9,,35.6,2021,7,10
192,323814A001,부여군 규암면,2021-07-11,26.3,31.4,23.5,90.5,216.4,0.3,2.7,0.0,94,9.6,9,22.8,,33.4,2021,7,11
193,323814A001,부여군 규암면,2021-07-12,28.2,34.3,24.6,86.2,190.5,0.3,4.8,0.0,262,16.7,0,23.0,,32.3,2021,7,12
194,323814A001,부여군 규암면,2021-07-13,28.4,34.5,23.9,82.3,180.2,0.5,4.2,0.0,235,18.1,296,23.0,,31.0,2021,7,13
195,323814A001,부여군 규암면,2021-07-14,28.3,32.7,24.4,84.8,160.3,0.4,3.5,0.0,97,12.5,0,23.0,,30.1,2021,7,14
196,323814A001,부여군 규암면,2021-07-15,29.1,35.7,23.6,78.3,191.3,0.4,3.1,0.0,668,26.5,294,23.1,,29.1,2021,7,15
197,323814A001,부여군 규암면,2021-07-16,27.4,35.1,19.6,84.4,89.6,0.5,14.4,30.5,401,20.7,166,23.0,,31.2,2021,7,16
198,323814A001,부여군 규암면,2021-07-17,25.8,33.3,22.2,85.8,66.4,0.6,4.9,23.0,407,18.4,555,22.9,,38.9,2021,7,17
199,323814A001,부여군 규암면,2021-07-18,26.0,33.5,21.9,85.1,61.3,0.5,7.4,1.0,439,19.1,456,22.9,,38.3,2021,7,18
200,323814A001,부여군 규암면,2021-07-19,26.6,33.6,22.5,83.0,88.2,0.3,3.3,0.0,353,19.1,0,22.9,,34.6,2021,7,19
201,323814A001,부여군 규암면,2021-07-20,27.6,32.5,23.2,85.4,58.3,0.4,3.5,0.0,279,16.3,0,23.0,,32.4,2021,7,20
202,323814A001,부여군 규암면,2021-07-21,29.2,35.6,23.0,73.8,58.3,0.6,4.7,0.0,787,26.2,130,23.1,,30.8,2021,7,21
203,323814A001,부여군 규암면,2021-07-22,28.8,34.9,21.9,73.8,66.3,0.7,6.4,0.0,779,26.9,0,23.1,,29.1,2021,7,22
204,323814A001,부여군 규암면,2021-07-23,28.9,35.9,22.5,74.8,68.8,0.5,3.5,0.0,644,25.0,0,23.1,,27.5,2021,7,23
205,323814A001,부여군 규암면,2021-07-24,29.4,35.6,24.2,76.3,68.8,0.5,3.6,0.0,616,21.9,0,23.1,,26.0,2021,7,24
206,323814A001,부여군 규암면,2021-07-25,28.8,34.1,24.2,77.6,62.6,0.6,4.2,0.0,487,19.4,0,23.1,,25.0,2021,7,25
207,323814A001,부여군 규암면,2021-07-26,28.7,35.4,22.9,74.1,70.4,0.6,4.4,0.0,698,24.4,138,23.0,,23.7,2021,7,26
208,323814A001,부여군 규암면,2021-07-27,29.0,36.5,22.2,74.3,82.8,0.5,3.6,0.0,768,26.2,0,23.1,,22.3,2021,7,27
209,323814A001,부여군 규암면,2021-07-28,28.9,35.5,24.0,80.8,151.2,0.4,2.8,0.0,562,22.6,0,23.1,,20.9,2021,7,28
210,323814A001,부여군 규암면,2021-07-29,29.1,35.5,24.6,78.6,184.7,0.4,2.6,0.0,584,22.1,0,23.1,,19.6,2021,7,29
211,323814A001,부여군 규암면,2021-07-30,29.0,35.2,23.7,78.5,177.1,0.6,3.6,1.5,456,21.5,84,23.1,,18.3,2021,7,30
212,323814A001,부여군 규암면,2021-07-31,29.0,35.4,25.0,78.9,194.4,0.4,3.2,0.5,564,23.0,227,23.1,,17.7,2021,7,31
