no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
274,052546F018,사천시 송포동,2022-10-01,20.9,30.3,15.8,77.7,235.2,0.4,2.9,0.0,,21.5,0,,,,2022,10,1
275,052546F018,사천시 송포동,2022-10-02,21.6,27.9,15.4,80.3,85.4,0.7,5.7,0.0,,19.6,0,,,,2022,10,2
276,052546F018,사천시 송포동,2022-10-03,26.1,29.8,21.9,79.4,352.7,1.3,8.0,0.0,,13.6,0,,,,2022,10,3
277,052546F018,사천시 송포동,2022-10-04,24.1,26.2,20.2,80.6,238.4,1.0,6.1,10.0,,8.0,519,,,,2022,10,4
278,052546F018,사천시 송포동,2022-10-05,18.8,23.8,16.0,83.8,336.5,0.6,4.1,1.0,,14.8,554,,,,2022,10,5
279,052546F018,사천시 송포동,2022-10-06,17.7,22.1,15.8,87.0,321.1,0.2,2.9,5.0,,8.8,698,,,,2022,10,6
280,052546F018,사천시 송포동,2022-10-07,18.0,23.3,14.7,67.3,339.1,0.9,5.5,0.0,,17.5,0,,,,2022,10,7
281,052546F018,사천시 송포동,2022-10-08,16.7,22.3,12.6,67.2,64.2,1.0,6.9,0.0,,14.3,0,,,,2022,10,8
282,052546F018,사천시 송포동,2022-10-09,15.0,17.0,13.5,82.1,319.2,0.7,5.3,2.0,,4.3,505,,,,2022,10,9
283,052546F018,사천시 송포동,2022-10-10,15.0,18.0,12.5,60.2,272.9,2.3,10.3,0.0,,18.8,277,,,,2022,10,10
284,052546F018,사천시 송포동,2022-10-11,15.0,22.1,9.2,63.1,268.7,1.2,7.0,0.0,,21.8,0,,,,2022,10,11
285,052546F018,사천시 송포동,2022-10-12,14.8,22.5,8.1,71.8,35.7,1.0,5.6,0.0,,19.7,0,,,,2022,10,12
286,052546F018,사천시 송포동,2022-10-13,16.9,23.7,11.7,72.4,64.0,1.0,6.6,0.0,,19.6,0,,,,2022,10,13
287,052546F018,사천시 송포동,2022-10-14,16.5,25.2,11.3,79.3,276.0,0.8,5.4,0.0,,20.2,0,,,,2022,10,14
288,052546F018,사천시 송포동,2022-10-15,17.8,25.4,12.6,80.1,203.7,0.7,4.4,0.0,,19.8,0,,,,2022,10,15
289,052546F018,사천시 송포동,2022-10-16,18.0,25.2,13.2,81.4,244.6,0.7,3.8,0.0,,19.8,0,,,,2022,10,16
290,052546F018,사천시 송포동,2022-10-17,16.6,23.2,9.9,62.1,328.9,1.2,6.6,0.0,,18.7,0,,,,2022,10,17
291,052546F018,사천시 송포동,2022-10-18,11.9,18.6,7.6,48.5,34.5,1.3,5.3,0.0,,20.9,0,,,,2022,10,18
292,052546F018,사천시 송포동,2022-10-19,11.2,20.3,5.6,56.9,188.5,1.0,5.2,0.0,,20.7,0,,,,2022,10,19
293,052546F018,사천시 송포동,2022-10-20,11.6,20.9,5.6,63.3,243.6,0.7,4.3,0.0,,20.5,0,,,,2022,10,20
294,052546F018,사천시 송포동,2022-10-21,14.4,22.7,7.3,75.7,244.7,0.5,3.5,0.0,,12.4,0,,,,2022,10,21
295,052546F018,사천시 송포동,2022-10-22,17.5,25.7,12.9,75.6,223.1,0.7,4.9,0.0,,15.8,0,,,,2022,10,22
296,052546F018,사천시 송포동,2022-10-23,15.6,22.1,11.0,71.6,217.5,0.8,3.9,0.0,,17.7,0,,,,2022,10,23
297,052546F018,사천시 송포동,2022-10-24,12.5,18.7,7.4,56.4,225.0,1.0,5.1,0.0,,17.9,0,,,,2022,10,24
298,052546F018,사천시 송포동,2022-10-25,12.0,18.1,7.6,57.8,53.0,1.2,6.6,0.0,,18.9,0,,,,2022,10,25
299,052546F018,사천시 송포동,2022-10-26,12.7,19.8,6.9,70.6,251.4,0.9,4.4,0.0,,17.0,0,,,,2022,10,26
300,052546F018,사천시 송포동,2022-10-27,14.7,22.4,9.9,69.0,231.8,0.8,4.3,0.0,,17.8,0,,,,2022,10,27
301,052546F018,사천시 송포동,2022-10-28,14.4,22.2,8.9,72.0,225.6,0.9,4.0,0.0,,16.4,0,,,,2022,10,28
302,052546F018,사천시 송포동,2022-10-29,15.5,21.6,11.2,72.9,148.1,1.0,5.7,0.0,,14.8,0,,,,2022,10,29
303,052546F018,사천시 송포동,2022-10-30,14.1,20.8,9.8,78.0,189.2,1.2,5.3,0.0,,11.1,0,,,,2022,10,30
304,052546F018,사천시 송포동,2022-10-31,13.4,20.7,8.8,73.7,71.7,0.9,5.5,0.0,,15.8,0,,,,2022,10,31
