stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
052546F018,사천시 송포동,2024-09-01,26.4,32.7,21.5,78.3,272.1,0.5,4.2,0.0,,26.1,0,,,,2024,9,1
052546F018,사천시 송포동,2024-09-02,27.0,32.3,22.9,80.2,91.1,0.5,4.2,0.0,,17.7,0,,,,2024,9,2
052546F018,사천시 송포동,2024-09-03,26.2,29.5,21.5,76.7,27.9,0.6,5.2,0.0,,12.4,0,,,,2024,9,3
052546F018,사천시 송포동,2024-09-04,25.1,32.3,20.1,72.1,289.6,0.4,4.3,0.0,,24.0,0,,,,2024,9,4
052546F018,사천시 송포동,2024-09-05,25.7,32.1,19.3,79.4,97.6,0.6,4.6,0.0,,25.5,0,,,,2024,9,5
052546F018,사천시 송포동,2024-09-06,27.8,32.3,25.2,82.9,93.0,0.5,4.6,0.0,,12.0,0,,,,2024,9,6
052546F018,사천시 송포동,2024-09-07,27.2,30.6,24.5,86.8,88.1,0.3,4.9,0.0,,9.7,0,,,,2024,9,7
052546F018,사천시 송포동,2024-09-08,28.0,33.3,24.3,81.3,99.7,0.4,4.4,0.0,,19.9,0,,,,2024,9,8
052546F018,사천시 송포동,2024-09-09,28.1,33.6,24.3,79.7,272.6,0.1,3.9,0.0,,18.7,0,,,,2024,9,9
052546F018,사천시 송포동,2024-09-10,28.1,34.8,23.5,79.6,287.0,0.7,4.7,0.0,,22.7,0,,,,2024,9,10
052546F018,사천시 송포동,2024-09-11,26.4,27.9,25.3,94.5,296.5,0.1,2.6,3.5,,4.1,454,,,,2024,9,11
052546F018,사천시 송포동,2024-09-12,28.2,33.4,25.2,87.3,100.3,0.3,4.2,0.0,,17.6,551,,,,2024,9,12
052546F018,사천시 송포동,2024-09-13,28.4,34.1,24.7,82.9,112.9,0.3,4.5,0.0,,20.5,0,,,,2024,9,13
052546F018,사천시 송포동,2024-09-14,28.5,34.8,24.4,80.9,104.7,0.1,4.2,0.0,,21.8,0,,,,2024,9,14
052546F018,사천시 송포동,2024-09-15,29.1,33.6,25.0,78.7,350.3,0.2,4.0,0.0,,12.0,0,,,,2024,9,15
052546F018,사천시 송포동,2024-09-16,28.4,32.4,26.1,78.8,58.1,0.4,4.8,0.0,,8.5,0,,,,2024,9,16
052546F018,사천시 송포동,2024-09-17,29.7,35.2,25.9,80.2,126.8,0.4,4.5,0.0,,22.4,0,,,,2024,9,17
052546F018,사천시 송포동,2024-09-18,29.0,34.7,25.4,81.7,88.5,0.3,4.7,0.0,,20.1,0,,,,2024,9,18
052546F018,사천시 송포동,2024-09-19,29.4,36.5,23.8,75.6,282.3,0.5,4.4,0.0,,23.1,0,,,,2024,9,19
052546F018,사천시 송포동,2024-09-20,26.5,27.9,25.0,93.8,91.4,0.8,8.4,103.0,,1.5,850,,,,2024,9,20
052546F018,사천시 송포동,2024-09-21,24.7,27.8,21.2,96.9,269.9,0.5,7.4,328.5,,2.7,505,,,,2024,9,21
052546F018,사천시 송포동,2024-09-22,22.2,24.6,20.7,88.1,70.4,0.1,4.4,2.0,,5.6,101,,,,2024,9,22
052546F018,사천시 송포동,2024-09-23,21.3,26.5,17.1,71.1,51.6,0.9,6.3,0.0,,20.4,0,,,,2024,9,23
052546F018,사천시 송포동,2024-09-24,21.0,26.6,16.1,73.7,314.1,0.8,5.3,0.0,,16.8,0,,,,2024,9,24
052546F018,사천시 송포동,2024-09-25,23.3,29.5,19.2,77.0,315.9,0.4,4.4,0.0,,20.0,0,,,,2024,9,25
052546F018,사천시 송포동,2024-09-26,23.3,29.7,18.9,81.2,273.9,0.2,2.8,0.0,,18.9,0,,,,2024,9,26
052546F018,사천시 송포동,2024-09-26,23.3,29.7,18.9,81.3,273.9,0.2,2.8,0.0,,18.9,0,,,,2024,9,26
052546F018,사천시 송포동,2024-09-27,24.2,30.5,19.9,82.2,220.8,0.6,4.3,0.0,,20.3,0,,,,2024,9,27
052546F018,사천시 송포동,2024-09-28,24.0,29.0,20.6,77.3,32.2,0.7,6.0,0.0,,15.4,0,,,,2024,9,28
052546F018,사천시 송포동,2024-09-28,24.0,29.0,20.6,77.3,32.2,0.7,6.0,0.0,,15.4,0,,,,2024,9,28
