no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
60,245832A001,삼척시 근덕면,2013-03-01,9.6,15.6,1.8,37.2,252.8,1.1,9.1,0.0,432,12.2,0,9.3,5.2,,2013,3,1
61,245832A001,삼척시 근덕면,2013-03-02,2.1,5.2,-1.3,48.7,164.8,1.5,9.0,0.0,552,23.1,0,2.2,4.7,,2013,3,2
62,245832A001,삼척시 근덕면,2013-03-03,2.6,7.2,-1.4,54.2,139.5,0.9,4.8,0.0,596,22.9,0,2.6,4.4,,2013,3,3
63,245832A001,삼척시 근덕면,2013-03-04,4.9,9.6,0.3,53.6,127.9,0.9,5.0,0.0,437,10.1,0,4.8,4.4,,2013,3,4
64,245832A001,삼척시 근덕면,2013-03-05,8.7,16.2,-0.4,35.9,137.7,0.8,5.4,0.0,646,28.3,0,8.4,4.8,,2013,3,5
65,245832A001,삼척시 근덕면,2013-03-06,11.9,18.0,5.7,44.0,152.4,1.0,7.8,0.0,469,12.0,0,11.7,5.7,,2013,3,6
66,245832A001,삼척시 근덕면,2013-03-07,13.9,19.6,6.0,46.4,160.2,1.2,9.2,0.0,434,9.5,0,13.6,6.5,,2013,3,7
67,245832A001,삼척시 근덕면,2013-03-08,16.3,20.7,9.5,31.5,174.7,1.5,13.0,0.0,529,15.1,0,16.0,7.3,,2013,3,8
68,245832A001,삼척시 근덕면,2013-03-09,9.0,13.7,5.2,73.7,209.6,1.2,7.5,0.0,586,20.1,0,9.1,7.7,,2013,3,9
69,245832A001,삼척시 근덕면,2013-03-10,5.1,7.8,0.1,72.5,212.3,1.8,11.8,0.0,390,16.4,0,5.3,7.7,,2013,3,10
70,245832A001,삼척시 근덕면,2013-03-11,4.2,9.8,-1.3,73.3,131.7,1.0,7.3,0.0,644,26.8,0,4.3,7.1,,2013,3,11
71,245832A001,삼척시 근덕면,2013-03-12,10.8,18.3,3.0,50.8,165.4,0.6,5.3,0.0,372,10.9,0,10.7,7.1,,2013,3,12
72,245832A001,삼척시 근덕면,2013-03-13,4.7,10.0,2.7,83.8,296.9,1.9,6.8,14.5,0,0.3,941,4.5,7.4,,2013,3,13
73,245832A001,삼척시 근덕면,2013-03-14,3.6,7.2,0.3,73.4,137.2,0.9,7.7,0.0,467,17.3,0,3.7,6.5,,2013,3,14
74,245832A001,삼척시 근덕면,2013-03-15,10.0,17.3,0.3,43.4,135.1,0.8,4.6,0.0,670,31.3,0,9.8,6.8,,2013,3,15
75,245832A001,삼척시 근덕면,2013-03-16,10.7,14.3,3.1,48.1,135.0,1.0,5.3,0.0,638,21.5,0,10.5,7.8,,2013,3,16
76,245832A001,삼척시 근덕면,2013-03-17,9.2,19.1,0.6,69.9,158.3,0.6,5.9,0.5,214,6.4,54,9.2,7.9,,2013,3,17
77,245832A001,삼척시 근덕면,2013-03-18,11.3,15.4,8.3,84.5,169.3,1.0,5.9,15.0,521,20.5,642,11.4,8.8,,2013,3,18
78,245832A001,삼척시 근덕면,2013-03-19,10.5,13.8,6.7,73.3,114.8,0.9,7.2,0.0,344,9.6,0,10.4,9.4,,2013,3,19
79,245832A001,삼척시 근덕면,2013-03-20,3.4,8.0,0.7,93.8,266.6,1.8,9.5,19.5,0,0.4,907,3.3,8.6,,2013,3,20
80,245832A001,삼척시 근덕면,2013-03-21,2.2,7.9,-4.6,76.5,148.7,0.8,6.4,2.5,681,30.3,270,2.0,7.0,,2013,3,21
81,245832A001,삼척시 근덕면,2013-03-22,7.4,12.8,1.3,56.5,155.8,0.8,5.3,0.0,225,4.8,0,7.1,6.9,,2013,3,22
82,245832A001,삼척시 근덕면,2013-03-23,6.1,10.0,1.5,79.0,145.6,1.1,8.1,0.0,225,4.6,0,6.1,7.0,,2013,3,23
83,245832A001,삼척시 근덕면,2013-03-24,5.6,10.0,1.2,82.7,166.6,1.4,6.9,0.5,439,18.1,467,5.8,7.3,,2013,3,24
84,245832A001,삼척시 근덕면,2013-03-25,2.5,4.5,-0.3,94.0,253.0,0.7,4.7,13.5,0,0.4,1043,2.4,7.0,,2013,3,25
85,245832A001,삼척시 근덕면,2013-03-26,5.0,10.8,-0.5,70.6,124.0,1.0,3.7,0.0,645,26.1,126,5.0,6.5,,2013,3,26
86,245832A001,삼척시 근덕면,2013-03-27,10.0,16.1,1.9,59.7,138.4,1.0,7.1,0.0,685,29.3,0,9.9,7.5,,2013,3,27
87,245832A001,삼척시 근덕면,2013-03-28,13.5,18.4,9.8,54.1,146.5,1.0,9.0,0.0,557,13.8,0,13.4,8.7,,2013,3,28
88,245832A001,삼척시 근덕면,2013-03-29,7.0,11.4,1.7,62.2,200.3,1.8,9.5,0.0,578,24.3,0,7.2,9.1,,2013,3,29
89,245832A001,삼척시 근덕면,2013-03-30,6.0,9.7,1.2,72.7,195.1,1.2,6.0,0.0,381,9.8,60,6.1,8.6,,2013,3,30
90,245832A001,삼척시 근덕면,2013-03-31,6.1,9.2,2.0,80.7,175.0,1.0,6.0,3.0,571,23.2,499,6.4,8.7,,2013,3,31
