no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
91,245825A002,삼척시 미로면,2023-04-01,11.7,22.4,2.6,67.7,18.6,1.3,7.2,0.0,633,21.6,,11.2,11.8,16.1,2023,4,1
92,245825A002,삼척시 미로면,2023-04-02,9.8,17.3,2.0,75.2,25.1,1.2,5.9,0.0,628,20.8,,9.5,11.8,15.9,2023,4,2
93,245825A002,삼척시 미로면,2023-04-03,9.7,19.2,0.7,72.1,22.7,1.2,7.2,0.0,635,21.2,,9.5,11.7,15.7,2023,4,3
94,245825A002,삼척시 미로면,2023-04-04,11.9,19.7,3.5,73.2,41.2,1.2,5.7,0.0,363,15.2,,11.6,11.9,15.5,2023,4,4
95,245825A002,삼척시 미로면,2023-04-05,15.3,21.5,11.3,81.2,119.3,1.3,10.8,10.5,62,7.4,,14.6,12.6,15.5,2023,4,5
96,245825A002,삼척시 미로면,2023-04-06,14.0,16.9,9.9,64.5,214.6,3.6,11.9,0.0,425,18.0,,13.9,13.1,15.5,2023,4,6
97,245825A002,삼척시 미로면,2023-04-07,13.2,18.2,9.4,43.2,166.4,2.5,10.8,1.0,582,20.4,,12.7,13.0,15.5,2023,4,7
98,245825A002,삼척시 미로면,2023-04-08,11.4,17.1,5.6,25.0,209.3,3.1,12.1,0.0,653,24.6,,11.1,12.5,15.3,2023,4,8
99,245825A002,삼척시 미로면,2023-04-09,14.4,21.8,7.0,26.0,196.3,2.6,11.5,0.0,654,25.2,,13.8,12.5,15.1,2023,4,9
100,245825A002,삼척시 미로면,2023-04-10,17.2,24.2,12.7,21.6,215.9,2.9,12.9,0.0,575,20.2,,15.5,12.9,14.8,2023,4,10
101,245825A002,삼척시 미로면,2023-04-11,18.9,25.2,11.5,43.0,223.0,6.1,20.1,0.5,464,20.2,,17.4,13.5,14.5,2023,4,11
102,245825A002,삼척시 미로면,2023-04-12,14.1,19.4,4.0,19.3,212.4,2.6,13.6,0.0,657,23.7,,13.8,13.6,14.1,2023,4,12
103,245825A002,삼척시 미로면,2023-04-13,16.2,22.7,7.7,21.2,193.4,2.3,12.4,0.0,456,13.1,,13.7,13.2,13.6,2023,4,13
104,245825A002,삼척시 미로면,2023-04-14,15.8,22.8,9.8,42.4,353.5,1.6,9.0,0.0,385,17.1,,14.6,13.4,13.4,2023,4,14
105,245825A002,삼척시 미로면,2023-04-15,10.9,13.9,8.2,82.6,48.4,1.3,5.4,1.0,0,6.4,,11.4,13.6,13.2,2023,4,15
106,245825A002,삼척시 미로면,2023-04-16,9.7,13.2,6.8,80.9,35.2,1.1,7.4,2.5,116,10.1,,10.7,13.2,13.2,2023,4,16
107,245825A002,삼척시 미로면,2023-04-17,11.1,18.6,2.6,70.7,33.4,1.4,6.7,0.0,443,18.7,,11.3,13.0,13.2,2023,4,17
108,245825A002,삼척시 미로면,2023-04-18,11.7,18.0,8.1,85.5,98.5,0.9,6.6,1.5,227,8.5,,11.6,13.4,13.3,2023,4,18
109,245825A002,삼척시 미로면,2023-04-19,13.8,22.7,5.2,78.6,29.2,1.5,6.8,0.0,678,25.2,,13.7,13.6,13.2,2023,4,19
110,245825A002,삼척시 미로면,2023-04-20,23.2,28.6,10.7,51.3,212.1,3.5,12.5,0.0,647,24.8,,21.6,15.2,12.7,2023,4,20
111,245825A002,삼척시 미로면,2023-04-21,12.3,16.2,7.9,59.4,34.2,1.4,7.3,0.0,307,14.0,,12.0,15.2,11.8,2023,4,21
112,245825A002,삼척시 미로면,2023-04-22,10.7,17.5,3.9,64.7,46.0,1.5,7.5,0.0,593,21.9,,11.7,14.3,11.8,2023,4,22
113,245825A002,삼척시 미로면,2023-04-23,10.1,17.4,2.2,74.8,35.9,1.0,6.2,0.0,310,17.4,,10.9,13.9,11.6,2023,4,23
114,245825A002,삼척시 미로면,2023-04-24,11.3,15.9,6.7,68.4,20.0,1.2,8.6,0.0,147,10.7,,10.9,13.9,11.6,2023,4,24
115,245825A002,삼척시 미로면,2023-04-25,10.6,14.3,4.6,67.0,176.4,1.5,7.3,0.0,0,8.2,,10.5,13.3,11.6,2023,4,25
116,245825A002,삼척시 미로면,2023-04-26,11.8,17.7,5.0,59.0,203.6,2.4,11.4,0.0,307,13.1,,11.3,13.3,11.5,2023,4,26
117,245825A002,삼척시 미로면,2023-04-27,14.0,23.0,2.7,55.6,85.7,2.1,7.6,0.0,693,25.5,,14.6,13.5,11.6,2023,4,27
118,245825A002,삼척시 미로면,2023-04-28,18.6,25.6,7.3,41.5,69.9,2.0,7.9,0.0,693,25.6,,18.5,14.9,11.2,2023,4,28
119,245825A002,삼척시 미로면,2023-04-29,16.9,24.6,13.8,64.8,235.2,1.7,12.7,0.0,114,10.6,,16.5,15.6,10.7,2023,4,29
120,245825A002,삼척시 미로면,2023-04-30,16.0,22.2,10.1,43.9,199.7,2.6,13.2,0.0,672,27.1,,16.9,15.7,10.5,2023,4,30
