no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,245825A002,삼척시 미로면,2021-01-01,-1.6,3.4,-8.8,33.1,215.5,3.4,11.8,0.0,380,9.7,,-2.5,2.2,14.1,2021
2,245825A002,삼척시 미로면,2021-01-02,-2.2,3.8,-9.3,36.9,211.3,1.9,11.6,0.0,383,10.0,,-3.4,2.1,14.2,2021
3,245825A002,삼척시 미로면,2021-01-03,-1.1,2.7,-4.5,23.1,212.3,3.3,11.5,0.0,299,9.0,,-1.9,2.0,14.3,2021
4,245825A002,삼척시 미로면,2021-01-04,0.6,6.9,-5.2,28.7,207.5,1.8,8.5,0.0,384,9.1,,-0.5,2.1,14.3,2021
5,245825A002,삼척시 미로면,2021-01-05,-0.2,3.7,-7.4,37.1,199.1,2.1,9.7,0.0,356,9.6,,-1.3,2.6,14.4,2021
6,245825A002,삼척시 미로면,2021-01-06,-5.0,0.9,-10.2,23.4,203.5,2.5,11.7,0.0,386,10.4,,-5.8,2.0,14.1,2021
7,245825A002,삼척시 미로면,2021-01-07,-9.3,-2.9,-12.3,24.7,213.3,4.2,14.3,0.0,387,10.5,,-8.3,1.4,13.9,2021
8,245825A002,삼척시 미로면,2021-01-08,-10.1,-5.9,-13.4,21.6,215.0,4.5,14.7,0.0,388,10.7,,-9.4,0.6,13.1,2021
9,245825A002,삼척시 미로면,2021-01-09,-7.8,-2.4,-11.2,25.8,210.9,3.8,13.1,0.0,389,10.4,,-7.4,0.2,14.7,2021
10,245825A002,삼척시 미로면,2021-01-10,-5.8,1.5,-13.2,37.1,195.4,1.7,8.3,0.0,386,10.0,,-6.6,0.1,14.1,2021
11,245825A002,삼척시 미로면,2021-01-11,-4.7,1.5,-13.4,42.9,199.2,1.5,9.5,0.0,0,4.1,,-5.9,0.1,16.5,2021
12,245825A002,삼척시 미로면,2021-01-12,-0.9,3.9,-8.7,42.1,216.5,1.9,12.0,0.0,358,10.0,,-1.9,0.4,16.6,2021
13,245825A002,삼척시 미로면,2021-01-13,6.1,10.5,0.5,43.9,213.8,1.6,9.9,0.0,267,7.7,,3.6,0.7,17.4,2021
14,245825A002,삼척시 미로면,2021-01-14,1.3,10.6,-5.2,57.5,38.3,1.0,6.6,0.0,396,9.6,,-1.1,1.2,16.4,2021
15,245825A002,삼척시 미로면,2021-01-15,5.9,15.7,-5.6,56.9,232.7,2.9,15.7,0.0,352,8.5,,4.6,1.9,15.8,2021
16,245825A002,삼척시 미로면,2021-01-16,2.6,8.5,-2.6,36.2,217.6,3.0,9.1,0.0,397,10.0,,1.5,3.0,15.5,2021
17,245825A002,삼척시 미로면,2021-01-17,-2.1,2.0,-5.7,28.1,211.2,3.7,12.6,0.0,398,11.2,,-2.3,2.1,13.2,2021
18,245825A002,삼척시 미로면,2021-01-18,-0.7,3.8,-4.6,46.9,218.3,1.8,10.5,0.0,186,6.6,,-1.6,1.9,13.2,2021
19,245825A002,삼척시 미로면,2021-01-19,-4.7,1.2,-9.9,44.5,151.0,1.5,6.7,0.0,406,10.9,,-5.6,1.6,13.1,2021
20,245825A002,삼척시 미로면,2021-01-20,-0.1,10.5,-10.1,46.5,131.4,1.5,10.0,0.0,406,10.2,,-1.7,1.3,15.0,2021
21,245825A002,삼척시 미로면,2021-01-21,8.1,13.2,-2.2,48.1,193.1,2.1,10.6,0.0,124,5.8,,6.3,2.4,16.7,2021
22,245825A002,삼척시 미로면,2021-01-22,8.3,12.3,5.8,78.6,74.7,1.1,5.5,1.0,1,3.6,,7.8,4.8,18.1,2021
23,245825A002,삼척시 미로면,2021-01-23,4.8,6.1,3.4,90.0,62.3,0.9,5.1,2.5,0,1.0,,4.6,5.4,18.2,2021
24,245825A002,삼척시 미로면,2021-01-24,4.2,8.7,-0.6,90.2,132.0,0.7,3.9,0.5,0,4.1,,3.8,5.5,18.3,2021
25,245825A002,삼척시 미로면,2021-01-25,3.0,12.0,-3.0,86.0,23.4,0.9,5.3,0.5,413,9.7,,1.8,5.0,17.4,2021
26,245825A002,삼척시 미로면,2021-01-26,4.2,10.2,-0.5,82.3,212.3,1.3,10.0,0.0,46,2.8,,2.8,4.9,18.7,2021
27,245825A002,,2021-01-27,4.3,9.1,-2.9,48.8,165.2,1.6,6.5,0.0,278,9.1,,2.4,4.9,17.2,2021
28,245825A002,,2021-01-28,0.3,10.0,-6.0,46.8,213.8,2.9,15.0,0.0,191,7.4,,-0.5,4.2,18.6,2021
29,245825A002,,2021-01-29,-4.6,0.4,-8.5,23.3,200.5,3.4,14.6,0.0,438,13.0,,-4.5,2.9,18.2,2021
30,245825A002,삼척시 미로면,2021-01-30,1.3,7.5,-4.8,42.5,211.5,2.4,12.0,0.0,161,5.7,,-0.2,2.3,18.4,2021
31,245825A002,삼척시 미로면,2021-01-31,2.7,13.0,-5.2,42.9,156.2,1.4,7.6,0.0,440,12.1,,0.9,2.6,16.5,2021
32,245825A002,삼척시 미로면,2021-02-01,6.6,14.2,-3.7,55.7,215.4,1.5,13.0,0.0,272,8.5,,5.5,3.7,16.7,2021
33,245825A002,삼척시 미로면,2021-02-02,0.5,7.2,-3.1,20.5,209.0,3.3,13.6,0.0,442,13.4,,-0.1,4.1,18.4,2021
34,245825A002,삼척시 미로면,2021-02-03,-1.0,4.7,-8.9,31.0,205.7,2.2,9.4,0.0,443,13.0,,-1.4,2.9,18.1,2021
35,245825A002,삼척시 미로면,2021-02-04,2.8,7.2,-1.0,28.1,204.1,2.9,10.4,0.0,444,13.5,,2.4,3.1,18.1,2021
36,245825A002,삼척시 미로면,2021-02-05,5.2,10.5,-2.1,31.3,203.2,2.3,11.3,0.0,421,10.7,,3.8,3.6,18.2,2021
37,245825A002,삼척시 미로면,2021-02-06,7.5,13.2,1.5,46.1,204.7,2.4,11.8,0.0,404,10.3,,5.9,4.7,18.3,2021
38,245825A002,삼척시 미로면,2021-02-07,6.5,10.7,-1.9,71.9,39.1,1.4,7.1,0.0,280,9.7,,5.9,5.8,18.3,2021
39,245825A002,삼척시 미로면,2021-02-08,-1.3,5.0,-7.6,52.6,88.8,1.8,9.3,0.0,451,13.6,,-2.8,4.7,17.9,2021
40,245825A002,삼척시 미로면,2021-02-09,2.4,8.3,-2.9,27.5,179.5,2.7,10.2,0.0,457,13.8,,1.6,3.7,16.0,2021
41,245825A002,삼척시 미로면,2021-02-10,6.4,10.7,1.3,37.8,205.9,3.6,12.1,0.0,386,11.5,,5.2,4.4,17.9,2021
42,245825A002,삼척시 미로면,2021-02-11,6.5,13.7,-0.9,53.0,153.1,1.7,9.5,0.0,461,12.9,,5.3,5.4,15.4,2021
43,245825A002,삼척시 미로면,2021-02-12,6.0,15.9,-0.8,49.2,35.5,1.1,6.9,0.0,466,13.2,,4.5,5.7,15.4,2021
44,245825A002,삼척시 미로면,2021-02-13,4.4,14.7,-3.8,65.0,36.4,1.0,6.1,0.0,470,13.6,,2.9,5.6,14.5,2021
45,245825A002,삼척시 미로면,2021-02-14,8.9,18.8,-0.9,59.3,264.0,0.9,7.6,0.0,35,6.9,,7.8,6.2,16.0,2021
46,245825A002,삼척시 미로면,2021-02-15,6.0,11.3,-1.3,56.5,216.7,2.8,16.0,0.0,259,9.6,,5.9,7.4,16.9,2021
47,245825A002,삼척시 미로면,2021-02-16,-1.5,1.8,-5.1,34.3,202.2,2.8,9.9,0.0,333,12.4,,-1.2,5.5,17.6,2021
48,245825A002,삼척시 미로면,2021-02-17,-5.5,-2.0,-8.1,27.0,211.7,3.8,14.9,0.0,485,15.7,,-4.3,3.9,17.5,2021
49,245825A002,삼척시 미로면,2021-02-18,-3.5,2.9,-9.1,31.4,199.1,2.7,8.0,0.0,488,15.7,,-2.6,3.1,17.4,2021
