no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
32,037268B004,상주시 공성면,2019-02-01,-1.3,3.7,-6.8,49.7,260.6,1.6,9.2,0.0,529,13.8,0,,2.9,,2019,2,1
33,037268B004,상주시 공성면,2019-02-02,0.3,8.9,-8.2,65.0,245.3,0.8,6.9,0.0,531,13.2,0,,2.8,,2019,2,2
34,037268B004,상주시 공성면,2019-02-03,3.0,8.6,0.1,87.7,272.8,1.1,14.9,10.0,0,1.8,717,,3.1,,2019,2,3
35,037268B004,상주시 공성면,2019-02-04,1.9,5.9,-3.8,43.1,273.7,2.6,12.4,0.0,535,14.3,0,,3.5,,2019,2,4
36,037268B004,상주시 공성면,2019-02-05,-0.2,9.9,-7.5,64.3,77.2,0.2,2.1,0.0,516,13.2,0,,3.4,,2019,2,5
37,037268B004,상주시 공성면,2019-02-06,3.2,12.4,-5.7,69.1,22.1,0.4,4.6,0.0,367,11.3,0,,3.5,,2019,2,6
38,037268B004,상주시 공성면,2019-02-07,2.9,8.5,-5.0,52.6,279.5,2.8,17.2,0.0,402,11.2,0,,4.0,,2019,2,7
39,037268B004,상주시 공성면,2019-02-08,-2.5,3.6,-6.6,37.2,279.7,1.3,4.9,0.0,474,13.6,0,,3.8,,2019,2,8
40,037268B004,상주시 공성면,2019-02-09,-2.3,0.6,-4.6,34.3,273.5,2.3,10.7,0.0,543,15.4,0,,3.5,,2019,2,9
41,037268B004,상주시 공성면,2019-02-10,-2.2,3.2,-9.3,38.6,293.3,0.9,5.4,0.0,234,9.8,0,,3.2,,2019,2,10
42,037268B004,상주시 공성면,2019-02-11,-1.6,2.8,-6.1,39.0,281.5,2.3,11.8,0.0,577,15.9,0,,3.2,,2019,2,11
43,037268B004,상주시 공성면,2019-02-12,-1.9,5.1,-9.3,58.3,268.5,0.7,6.6,0.0,435,13.7,0,,3.0,,2019,2,12
44,037268B004,상주시 공성면,2019-02-13,-0.8,4.5,-7.1,46.6,278.5,1.5,9.5,0.0,552,14.3,0,,3.0,,2019,2,13
45,037268B004,상주시 공성면,2019-02-14,-0.8,7.2,-6.8,54.8,163.1,0.4,5.3,0.0,334,11.4,0,,3.0,,2019,2,14
46,037268B004,상주시 공성면,2019-02-15,1.0,6.3,-4.2,65.2,272.2,1.5,8.9,0.0,211,10.1,0,,3.2,,2019,2,15
47,037268B004,상주시 공성면,2019-02-16,-1.1,1.2,-4.7,62.2,271.2,2.2,8.9,0.0,319,11.6,0,,3.5,,2019,2,16
48,037268B004,상주시 공성면,2019-02-17,-0.8,5.5,-5.0,47.3,272.7,1.6,10.0,0.0,591,17.4,0,,3.3,,2019,2,17
49,037268B004,상주시 공성면,2019-02-18,1.5,8.7,-6.3,47.5,51.5,0.6,3.7,0.0,241,10.9,0,,3.2,,2019,2,18
50,037268B004,상주시 공성면,2019-02-19,1.8,4.9,-0.1,89.4,286.6,1.0,7.8,15.0,0,2.8,801,,3.5,,2019,2,19
51,037268B004,상주시 공성면,2019-02-20,1.9,5.0,-2.1,70.3,268.3,1.7,10.2,0.0,108,7.8,0,,3.8,,2019,2,20
52,037268B004,상주시 공성면,2019-02-21,1.5,9.2,-4.5,71.5,73.5,0.6,4.2,0.0,549,15.9,0,,3.8,,2019,2,21
53,037268B004,상주시 공성면,2019-02-22,2.3,11.8,-4.2,69.6,286.9,0.5,3.9,0.0,312,12.6,0,,4.0,,2019,2,22
54,037268B004,상주시 공성면,2019-02-23,2.9,13.0,-4.4,71.2,101.7,0.5,5.5,0.0,510,16.0,50,,4.2,,2019,2,23
55,037268B004,상주시 공성면,2019-02-24,3.6,14.0,-5.1,69.4,273.1,0.8,9.1,0.0,578,17.5,34,,4.5,,2019,2,24
56,037268B004,상주시 공성면,2019-02-25,6.3,13.2,-0.8,52.5,273.3,1.3,7.5,0.0,581,16.1,0,,4.9,,2019,2,25
57,037268B004,상주시 공성면,2019-02-26,3.2,13.6,-5.7,54.6,262.4,0.6,6.2,0.0,603,17.8,0,,5.1,,2019,2,26
58,037268B004,상주시 공성면,2019-02-27,5.2,10.2,0.2,76.5,243.9,0.4,2.5,0.0,83,6.8,0,,5.3,,2019,2,27
59,037268B004,상주시 공성면,2019-02-28,5.9,13.3,-1.9,66.0,268.6,0.8,6.1,0.0,485,14.7,269,,5.6,,2019,2,28
