no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
305,037136F022,상주시 외서면,2019-11-01,13.1,24.0,6.1,76.6,225.5,0.4,4.0,0.0,,12.3,53,,,,2019,11,1
306,037136F022,상주시 외서면,2019-11-02,10.7,19.1,3.3,88.0,122.5,0.2,2.1,0.0,,8.1,26,,,,2019,11,2
307,037136F022,상주시 외서면,2019-11-03,12.0,22.3,5.4,82.2,73.2,0.3,7.3,0.0,,10.6,59,,,,2019,11,3
308,037136F022,상주시 외서면,2019-11-04,11.3,19.7,3.8,81.2,49.3,0.4,3.8,0.0,,11.4,31,,,,2019,11,4
309,037136F022,상주시 외서면,2019-11-05,7.9,20.0,1.0,86.2,90.8,0.3,4.2,0.0,,10.4,252,,,,2019,11,5
310,037136F022,상주시 외서면,2019-11-06,9.8,19.2,1.5,76.8,177.1,0.4,4.3,0.0,,11.9,204,,,,2019,11,6
311,037136F022,상주시 외서면,2019-11-07,10.9,19.1,4.5,61.8,289.6,0.7,6.2,0.0,,11.2,21,,,,2019,11,7
312,037136F022,상주시 외서면,2019-11-08,6.7,17.3,-2.0,59.5,272.6,0.6,4.1,0.0,,12.7,137,,,,2019,11,8
313,037136F022,상주시 외서면,2019-11-09,5.8,18.9,-3.0,67.1,198.9,0.4,5.0,0.0,,12.3,73,,,,2019,11,9
314,037136F022,상주시 외서면,2019-11-10,5.5,12.6,-1.7,80.9,294.7,0.4,5.7,7.5,,6.1,400,,,,2019,11,10
315,037136F022,상주시 외서면,2019-11-11,11.1,17.8,4.1,78.2,268.3,0.9,7.2,0.5,,5.0,637,,,,2019,11,11
316,037136F022,상주시 외서면,2019-11-12,8.1,17.8,0.9,81.0,141.0,0.3,4.1,0.0,,9.9,0,,,,2019,11,12
317,037136F022,상주시 외서면,2019-11-13,6.4,14.5,-0.4,83.6,259.8,0.6,7.2,0.5,,3.9,482,,,,2019,11,13
318,037136F022,상주시 외서면,2019-11-14,2.8,8.6,-5.1,42.2,282.8,1.3,8.7,0.0,,12.7,0,,,,2019,11,14
319,037136F022,상주시 외서면,2019-11-15,2.7,12.6,-6.5,69.3,338.3,0.3,5.1,0.5,,9.7,61,,,,2019,11,15
320,037136F022,상주시 외서면,2019-11-16,8.0,17.0,2.6,89.7,70.1,0.2,2.6,1.0,,6.8,735,,,,2019,11,16
321,037136F022,상주시 외서면,2019-11-17,6.0,9.4,1.8,96.9,300.9,0.3,3.4,28.5,,0.9,872,,,,2019,11,17
322,037136F022,상주시 외서면,2019-11-18,8.5,13.5,2.4,67.5,279.2,1.5,8.3,6.0,,6.7,323,,,,2019,11,18
323,037136F022,상주시 외서면,2019-11-19,3.5,7.5,-0.8,57.8,277.1,1.5,7.9,0.0,,10.7,0,,,,2019,11,19
324,037136F022,상주시 외서면,2019-11-20,1.8,10.4,-5.8,56.4,260.2,0.7,5.3,0.0,,12.1,0,,,,2019,11,20
325,037136F022,상주시 외서면,2019-11-21,1.3,10.5,-6.8,68.4,89.0,0.3,2.2,0.0,,9.9,21,,,,2019,11,21
326,037136F022,상주시 외서면,2019-11-22,5.7,17.0,-1.8,74.5,123.5,0.3,3.4,0.0,,10.9,0,,,,2019,11,22
327,037136F022,상주시 외서면,2019-11-23,6.2,17.0,-0.8,86.9,80.2,0.2,2.6,0.0,,9.3,141,,,,2019,11,23
328,037136F022,상주시 외서면,2019-11-24,11.8,21.2,2.1,78.6,248.4,0.7,6.2,0.5,,9.9,680,,,,2019,11,24
329,037136F022,상주시 외서면,2019-11-25,6.3,11.5,2.1,70.5,270.0,1.2,8.6,0.0,,4.5,0,,,,2019,11,25
330,037136F022,상주시 외서면,2019-11-26,7.7,15.0,2.4,73.8,48.9,0.5,3.5,0.0,,10.1,0,,,,2019,11,26
331,037136F022,상주시 외서면,2019-11-27,6.5,10.3,-0.5,62.7,271.3,0.8,5.2,0.0,,6.2,0,,,,2019,11,27
332,037136F022,상주시 외서면,2019-11-28,3.0,12.1,-3.4,78.8,175.9,0.3,3.9,0.0,,9.4,43,,,,2019,11,28
333,037136F022,상주시 외서면,2019-11-29,2.2,11.2,-4.8,63.9,268.8,0.7,5.1,0.0,,11.3,56,,,,2019,11,29
334,037136F022,상주시 외서면,2019-11-30,2.5,12.9,-5.6,75.6,90.3,0.3,2.5,0.0,,9.7,0,,,,2019,11,30
