stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
037136F022,상주시 외서면,2024-05-01,13.9,21.2,6.0,68.9,185.2,0.7,5.8,1.5,,19.3,506,,,,2024,5,1
037136F022,상주시 외서면,2024-05-02,14.2,26.2,3.0,65.8,108.7,0.6,3.7,0.0,,25.6,0,,,,2024,5,2
037136F022,상주시 외서면,2024-05-03,15.7,29.0,5.2,66.7,121.7,0.4,3.4,0.0,,26.3,358,,,,2024,5,3
037136F022,상주시 외서면,2024-05-04,17.0,29.7,6.0,66.1,125.3,0.4,3.2,0.0,,25.4,678,,,,2024,5,4
037136F022,상주시 외서면,2024-05-05,17.2,18.1,14.4,89.7,166.2,0.8,4.5,36.0,,2.0,1043,,,,2024,5,5
037136F022,상주시 외서면,2024-05-06,17.0,20.0,14.4,82.3,266.9,0.8,6.6,5.5,,9.6,435,,,,2024,5,6
037136F022,상주시 외서면,2024-05-07,13.3,15.1,10.6,92.0,208.0,0.3,4.1,14.0,,3.1,1347,,,,2024,5,7
037136F022,상주시 외서면,2024-05-08,13.2,20.3,7.4,75.5,164.4,0.5,3.5,0.5,,23.3,500,,,,2024,5,8
037136F022,상주시 외서면,2024-05-09,15.1,24.9,4.5,63.3,220.8,0.9,5.6,0.0,,24.4,0,,,,2024,5,9
037136F022,상주시 외서면,2024-05-10,18.5,28.2,9.7,56.9,222.7,0.8,5.5,0.0,,25.1,0,,,,2024,5,10
037136F022,상주시 외서면,2024-05-11,18.2,27.4,7.7,71.1,193.8,0.7,5.2,6.5,,19.8,344,,,,2024,5,11
037136F022,상주시 외서면,2024-05-12,17.9,23.5,9.9,62.4,282.9,1.0,5.5,3.0,,23.6,435,,,,2024,5,12
037136F022,상주시 외서면,2024-05-13,16.4,26.8,6.5,63.0,131.1,0.6,4.9,0.0,,27.1,0,,,,2024,5,13
037136F022,상주시 외서면,2024-05-14,16.9,28.3,6.0,65.3,166.4,0.5,4.3,0.0,,26.4,0,,,,2024,5,14
037136F022,상주시 외서면,2024-05-15,15.8,26.2,7.7,69.9,271.6,0.8,6.5,20.5,,22.4,184,,,,2024,5,15
037136F022,상주시 외서면,2024-05-16,14.2,21.3,7.7,60.6,279.3,1.7,8.9,2.5,,24.6,31,,,,2024,5,16
037136F022,상주시 외서면,2024-05-17,17.3,27.6,8.0,67.5,197.8,0.7,5.2,0.0,,24.5,0,,,,2024,5,17
037136F022,상주시 외서면,2024-05-18,17.9,30.8,7.9,67.5,183.4,0.6,6.7,0.0,,26.2,0,,,,2024,5,18
037136F022,상주시 외서면,2024-05-19,20.8,31.4,10.3,66.1,210.7,0.6,4.3,0.0,,26.0,0,,,,2024,5,19
037136F022,상주시 외서면,2024-05-20,19.0,26.6,10.5,73.5,270.8,0.5,3.4,0.0,,14.8,0,,,,2024,5,20
037136F022,상주시 외서면,2024-05-21,17.0,23.5,12.1,84.2,76.6,0.4,2.9,0.0,,11.0,0,,,,2024,5,21
037136F022,상주시 외서면,2024-05-22,19.4,29.8,10.5,74.9,156.5,0.5,3.8,0.0,,23.5,36,,,,2024,5,22
037136F022,상주시 외서면,2024-05-23,21.9,31.3,13.7,63.9,244.5,0.6,4.4,0.0,,26.5,102,,,,2024,5,23
037136F022,상주시 외서면,2024-05-24,20.9,30.0,10.9,62.7,88.0,0.6,4.8,0.0,,22.3,56,,,,2024,5,24
037136F022,상주시 외서면,2024-05-25,19.0,24.0,13.1,57.2,173.4,0.5,4.4,0.0,,14.9,0,,,,2024,5,25
037136F022,상주시 외서면,2024-05-26,18.6,27.5,11.4,74.4,286.8,0.5,4.7,29.5,,18.2,359,,,,2024,5,26
037136F022,상주시 외서면,2024-05-27,19.3,24.0,13.1,63.2,268.7,1.1,7.5,0.0,,21.9,419,,,,2024,5,27
037136F022,상주시 외서면,2024-05-28,17.2,24.8,10.2,70.8,51.1,0.5,5.3,0.0,,19.9,0,,,,2024,5,28
037136F022,상주시 외서면,2024-05-29,18.3,29.3,8.3,72.7,140.8,0.5,4.1,0.0,,25.2,0,,,,2024,5,29
037136F022,상주시 외서면,2024-05-30,19.6,26.5,13.4,75.0,232.7,0.4,3.0,0.0,,13.8,0,,,,2024,5,30
037136F022,상주시 외서면,2024-05-31,22.5,28.7,15.7,54.2,289.4,0.8,4.8,0.0,,27.1,16,,,,2024,5,31
