no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,742290A001,상주시 초산동,2014-01-01,5.6,9.3,1.5,47.8,258.8,3.3,14.4,0.0,68.0,8.1,0.0,4.9,3.0,,2014,1,1
2,742290A001,상주시 초산동,2014-01-02,3.0,10.0,-3.8,47.8,243.9,1.0,7.6,0.0,122.0,9.6,0.0,2.0,3.1,,2014,1,2
3,742290A001,상주시 초산동,2014-01-03,-1.1,7.3,-6.4,66.1,64.4,0.3,2.4,0.0,27.0,6.9,314.0,-1.3,3.1,,2014,1,3
4,742290A001,상주시 초산동,2014-01-04,0.4,7.9,-4.1,67.4,151.1,0.5,3.6,0.0,98.0,8.8,363.0,-0.2,3.1,,2014,1,4
5,742290A001,상주시 초산동,2014-01-05,0.3,7.5,-4.5,60.2,215.2,0.5,5.7,0.0,72.0,8.7,0.0,-0.2,3.1,,2014,1,5
6,742290A001,상주시 초산동,2014-01-06,-1.2,7.8,-7.0,61.6,109.1,0.3,2.7,0.0,100.0,9.2,75.0,-1.8,3.0,,2014,1,6
7,742290A001,상주시 초산동,2014-01-07,-1.2,7.2,-7.9,72.2,106.8,0.3,2.7,0.0,5.0,6.4,596.0,-1.3,3.0,,2014,1,7
8,742290A001,상주시 초산동,2014-01-08,1.9,6.3,-2.1,66.0,266.4,1.3,9.8,0.0,0.0,3.3,1.0,1.6,2.9,,2014,1,8
9,742290A001,상주시 초산동,2014-01-09,-4.7,-0.6,-9.1,31.5,260.6,1.8,9.2,0.0,178.0,11.1,0.0,-4.8,2.9,,2014,1,9
10,742290A001,상주시 초산동,2014-01-10,-4.5,1.8,-11.4,54.2,242.6,0.8,6.8,0.0,90.0,9.1,0.0,-4.4,2.8,,2014,1,10
11,742290A001,상주시 초산동,2014-01-11,-1.5,5.1,-7.1,61.9,237.2,0.9,6.2,0.0,31.0,8.3,11.0,-1.7,2.7,,2014,1,11
12,742290A001,상주시 초산동,2014-01-12,0.1,5.3,-4.4,56.5,259.2,1.7,10.4,0.0,17.0,6.4,5.0,-0.4,2.6,,2014,1,12
13,742290A001,상주시 초산동,2014-01-13,-3.8,2.4,-9.8,31.4,262.6,1.3,6.6,0.0,191.0,11.3,0.0,-4.1,2.5,,2014,1,13
14,742290A001,상주시 초산동,2014-01-14,-4.3,4.7,-11.0,41.9,189.8,0.6,7.2,0.0,177.0,10.9,0.0,-4.7,2.4,,2014,1,14
15,742290A001,상주시 초산동,2014-01-15,-3.2,5.1,-10.5,50.1,231.6,0.7,6.9,0.0,181.0,11.0,0.0,-3.7,2.3,,2014,1,15
16,742290A001,상주시 초산동,2014-01-16,-1.9,6.3,-8.9,64.7,212.6,0.6,7.1,0.0,90.0,8.8,185.0,-2.4,2.3,,2014,1,16
17,742290A001,상주시 초산동,2014-01-17,-1.4,6.8,-7.1,66.0,106.0,0.5,5.1,0.0,1.0,7.8,397.0,-2.1,2.2,,2014,1,17
18,742290A001,상주시 초산동,2014-01-18,-0.9,4.7,-6.4,50.9,263.7,1.9,10.7,0.0,143.0,9.2,0.0,-1.3,2.2,,2014,1,18
19,742290A001,상주시 초산동,2014-01-19,-3.7,3.8,-10.5,50.4,124.1,0.4,3.3,0.0,181.0,10.8,0.0,-4.0,2.2,,2014,1,19
20,742290A001,상주시 초산동,2014-01-20,-1.3,3.9,-5.2,75.8,250.8,0.8,8.9,1.0,15.0,3.8,1187.0,-1.2,2.1,,2014,1,20
21,742290A001,상주시 초산동,2014-01-21,-3.3,-0.8,-7.0,64.6,248.3,1.3,6.5,0.0,43.0,7.9,983.0,-3.4,2.1,,2014,1,21
22,742290A001,상주시 초산동,2014-01-22,-3.1,3.7,-9.2,58.5,243.0,1.1,5.6,0.5,221.0,11.4,287.0,-3.7,2.1,,2014,1,22
23,742290A001,상주시 초산동,2014-01-23,-2.7,7.8,-10.0,67.6,188.4,0.6,5.4,1.0,224.0,11.7,655.0,-3.2,2.1,,2014,1,23
24,742290A001,상주시 초산동,2014-01-24,0.6,11.3,-6.7,73.1,183.3,0.5,5.1,0.5,173.0,9.6,377.0,0.4,2.1,,2014,1,24
25,742290A001,상주시 초산동,2014-01-25,3.3,8.5,-1.4,87.3,264.1,0.9,8.3,1.0,0.0,3.7,1176.0,3.0,2.1,,2014,1,25
26,742290A001,상주시 초산동,2014-01-26,0.7,7.2,-5.1,56.0,224.5,1.0,9.0,0.0,266.0,12.6,0.0,0.1,2.1,,2014,1,26
27,742290A001,상주시 초산동,2014-01-27,-1.5,9.3,-9.5,61.1,172.9,0.5,5.5,0.0,238.0,12.3,19.0,-1.8,2.1,,2014,1,27
28,742290A001,상주시 초산동,2014-01-28,3.3,10.4,-3.6,49.8,241.6,1.3,9.3,0.0,191.0,10.6,0.0,2.7,2.1,,2014,1,28
29,742290A001,상주시 초산동,2014-01-29,-0.3,9.0,-9.3,52.9,106.8,0.3,2.4,0.0,241.0,12.0,0.0,-0.7,2.1,,2014,1,29
30,742290A001,상주시 초산동,2014-01-30,4.7,10.9,-0.3,71.0,262.6,1.6,11.1,0.5,13.0,2.8,261.0,4.0,2.1,,2014,1,30
31,742290A001,상주시 초산동,2014-01-31,1.7,10.5,-4.6,48.6,110.2,0.5,3.5,0.0,247.0,12.1,0.0,0.9,2.1,,2014,1,31
