no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
152,7418620.0,상주시 화서면,2021-06-01,19.8,26.8,14.8,70.9,,,,0.0,583,23.8,13,,,,2021,6,1
153,7418620.0,상주시 화서면,2021-06-02,21.5,28.5,15.5,64.1,,,,0.0,640,24.8,147,,,,2021,6,2
154,7418620.0,상주시 화서면,2021-06-03,16.5,17.7,13.5,90.7,,,,29.5,4,4.3,1139,,,,2021,6,3
155,7418620.0,상주시 화서면,2021-06-04,17.0,23.8,11.5,70.8,,,,2.5,594,26.3,481,,,,2021,6,4
156,7418620.0,상주시 화서면,2021-06-05,18.7,26.3,9.2,69.9,,,,0.0,624,25.3,440,,,,2021,6,5
157,7418620.0,상주시 화서면,2021-06-06,20.9,27.1,15.2,71.0,,,,0.0,526,21.3,528,,,,2021,6,6
158,7418620.0,상주시 화서면,2021-06-07,20.4,27.7,13.1,67.3,,,,0.0,460,19.5,565,,,,2021,6,7
159,7418620.0,상주시 화서면,2021-06-08,22.7,31.0,15.0,64.3,,,,0.0,650,25.3,378,,,,2021,6,8
160,7418620.0,상주시 화서면,2021-06-09,23.9,31.2,18.8,59.5,,,,0.0,700,27.3,0,,,,2021,6,9
161,7418620.0,상주시 화서면,2021-06-10,22.5,27.8,18.6,65.1,,,,3.5,289,19.0,257,,,,2021,6,10
162,7418620.0,상주시 화서면,2021-06-11,21.3,27.3,18.0,84.5,,,,16.0,199,13.7,839,,,,2021,6,11
163,7418620.0,상주시 화서면,2021-06-12,22.7,29.1,18.1,78.3,,,,0.0,515,23.8,497,,,,2021,6,12
164,7418620.0,상주시 화서면,2021-06-13,24.0,30.2,18.8,74.9,,,,0.0,550,22.4,413,,,,2021,6,13
165,7418620.0,상주시 화서면,2021-06-14,22.6,27.2,19.2,78.7,,,,0.0,86,15.4,55,,,,2021,6,14
166,7418620.0,상주시 화서면,2021-06-15,19.6,21.1,17.4,85.1,,,,3.5,0,6.5,907,,,,2021,6,15
167,7418620.0,상주시 화서면,2021-06-16,20.2,24.7,17.3,77.1,,,,1.0,227,17.8,469,,,,2021,6,16
168,7418620.0,상주시 화서면,2021-06-17,18.7,21.7,16.5,78.6,,,,0.0,2,12.0,344,,,,2021,6,17
169,7418620.0,상주시 화서면,2021-06-18,19.8,22.9,17.6,86.8,,,,0.5,0,8.9,745,,,,2021,6,18
170,7418620.0,상주시 화서면,2021-06-19,21.7,28.2,16.2,69.5,,,,0.0,707,27.5,299,,,,2021,6,19
171,7418620.0,상주시 화서면,2021-06-20,22.6,30.0,14.6,59.2,,,,0.0,633,25.7,468,,,,2021,6,20
172,7418620.0,상주시 화서면,2021-06-21,22.8,28.3,18.0,61.7,,,,0.0,660,26.7,0,,,,2021,6,21
173,7418620.0,상주시 화서면,2021-06-22,19.4,24.0,15.2,81.2,,,,21.5,221,18.0,427,,,,2021,6,22
174,7418620.0,상주시 화서면,2021-06-23,17.6,19.8,16.2,89.3,,,,1.0,0,7.7,465,,,,2021,6,23
175,7418620.0,상주시 화서면,2021-06-24,20.9,27.5,16.8,75.6,,,,0.0,381,21.4,188,,,,2021,6,24
176,7418620.0,상주시 화서면,2021-06-25,22.3,30.0,16.6,75.5,,,,2.0,517,22.4,682,,,,2021,6,25
177,7418620.0,상주시 화서면,2021-06-26,21.0,25.7,18.3,83.7,,,,2.5,71,13.4,586,,,,2021,6,26
178,7418620.0,상주시 화서면,2021-06-27,22.4,27.1,18.4,71.2,,,,0.0,398,21.3,0,,,,2021,6,27
179,7418620.0,상주시 화서면,2021-06-28,22.4,27.3,18.5,70.3,,,,0.0,454,23.1,0,,,,2021,6,28
180,7418620.0,상주시 화서면,2021-06-29,22.3,28.4,16.8,75.0,,,,0.0,486,21.2,21,,,,2021,6,29
181,7418620.0,상주시 화서면,2021-06-30,22.8,27.2,19.9,77.7,,,,0.0,233,17.9,0,,,,2021,6,30
